year,Ward,type,Candidate,votepct,inc_2019,inc_2015,inc_2011,cycle,beauty,non-Beauty,vs_paakes,start_year,exp
2019,2,General,Brian Hopkins,1,1,0,0,2019,0,1319999.99,Inf,2015,4
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,0,1319487.2,0.8007728415127129,2007,12
2019,4,General,Sophia King,0.6609534783234913,1,0,0,2019,0,1319999.4,0.6675461265746114,2016,3
2019,5,Runoff,Leslie A. Hairston,0.5065079130306168,1,1,1,2019,2100,1295542.6,0.02603312229429877,1999,20
2019,6,Runoff,Roderick T. Sawyer,0.5366555725465503,1,1,0,2019,0,1319999.99,0.1468858155091084,2011,8
2019,7,General,Gregory I. Mitchell,0.663226830720381,1,0,0,2019,1200,1318799.99,0.6777074439211126,2015,4
2019,8,General,Michelle A. Harris,0.6435263740317226,1,1,1,2019,0,1319998.6,0.5907027548185679,2006,13
2019,9,General,Anthony A. Beale,0.5929265516939508,1,1,1,2019,0,1319405.85,0.37607690063350174,1999,20
2019,10,General,Susan Sadlowski Garza,0.686199928681802,1,0,0,2019,190000,1129983,0.7824129589205719,2015,4
2019,11,General,Patrick Daley Thompson,0.7343856572152392,1,0,0,2019,0,1319999.99,1.0169888915869918,2015,4
2019,12,General,George Cardenas,0.5027773102171351,1,1,1,2019,0,1319999.99,0.011109355124784503,2003,16
2019,13,General,Marty Quinn,0.8603758496601359,1,1,0,2019,0,1319999.99,1.8184151561943616,2011,8
2019,14,General,Edward M. Burke,0.5424456446475557,1,1,1,2019,0,1319999.99,0.17019219902496263,1969,50
2019,15,Runoff,Raymond A. Lopez,0.5969595847237672,1,0,0,2019,0,1319999.99,0.3928125708572995,2015,4
2019,16,Runoff,Toni L. Foulkes,0.3387543252595156,1,1,1,2019,0,1319990.25,-0.6688503017097627,2015,4
2019,17,General,David H. Moore,0.6720606826801517,1,0,0,2019,0,1319999.99,0.7175200549567468,2015,4
2019,18,General,Derrick G. Curtis,0.6734147565668396,1,0,0,2019,0,1319999.99,0.723670422879626,2015,4
2019,19,General,Matthew J. O'shea,0.8524384355383873,1,1,0,2019,50000,1269999.99,1.7538555152937672,2011,8
2019,21,Runoff,"Howard B. Brookins, Jr.",0.5329821176819767,1,1,1,2019,0,1319999.99,0.1321203244504493,2003,16
2019,23,General,Silvana Tabares,0.7616774633481077,1,0,0,2019,0,1319999.99,1.1618982373953357,2013,6
2019,24,General,"Michael Scott, Jr.",0.5993705743509048,1,0,0,2019,75000,1244999.99,0.40284318736125213,2015,4
2019,26,General,Roberto Maldonado,0.505591054313099,1,1,1,2019,0,1319999.99,0.022365149459580125,2009,10
2019,27,General,"Walter Burnett, Jr.",0.6857086575396435,1,1,1,2019,1470,1318529.99,0.7801324420931408,1995,24
2019,28,General,Jason C. Ervin,0.6138785625774473,1,1,1,2019,0,1292749.43,0.463645203058666,2011,8
2019,29,General,Chris Taliaferro,0.5871550993502213,1,0,0,2019,75700,1241472.98,0.3522170294862852,2015,4
2019,30,Runoff,Ariel E. Reboyras,0.5191332995438419,1,1,1,2019,45000,1274999.99,0.07657058771714098,2003,16
2019,31,Runoff,Milagros Santiago,0.45705196182396607,1,0,0,2019,0,1319779.47,-0.17221653493575984,2015,4
2019,32,General,Scott Waguespack,1,1,1,1,2019,0,1290568.66,Inf,2007,12
2019,33,Runoff,Deborah L. Mell,0.4994345367551109,1,1,0,2019,0,1298264.99,-0.0022618539438563623,2013,6
2019,34,General,Carrie M. Austin,0.5436206896551724,1,1,1,2019,0,1319999.99,0.17492745731795944,1994,25
2019,35,General,Carlos Ramirez-Rosa,0.5943348507840162,1,0,0,2019,0,1319999.99,0.3819148187117447,2015,4
2019,36,General,Gilbert Villegas,1,1,0,0,2019,0,1319999.99,Inf,2015,4
2019,37,General,Emma M. Mitts,0.5411994784876141,1,1,1,2019,0,1301893.3,0.1651724107314536,2000,19
2019,38,General,Nicholas Sposato,1,1,1,0,2019,0,1319999.99,Inf,2015,4
2019,40,Runoff,Patrick J. O'connor,0.4613342898134864,1,1,1,2019,0,1319295.97,-0.15497225396502057,1983,36
2019,41,General,Anthony V. Napolitano,0.7027148558259795,1,0,0,2019,277000,1042999.99,0.860259439425778,2015,4
2019,42,General,Brendan Reilly,1,1,1,1,2019,20000,1249930.86,Inf,2007,12
2019,43,Runoff,Michele Smith,0.5357014194106203,1,1,0,2019,39000,1279857.43,0.14304911459739034,2011,8
2019,44,General,Tom Tunney,0.6444223766964581,1,1,1,2019,7500,1312499.99,0.5946108004879401,2003,16
2019,46,Runoff,James Cappleman,0.5008844548220477,1,1,0,2019,25000,1279932.72,0.00353782297819194,2011,8
2019,48,General,Harry Osterman,0.8374503600996164,1,1,0,2019,221000,1098972.87,1.6393785589882923,2011,8
2019,50,General,Debra L. Silverstein,0.658419093496825,1,1,0,2019,4000,1314719.62,0.6562570827449463,2011,8
2015,1,General,Proco ''Joe'' Moreno,0.5108114674441205,1,1,1,2015,350000,969999,0.043252611555594456,2010,5
2015,3,General,Pat Dowell,0.7288666862572241,1,1,1,2015,10000,1309488,0.9888802106597012,2007,8
2015,5,General,Leslie A. Hairston,0.5254602604400539,1,1,1,2015,200000,1119891,0.10192920014602014,1999,16
2015,6,General,Roderick T. Sawyer,0.5619664133596022,1,1,0,2015,0,1313883,0.24914649613855788,2011,4
2015,7,Runoff,Natashia L. Holmes,0.435147486497715,0,1,0,2015,0,1318313,-0.2608796359765736,2013,2
2015,8,General,Michelle A. Harris,0.6853319377990431,1,1,1,2015,0,1311701,0.7783849891912051,2006,9
2015,9,General,Anthony A. Beale,0.6242098069366137,1,1,1,2015,0,1319955,0.5074555504424978,1999,16
2015,10,Runoff,John A. Pope,0.499140154772141,0,1,1,2015,0,1318145,-0.003439384301909376,1999,16
2015,12,General,George Cardenas,1,1,1,1,2015,34850,1284987,Inf,2003,12
2015,13,General,Marty Quinn,1,1,1,0,2015,0,1319807,Inf,2011,4
2015,14,General,Edward M. Burke,1,1,1,1,2015,0,1319827,Inf,1969,46
2015,16,Runoff,Toni L. Foulkes,0.5093893630991464,1,1,1,2015,0,1319999,0.03756186809123385,2015,0
2015,18,Runoff,Lona Lane,0.322620604225449,0,1,1,2015,0,1313853,-0.7417544903723627,2006,9
2015,19,General,Matthew J. O'shea,0.7258207630878438,1,1,0,2015,30380,1238268,0.9735210597050015,2011,4
2015,20,Runoff,Willie B. Cochran,0.5542353392104254,0,1,1,2015,0,1318810,0.2177982502000455,2007,8
2015,21,Runoff,"Howard B. Brookins, Jr.",0.5105493764745535,1,1,1,2015,0,1320000,0.04220376908149359,2003,12
2015,22,General,Ricardo Munoz,0.5764914353219137,0,1,1,2015,460700,858757,0.30838674581347203,1993,22
2015,23,General,Michael R. Zalewski,0.6697897147616073,0,1,1,2015,0,1319657,0.7072341250442329,1995,20
2015,25,General,Daniel ''Danny'' Solis,0.5106525525927911,0,1,1,2015,62242,1257398,0.042616659159001036,1996,19
2015,26,General,Roberto Maldonado,0.5225388210462837,1,1,1,2015,0,1319946,0.09021642373691141,2009,6
2015,27,General,"Walter Burnett, Jr.",0.7406010606953447,1,1,1,2015,0,1317182,1.04909491784905,1995,20
2015,28,General,Jason C. Ervin,1,1,1,1,2015,250000,1070001,Inf,2011,4
2015,29,Runoff,Deborah L. Graham,0.4830299290342487,0,1,1,2015,0,1319316,-0.06790636641090475,2010,5
2015,30,General,Ariel E. Reboyras,1,1,1,1,2015,0,1319614,Inf,2003,12
2015,31,Runoff,Regner ''Ray'' Suarez,0.4952734234773244,0,1,1,2015,0,1318560,-0.018906869289987527,1991,24
2015,32,General,Scott Waguespack,0.7895060211354141,1,1,1,2015,150000,1164099,1.3219504114393008,2007,8
2015,33,General,Deborah L. Mell,0.5021417207196182,1,1,0,2015,23404,1296595,0.008566935273735532,2013,2
2015,34,General,Carrie M. Austin,0.6122284794851166,1,1,1,2015,0,1318671,0.4566892438110853,1994,21
2015,37,Runoff,Emma M. Mitts,0.5300774270399047,1,1,1,2015,0,1320000,0.12045514188031126,2000,15
2015,38,General,Nicholas Sposato,0.5358132880264688,1,1,0,2015,0,1319997,0.14349888936982647,2015,0
2015,39,General,Margaret Laurino,0.5320227717487992,0,1,1,2015,0,1312401,0.12826665531375003,1994,21
2015,40,General,Patrick J. O'connor,0.5840458811261731,1,1,1,2015,14823,1304981,0.33940458030442555,1983,32
2015,41,Runoff,Mary O'connor,0.4836340411943158,0,1,0,2015,4000,1315999,-0.06548722910981486,2011,4
2015,42,General,Brendan Reilly,1,1,1,1,2015,0,1319773,Inf,2007,8
2015,43,Runoff,Michele Smith,0.502745915884602,1,1,0,2015,18620,1301378,0.010983773963628707,2011,4
