Candidate,start_year
Brian Hopkins,2015
Pat Dowell,2007
Sophia King,2016
Leslie A. Hairston,1999
Roderick T. Sawyer,2011
Gregory I. Mitchell,2015
Michelle A. Harris,2006
Anthony A. Beale,1999
Susan Sadlowski Garza,2015
Patrick Daley Thompson,2015
George Cardenas,2003
Marty Quinn,2011
Edward M. Burke,1969
Raymond A. Lopez,2015
Toni L. Foulkes,2015
David H. Moore,2015
Derrick G. Curtis,2015
Matthew J. O'shea,2011
"Howard B. Brookins, Jr.",2003
Silvana Tabares,2013
"Michael Scott, Jr.",2015
Roberto Maldonado,2009
"Walter Burnett, Jr.",1995
Jason C. Ervin,2011
Chris Taliaferro,2015
Ariel E. Reboyras,2003
Milagros Santiago,2015
Scott Waguespack,2007
Deborah L. Mell,2013
Carrie M. Austin,1994
Carlos Ramirez-Rosa,2015
Gilbert Villegas,2015
Emma M. Mitts,2000
Nicholas Sposato,2015
Patrick J. O'connor,1983
Anthony V. Napolitano,2015
Brendan Reilly,2007
Michele Smith,2011
Tom Tunney,2003
James Cappleman,2011
Harry Osterman,2011
Debra L. Silverstein,2011
Proco ''Joe'' Moreno,2010
Natashia L. Holmes,2013
John A. Pope,1999
Lona Lane,2006
Willie B. Cochran,2007
Ricardo Munoz,1993
Michael R. Zalewski,1995
Daniel ''Danny'' Solis,1996
Deborah L. Graham,2010
Regner ''Ray'' Suarez,1991
Margaret Laurino,1994
Mary O'connor,2011
Ameya Pawar,2011
Joe Moore,1991
