year,Ward,type,Candidate,votepct,inc_2019,inc_2015,inc_2011,cycle,off_menu,on_menu
2019,2,General,Brian Hopkins,1,1,0,0,2019,218942,1099159.82
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,0,863876.15
2019,4,General,Sophia King,0.6609534783234913,1,0,0,2019,0,830443.02
2019,5,Runoff,Leslie A. Hairston,0.5065079130306168,1,1,1,2019,0,1037452.31
2019,6,Runoff,Roderick T. Sawyer,0.5366555725465503,1,1,0,2019,0,988510.35
2019,7,General,Gregory I. Mitchell,0.663226830720381,1,0,0,2019,0,1052720.92
2019,8,General,Michelle A. Harris,0.6435263740317226,1,1,1,2019,0,1299274.91
2019,9,General,Anthony A. Beale,0.5929265516939508,1,1,1,2019,0,1175718.08
2019,10,General,Susan Sadlowski Garza,0.686199928681802,1,0,0,2019,10000,1309303.97
2019,11,General,Patrick Daley Thompson,0.7343856572152392,1,0,0,2019,0,1314276.14
2019,12,General,George Cardenas,0.5027773102171351,1,1,1,2019,0,1041759.69
2019,13,General,Marty Quinn,0.8603758496601359,1,1,0,2019,625000,583628.06
2019,14,General,Edward M. Burke,0.5424456446475557,1,1,1,2019,0,1308221.17
2019,15,Runoff,Raymond A. Lopez,0.5969595847237672,1,0,0,2019,0,881809.89
2019,16,Runoff,Toni L. Foulkes,0.3387543252595156,1,1,1,2019,0,1027754.99
2019,17,General,David H. Moore,0.6720606826801517,1,0,0,2019,0,838197.12
2019,18,General,Derrick G. Curtis,0.6734147565668396,1,0,0,2019,0,1255077.27
2019,19,General,Matthew J. O'shea,0.8524384355383873,1,1,0,2019,0,1091212.63
2019,21,Runoff,"Howard B. Brookins, Jr.",0.5329821176819767,1,1,1,2019,0,1188413.95
2019,23,General,Silvana Tabares,0.7616774633481077,1,0,0,2019,0,1319791.65
2019,24,General,"Michael Scott, Jr.",0.5993705743509048,1,0,0,2019,0,837174.1
2019,26,General,Roberto Maldonado,0.505591054313099,1,1,1,2019,10000,1298434.99
2019,27,General,"Walter Burnett, Jr.",0.6857086575396435,1,1,1,2019,0,953980.79
2019,28,General,Jason C. Ervin,0.6138785625774473,1,1,1,2019,0,1102211.62
2019,29,General,Chris Taliaferro,0.5871550993502213,1,0,0,2019,15000,817500.02
2019,30,Runoff,Ariel E. Reboyras,0.5191332995438419,1,1,1,2019,0,913768.41
2019,31,Runoff,Milagros Santiago,0.45705196182396607,1,0,0,2019,0,1176239.54
2019,32,General,Scott Waguespack,1,1,1,1,2019,0,772897.11
2019,33,Runoff,Deborah L. Mell,0.4994345367551109,1,1,0,2019,100000,NA
2019,34,General,Carrie M. Austin,0.5436206896551724,1,1,1,2019,0,1290270.38
2019,35,General,Carlos Ramirez-Rosa,0.5943348507840162,1,0,0,2019,6145.6,1058546.11
2019,36,General,Gilbert Villegas,1,1,0,0,2019,110000,714561.6
2019,37,General,Emma M. Mitts,0.5411994784876141,1,1,1,2019,0,955518.74
2019,38,General,Nicholas Sposato,1,1,1,0,2019,0,710796.82
2019,40,Runoff,Patrick J. O'connor,0.4613342898134864,1,1,1,2019,175000,1036393.05
2019,41,General,Anthony V. Napolitano,0.7027148558259795,1,0,0,2019,0,1195266.57
2019,42,General,Brendan Reilly,1,1,1,1,2019,0,484071.47
2019,43,Runoff,Michele Smith,0.5357014194106203,1,1,0,2019,25000,1148428.92
2019,44,General,Tom Tunney,0.6444223766964581,1,1,1,2019,0,1038668.84
2019,46,Runoff,James Cappleman,0.5008844548220477,1,1,0,2019,0,14698.6
2019,48,General,Harry Osterman,0.8374503600996164,1,1,0,2019,20406.42,791776.88
2019,50,General,Debra L. Silverstein,0.658419093496825,1,1,0,2019,0,925420.92
