"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
1,"Miscellaneous-CDOT","W DIVISION ST & N OAKLEY BLVD & N LEAVITT ST",2009,31000,329,"N OAKLEY BLVD & W DIVISION ST","N LEAVITT ST & W DIVISION ST"
1,"Street Lighting","N HONORE ST & W AUGUSTA BV (1000 N) & W THOMAS ST (1100 N)",2011,1200,372,"1000 N HONORE ST","1100 N HONORE ST"
1,"Curb/Gutter Menu","W SHAKESPEARE AVE & N CAMPBELL AV (2450 W) & N MAPLEWOOD AV (2535 W)",2011,23972,384,"2450 W SHAKESPEARE AVE","2535 W SHAKESPEARE AVE"
1,"Curb/Gutter Menu","N PAULINA ST & W HADDON AV (1132 N) & W AUGUSTA BV (1000 N)",2011,70289,385,"1132 N PAULINA ST","1000 N PAULINA ST"
1,"Curb/Gutter Menu","N WESTERN AVE & W ST PAUL AV (1740 N) & W BLOOMINGDALE AV (1800 N)",2011,4948,386,"1740 N WESTERN AVE","1800 N WESTERN AVE"
1,"Curb/Gutter Menu - Change Order","N WESTERN AVE & W BLOOMINGDALE AV (1800 N) & W ST PAUL AV (1740 N)",2011,1651,387,"1800 N WESTERN AVE","1740 N WESTERN AVE"
1,"Miscellaneous-CDOT","N MILWAUKEE AVE & N WOOD ST & N WOLCOTT AVE",2011,27000,400,"N WOOD ST & N MILWAUKEE AVE","N WOLCOTT AVE & N MILWAUKEE AVE"
1,"Sidewalk Menu","N PAULINA ST & N MOORMAN ST (1272 N) & N MOORMAN ST (1272 N)",2011,10639,405,"1272 N PAULINA ST","1272 N PAULINA ST"
1,"Sidewalk Menu","W PEARSON ST & N ASHLAND AV (1600 W) & N PAULINA ST (1700 W)",2011,33406,406,"1600 W PEARSON ST","1700 W PEARSON ST"
1,"Sidewalk Menu","N HOYNE AVE & W HADDON AV (1132 N) & W DIVISION ST (1200 N)",2011,19282,407,"1132 N HOYNE AVE","1200 N HOYNE AVE"
1,"Sidewalk Menu","W MOFFAT ST & N WESTERN AV (2400 W) & N CAMPBELL AV (2500 W)",2011,3656,408,"2400 W MOFFAT ST","2500 W MOFFAT ST"
1,"Sidewalk Menu","N GREENVIEW AVE & W CHICAGO AV (800 N) & W CHESTNUT ST (900 N)",2011,3437,409,"800 N GREENVIEW AVE","900 N GREENVIEW AVE"
1,"Sidewalk Menu","W BLOOMINGDALE AVE & N FAIRFIELD AV (2732 W) & N TALMAN AV (2632 W)",2011,15838,410,"2732 W BLOOMINGDALE AVE","2632 W BLOOMINGDALE AVE"
1,"Sidewalk Menu","W HURON ST & N PAULINA ST (1700 W) & N WOOD ST (1800 W)",2011,9604,411,"1700 W HURON ST","1800 W HURON ST"
1,"Sidewalk Menu","N MILWAUKEE AVE & W THOMAS ST (1100 N) & W HADDON AV (1136 N)",2011,32672,412,"1100 N MILWAUKEE AVE","1136 N MILWAUKEE AVE"
1,"Sidewalk Menu","W ELLEN ST & N WOLCOTT AV (1839 W) & N MARION CT (1838 W)",2011,31429,413,"1839 W ELLEN ST","1838 W ELLEN ST"
1,"Sidewalk Menu","N WASHTENAW AVE & W FULLERTON AV (2400 N) & W ALTGELD ST (2500 N)",2011,1017,414,"2400 N WASHTENAW AVE","2500 N WASHTENAW AVE"
1,"Sidewalk Menu","W SHAKESPEARE AVE & N CAMPBELL AV (2450 W) & N MAPLEWOOD AV (2535 W)",2011,3657,415,"2450 W SHAKESPEARE AVE","2535 W SHAKESPEARE AVE"
1,"Sidewalk Menu","W SUPERIOR ST & N WOOD ST (1800 W) & N WOLCOTT AV (1900 W)",2011,871,416,"1800 W SUPERIOR ST","1900 W SUPERIOR ST"
1,"Sidewalk Menu","N ASHLAND AVE & W CHICAGO AV (800 N) & W PEARSON ST (840 N)",2011,80248,417,"800 N ASHLAND AVE","840 N ASHLAND AVE"
1,"Sidewalk Menu","N MAPLEWOOD AVE & W NORTH AV (1600 N) & W WABANSIA AV (1700 N)",2011,33007,418,"1600 N MAPLEWOOD AVE","1700 N MAPLEWOOD AVE"
1,"Sidewalk Menu - Change Order","N ASHLAND AVE & W CHICAGO AV (800 N) & W PEARSON ST (840 N)",2011,1526,420,"800 N ASHLAND AVE","840 N ASHLAND AVE"
1,"Street Resurface Menu","W HURON ST & N WOOD ST (1800 W) & N DAMEN AV (2000 W)",2011,124167,421,"1800 W HURON ST","2000 W HURON ST"
