"ward","type","location","year","est_cost","id","start_location","end_location"
1,"Miscellaneous-CDOT","N MILWAUKEE AV-- N PAULINA ST (1270 N) -to- N HERMITAGE AV (1323 N)",2005,4735,23,"N MILWAUKEE AV AND N PAULINA ST","N MILWAUKEE AV AND N HERMITAGE AV"
1,"Sidewalk Menu","N HERMITAGE AV-- W WALTON ST (928 N) -to- W AUGUSTA BV (1000 N)",2005,42217,24,"N HERMITAGE AV AND W WALTON ST","N HERMITAGE AV AND W AUGUSTA BV"
1,"Sidewalk Menu","N HERMITAGE AV-- W CORTEZ ST (1040 N) -to- W HADDON AV (1132 N)",2005,17291,25,"N HERMITAGE AV AND W CORTEZ ST","N HERMITAGE AV AND W HADDON AV"
1,"Sidewalk Menu","N LEAVITT ST-- W NORTH AV (1600 N) -to- W WABANSIA AV (1700 N)",2005,33984,26,"N LEAVITT ST AND W NORTH AV","N LEAVITT ST AND W WABANSIA AV"
1,"Sidewalk Menu","N ROCKWELL ST-- W CHICAGO AV (800 N) -to- W IOWA ST (900 N)",2005,29155,27,"N ROCKWELL ST AND W CHICAGO AV","N ROCKWELL ST AND W IOWA ST"
1,"Sidewalk Menu","N ROCKWELL ST-- W DIVERSEY AV (2800 N) -to- W GEORGE ST (2900 N)",2005,12843,28,"N ROCKWELL ST AND W DIVERSEY AV","N ROCKWELL ST AND W GEORGE ST"
1,"Sidewalk Menu","N WINNEBAGO AV-- W WABANSIA AV (1704 N) -to- W ST PAUL AV (1740 N)",2005,24443,29,"N WINNEBAGO AV AND W WABANSIA AV","N WINNEBAGO AV AND W ST PAUL AV"
1,"Sidewalk Menu","N WOOD ST-- W CRYSTAL ST (1225 N) -to- W POTOMAC AV (1250 N)",2005,12500,30,"N WOOD ST AND W CRYSTAL ST","N WOOD ST AND W POTOMAC AV"
1,"Sidewalk Menu","N WOOD ST-- W CHICAGO AV (800 N) -to- W PEARSON ST (840 N)",2005,24734,31,"N WOOD ST AND W CHICAGO AV","N WOOD ST AND W PEARSON ST"
1,"Sidewalk Menu","W CORTEZ ST-- N CAMPBELL AV (2500 W) -to- N ROCKWELL ST (2600 W)",2005,25943,32,"W CORTEZ ST AND N CAMPBELL AV","W CORTEZ ST AND N ROCKWELL ST"
1,"Sidewalk Menu","W GEORGE ST-- N FAIRFIELD AV (2732 W) -to- N CALIFORNIA AV (2800 W)",2005,22616,33,"W GEORGE ST AND N FAIRFIELD AV","W GEORGE ST AND N CALIFORNIA AV"
1,"Sidewalk Menu","W LE MOYNE ST-- N WESTERN AV (2400 W) -to- N ARTESIAN AV (2432 W)",2005,13680,34,"W LE MOYNE ST AND N WESTERN AV","W LE MOYNE ST AND N ARTESIAN AV"
1,"Street Resurface Menu","N CAMPBELL AV-- W FULLERTON AV (2400 N) -to- W ALTGELD ST (2500 N)",2005,23084,35,"N CAMPBELL AV AND W FULLERTON AV","N CAMPBELL AV AND W ALTGELD ST"
1,"Street Resurface Menu","N FAIRFIELD AV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1700 N)",2005,20877,36,"N FAIRFIELD AV AND W NORTH AV","N FAIRFIELD AV AND W WABANSIA AV"
1,"Street Resurface Menu","N HERMITAGE AV-- W CHICAGO AV (800 N) -to- W WALTON ST (928 N)",2005,36335,37,"N HERMITAGE AV AND W CHICAGO AV","N HERMITAGE AV AND W WALTON ST"
1,"Street Resurface Menu","N MARSHFIELD AV-- W CHICAGO AV (800 N) -to- W WALTON ST (928 N)",2005,36133,38,"N MARSHFIELD AV AND W CHICAGO AV","N MARSHFIELD AV AND W WALTON ST"
1,"Street Resurface Menu","N OAKLEY BV-- W POTOMAC AV (1300 N) -to- W HIRSCH ST (1400 N)",2005,25423,39,"N OAKLEY BV AND W POTOMAC AV","N OAKLEY BV AND W HIRSCH ST"
