"ward","type","location","year","est_cost","main_street","from_street","to_street","from_intersection","to_intersection"
1,"Pole Painting","ON N MILWAUKEE AVE FROM N DAMEN AVE TO N WESTERN AVE",2005,11600,"N MILWAUKEE AVE","N DAMEN AVE","N WESTERN AVE","N MILWAUKEE AVE and N DAMEN AVE","N MILWAUKEE AVE and N WESTERN AVE"
1,"Miscellaneous-CDOT","ON W DIVERSEY AVE FROM N MAPLEWOOD AVE TO N WOLCOTT AVE",2008,334392,"W DIVERSEY AVE","N MAPLEWOOD AVE","N WOLCOTT AVE","W DIVERSEY AVE and N MAPLEWOOD AVE","W DIVERSEY AVE and N WOLCOTT AVE"
1,"Sidewalk Menu - Change Order","ON N PAULINA ST FROM W MOORMAN ST TO W DIVISION ST",2011,2541,"N PAULINA ST","W MOORMAN ST","W DIVISION ST","N PAULINA ST and W MOORMAN ST","N PAULINA ST and W DIVISION ST"
1,"Bollard Menu","ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV (2500 W)",2012,3150,"W BELMONT AVE","2441 W","N CAMPBELL AV ","2441 W BELMONT AVE","W BELMONT AVE and N CAMPBELL AV "
1,"Curb & Gutter Menu","ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W MEDILL AV (2334 N)",2012,19882,"N MAPLEWOOD AVE","W BELDEN AV ","W MEDILL AV ","N MAPLEWOOD AVE and W BELDEN AV ","N MAPLEWOOD AVE and W MEDILL AV "
1,"Sidewalk Menu","ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N WASHTENAW AV (2720 W)",2012,11954,"W BELDEN AVE","N TALMAN AV ","N WASHTENAW AV ","W BELDEN AVE and N TALMAN AV ","W BELDEN AVE and N WASHTENAW AV "
1,"Sidewalk Menu","ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE MOYNE ST (1508 N)",2012,10065,"N WOOD ST","W BEACH AV ","W LE MOYNE ST ","N WOOD ST and W BEACH AV ","N WOOD ST and W LE MOYNE ST "
1,"Sidewalk Menu","ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N)",2012,1594,"N MARION CT","W DIVISION ST ","W ELLEN ST ","N MARION CT and W DIVISION ST ","N MARION CT and W ELLEN ST "
1,"Street Resurfacing Menu","ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W CORTLAND ST (1900 N)",2012,193749,"N CAMPBELL AVE","W NORTH AV ","W CORTLAND ST ","N CAMPBELL AVE and W NORTH AV ","N CAMPBELL AVE and W CORTLAND ST "
1,"Street Resurfacing Menu","ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W ARMITAGE AV (2000 N)",2012,73623,"N ROCKWELL ST","W CORTLAND ST ","W ARMITAGE AV ","N ROCKWELL ST and W CORTLAND ST ","N ROCKWELL ST and W ARMITAGE AV "
1,"Street Resurfacing Menu","ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End (2726 W)",2012,10588,"W JULIA CT","N STAVE ST ","2726 W","W JULIA CT and N STAVE ST ","2726 W JULIA CT"
1,"Street Resurfacing Menu","ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N CLAREMONT AV (2332 W)",2012,19195,"W LE MOYNE ST","N OAKLEY BV ","N CLAREMONT AV ","W LE MOYNE ST and N OAKLEY BV ","W LE MOYNE ST and N CLAREMONT AV "
1,"Street Resurfacing Menu","ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO N MAPLEWOOD AV (2535 W)",2012,34143,"W CHARLESTON ST","N CAMPBELL AV ","N MAPLEWOOD AV ","W CHARLESTON ST and N CAMPBELL AV ","W CHARLESTON ST and N MAPLEWOOD AV "
1,"Street Resurfacing Menu","ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO W LYNDALE ST (2236 N)",2012,47986,"N ROCKWELL ST","N MILWAUKEE AV ","W LYNDALE ST ","N ROCKWELL ST and N MILWAUKEE AV ","N ROCKWELL ST and W LYNDALE ST "
1,"Street Speed Hump Menu","ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W NORTH AV (1600 N)",2012,3700,"N ELK GROVE AVE","N WOOD ST ","W NORTH AV ","N ELK GROVE AVE and N WOOD ST ","N ELK GROVE AVE and W NORTH AV "
1,"Street Speed Hump Menu","ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N)",2012,3700,"N MARION CT","W DIVISION ST ","W ELLEN ST ","N MARION CT and W DIVISION ST ","N MARION CT and W ELLEN ST "
1,"Street Speed Hump Menu","ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W ALTGELD ST (2500 N)",2012,3700,"N ROCKWELL ST","W FULLERTON AV ","W ALTGELD ST ","N ROCKWELL ST and W FULLERTON AV ","N ROCKWELL ST and W ALTGELD ST "
1,"Street Speed Hump Menu","ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N WESTERN AV (2400 W)",2012,3700,"W ST PAUL AVE","N WINNEBAGO AV ","N WESTERN AV ","W ST PAUL AVE and N WINNEBAGO AV ","W ST PAUL AVE and N WESTERN AV "
1,"Street Light Residential","ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO W NORTH AV (1600 N)",2012,128000,"ROCKWELL","W BLOOMINGDALE AV ","W NORTH AV ","ROCKWELL and W BLOOMINGDALE AV ","ROCKWELL and W NORTH AV "
1,"Street Light Upgrade","ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W THOMAS ST (1100 N)",2012,1400,"WINCHESTER","W AUGUSTA BV ","W THOMAS ST ","WINCHESTER and W AUGUSTA BV ","WINCHESTER and W THOMAS ST "
1,"Street Light Upgrade","ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N)",2012,700,"STAVE","W ARMITAGE AV ","W FRANCIS PL ","STAVE and W ARMITAGE AV ","STAVE and W FRANCIS PL "
1,"Street Light Upgrade","ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2104 N)",2012,350,"BINGHAM","W ARMITAGE AV ","W FRANCIS PL ","BINGHAM and W ARMITAGE AV ","BINGHAM and W FRANCIS PL "
1,"Street Light Upgrade","ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST (1800 W)",2012,1400,"SUPERIOR","N DAMEN AV ","N WOOD ST ","SUPERIOR and N DAMEN AV ","SUPERIOR and N WOOD ST "
1,"Alley Apron Menu","ON W CHARLESTON ST FROM 2424 W TO N WESTERN AV (2400 W)",2013,8877,"W CHARLESTON ST","2424 W","N WESTERN AV ","2424 W CHARLESTON ST","W CHARLESTON ST and N WESTERN AV "
1,"Alley Apron Menu","ON W WABANSIA AVE FROM 2645 W TO N ROCKWELL ST (2600 W)",2013,8581,"W WABANSIA AVE","2645 W","N ROCKWELL ST ","2645 W WABANSIA AVE","W WABANSIA AVE and N ROCKWELL ST "
1,"Alley Apron Menu","ON N CLAREMONT AVE FROM 1544 N TO W LE MOYNE ST (1500 N)",2013,10298,"N CLAREMONT AVE","1544 N","W LE MOYNE ST ","1544 N CLAREMONT AVE","N CLAREMONT AVE and W LE MOYNE ST "
1,"Alley Apron Menu","ON N MARSHFIELD AVE FROM 839 N TO W PEARSON ST (840 N)",2013,10004,"N MARSHFIELD AVE","839 N","W PEARSON ST ","839 N MARSHFIELD AVE","N MARSHFIELD AVE and W PEARSON ST "
1,"Bike Lane/Marked","ON N WOOD ST FROM W AUGUSTA BV (1000 N) TO N MILWAUKEE AV (1373 N)",2013,50000,"N WOOD ST","W AUGUSTA BV ","N MILWAUKEE AV ","N WOOD ST and W AUGUSTA BV ","N WOOD ST and N MILWAUKEE AV "
1,"Curb & Gutter Menu","ON W AUGUSTA BLVD FROM N FAIRFIELD AV (2732 W) TO N FAIRFIELD AV (2732 W)",2013,23400,"W AUGUSTA BLVD","N FAIRFIELD AV ","N FAIRFIELD AV ","W AUGUSTA BLVD and N FAIRFIELD AV ","W AUGUSTA BLVD and N FAIRFIELD AV "
1,"Curb & Gutter Menu","ON N WOOD ST FROM W AUGUSTA BV (1000 N) TO W CORTEZ ST (1040 N)",2013,2717,"N WOOD ST","W AUGUSTA BV ","W CORTEZ ST ","N WOOD ST and W AUGUSTA BV ","N WOOD ST and W CORTEZ ST "
1,"Curb & Gutter Menu","ON W BLOOMINGDALE AVE FROM N WASHTENAW AVE (2700 W) TO N TALMAN AVE (2630 W)",2013,7272,"W BLOOMINGDALE AVE","N WASHTENAW AVE ","N TALMAN AVE ","W BLOOMINGDALE AVE and N WASHTENAW AVE ","W BLOOMINGDALE AVE and N TALMAN AVE "
1,"Curb & Gutter Menu","ON W BLOOMINGDALE AVE FROM N TALMAN AV (2632 W) TO N WASHTENAW AV (2700 W)",2013,20659,"W BLOOMINGDALE AVE","N TALMAN AV ","N WASHTENAW AV ","W BLOOMINGDALE AVE and N TALMAN AV ","W BLOOMINGDALE AVE and N WASHTENAW AV "
1,"Sidewalk Menu","ON W CORTLAND ST FROM N WHIPPLE ST (3040 W) TO N ALBANY AVE (3100 W)",2013,9506,"W CORTLAND ST","N WHIPPLE ST ","N ALBANY AVE ","W CORTLAND ST and N WHIPPLE ST ","W CORTLAND ST and N ALBANY AVE "
1,"Sidewalk Menu","ON N TALMAN AVE FROM W WABANSIA AV (1700 N) TO W BLOOMINGDALE AV (1800 N)",2013,1597,"N TALMAN AVE","W WABANSIA AV ","W BLOOMINGDALE AV ","N TALMAN AVE and W WABANSIA AV ","N TALMAN AVE and W BLOOMINGDALE AV "
1,"Sidewalk Menu","ON W CORTLAND ST FROM N ALBANY AVE (3100 W) TO N WHIPPLE ST (3040 W)",2013,1098,"W CORTLAND ST","N ALBANY AVE ","N WHIPPLE ST ","W CORTLAND ST and N ALBANY AVE ","W CORTLAND ST and N WHIPPLE ST "
1,"Sidewalk Menu","ON N FAIRFIELD AVE FROM W ALTGELD ST (2500 N) TO Dead End (2720 N)",2013,3167,"N FAIRFIELD AVE","W ALTGELD ST ","2720 N","N FAIRFIELD AVE and W ALTGELD ST ","2720 N FAIRFIELD AVE"
1,"Sidewalk Menu","ON N ROCKWELL ST FROM W HOMER ST (1932 N) TO W ARMITAGE AV (2000 N)",2013,14261,"N ROCKWELL ST","W HOMER ST ","W ARMITAGE AV ","N ROCKWELL ST and W HOMER ST ","N ROCKWELL ST and W ARMITAGE AV "
1,"Sidewalk Menu","ON N HERMITAGE AVE FROM W WALTON ST (900 N) TO W AUGUSTA BLVD (1000 N)",2013,4962,"N HERMITAGE AVE","W WALTON ST ","W AUGUSTA BLVD ","N HERMITAGE AVE and W WALTON ST ","N HERMITAGE AVE and W AUGUSTA BLVD "
1,"Sidewalk Menu","ON W ELLEN ST FROM N HONORE ST (1822 W) TO N MARION CT (1838 W)",2013,1858,"W ELLEN ST","N HONORE ST ","N MARION CT ","W ELLEN ST and N HONORE ST ","W ELLEN ST and N MARION CT "
