"ward","type","location","year","est_cost","id"
1,"Miscellaneous-CDOT","Sign Installation project",2005,8885,21
1,"Miscellaneous-CDOT","Hermitage Green Space",2008,24320,254
1,"Miscellaneous-CDOT","Maplewood Ave. at Diversey",2008,40000,259
1,"Miscellaneous-CDOT","Mautene Court Plaza Improvement",2008,35000,260
1,"Miscellaneous-Other","West Town Branch Library",2010,5e+05,371
1,"Miscellaneous-CDOT","Installation of two bike stations",2011,106000,402
2,"Miscellaneous-CDOT","9 th Street Median improvements",2005,150000,1033
2,"Miscellaneous-CDOT","Plymouth Pedestrian Tunnel",2006,1377,1059
2,"Miscellaneous-Other","Decorative Baskets - Installed at 107 locations",2008,68266,1560
2,"Miscellaneous-CDOT","Purchase of 32 decorative waste baskets",2010,42618,1749
2,"Miscellaneous-CDOT","Decorative Waste Receptacles - various locations",2010,55851,1752
2,"Miscellaneous-CDOT","Decorative Waste Receptacles - various locations",2011,33963,1909
2,"Miscellaneous-Other","Trees on the public way",2011,82145,1929
2,"Miscellaneous Other","Temporary Parking signs in WEst Loop",2012,10000,1941
2,"Miscellaneous Other","Martin Luther King Boulevard artwork installation",2012,30000,1943
3,"Miscellaneous-Other","Christmass Tree decorations",2005,10000,2527
3,"Miscellaneous-Other","Tree Planting - 4239",2011,3300,2750
3,"Miscellaneous Other","8 decorative garbage cans",2012,11450,2761
3,"Miscellaneous Other","Trees on MLK Drive (2012 installation)",2013,963,2794
4,"Miscellaneous-CDOT","53 rd Street - 5 tree grates",2007,9500,3272
4,"Miscellaneous-CDOT","Woodlawn to Harper",2007,47200,3273
4,"Chicago Park District","41 st St. Beach House",2009,290000,3348
4,"Chicago Park District","Dyett Green Youth Farm Fence",2010,59020,3374
4,"Chicago Park District","41 st Street Beach House",2010,250000,3375
4,"Miscellaneous-CDOT","Harper Ave. Construction",2011,2e+05,3385
4,"Miscellaneous Other","Harper Ave.",2012,2e+05,3415
5,"Chicago Park District","South Shore Cultural Center",2009,50370,4117
5,"Chicago Park District","South Shore Cultural Center",2009,42000,4118
5,"Miscellaneous-Other","Chicago Public Art Group - various Locations",2009,2000,4119
5,"Miscellaneous-Other","Shot Spotters",2009,167000,4120
5,"Miscellaneous-Other","Chicago Public Art Group- various locations",2009,32728,4121
5,"Miscellaneous-Other","Various Chicago Public Art Group Projects",2011,10000,4196
6,"Bollard Menu","7757 DR. MARTIN LUTHER KING JR. DR",2006,714,4554
6,"Bollard Menu","7600 DR. MARTIN LUTHER KING JR. DR",2007,714,4606
6,"Model Block","Model block",2007,21000,4617
8,"Schools","Gately Stadium Scoreboard",2011,5000,6170
9,"POD Camera","15 locations",2007,360000,6843
9,"Bollard Menu","10557 DR. MARTIN LUTHER KING JR. DR",2008,714,6845
9,"Schools","Gwendolyn Brooks School - 250 E. 111 th St.",2009,2e+05,6926
9,"Miscellaneous-CDOT","137 - 141 E 114 th Place (parkway)",2010,41,6931
9,"Schools","Gwendolyn Brooks",2010,474000,6957
9,"Schools","Gately Stadium - scoreboard",2011,5000,6985
9,"High Definition Camera","NA",2012,1559,7012
9,"High Definition Camera","NA",2013,20941,7031
9,"High Definition Camera","NA",2013,22500,7032
10,"Miscellaneous-CDOT","E107 Ewing to 1 st alley east",2006,8887,7636
10,"Miscellaneous-CDOT","Commercial 8926-27-30-32",2007,8886,7718
10,"Miscellaneous-Other","10 th Ward",2008,1e+05,7849
10,"Miscellaneous-Other","TIF Study Expansion - Calumet Marina",2009,20000,7899
10,"High Definition Camera","NA",2013,22500,8081
11,"POD Camera","2 Option i POD",2005,26838,8562
11,"POD Camera","2 Option I POD",2006,45161,8605
11,"Miscellaneous-CDOT","Stockyard Truckers",2007,612,8632
11,"Miscellaneous-CDOT","Mary Street - fence",2007,17500,8633
11,"Sidewalk Menu","3203",2012,3367,8828
12,"Street Lighting","VARIOUS LOCATIONS IN WARD",2008,2450,9630
13,"Model Block","Various Locations",2005,275000,10384
13,"Miscellaneous-Other","8 th Dist Police Station",2005,1178,10419
13,"Miscellaneous-Other","8 th Dist Police Station",2006,1777,10494
13,"Miscellaneous-Other","Police Bikes",2007,8785,10582
14,"Model Block","Model block various locations",2005,42335,11675
14,"Sidewalk Menu - Change Order","various locations",2011,18476,12272
16,"Pole Painting","16TH WARD",2007,291600,14017
16,"Street Lighting","16TH WARD",2007,588200,14018
16,"Miscellaneous-CDOT","Various locations- Decorative Waste Receptacles",2011,42716,14196
16,"Miscellaneous Other","Flower baskets- 63 rd St.",2012,47200,14254
17,"POD Camera","9 locations",2006,216000,14776
19,"Miscellaneous-Other","OBM Concrete Alley Program",2005,27162,16298
19,"Miscellaneous-Other","OBM Concrete Alley Program",2006,415,16330
19,"Miscellaneous-Other","OBM Concrete Alley Program",2007,474,16378
19,"Miscellaneous-Other","OBM Concrete Alley Program",2008,918,16416
19,"Miscellaneous-Other","OBM Concrete Alley Program",2009,382,16455
19,"Miscellaneous-Other","OBM Concrete Alley Program",2010,89399,16490
19,"Miscellaneous Other","Tree planting -2037 W. 108 th Pl",2012,515,16563
20,"Guardrail Menu","6858 DR. MARTIN LUTHER KING JR. DR",2008,1011,17002
21,"Sidewalk Menu - Change Order","W. 101 st Pl. Elizabeth Vincennes",2007,1486,17652
22,"POD Camera","NA",2011,740000,18677
23,"Miscellaneous-CDOT","Honorary Signs - Sanchez Dr.",2008,102,19435
24,"Miscellaneous-BOE","24 th Ward DSS office-1817 S Pulaski",2007,31850,20761
24,"Miscellaneous-CDOT","16 th St. at Spaulding Ave",2009,1200,20816
24,"New Alley Construction","Gladys, Van Buren, Dead End, Kilpatrick",2010,1507,20843
24,"Concrete Alley Menu","Gladys",2012,148082,20897
24,"Miscellaneous Other","Tree installation - 4043 W. Harrison St.",2012,539,20934
25,"Miscellaneous-Other","Pilsen Community",2006,6524,21471
25,"POD Camera","8 locations",2006,264000,21472
25,"Miscellaneous-CDOT","Permanent Street Cleaning Signs",2007,101002,21492
25,"Miscellaneous Other","Plaza Tenochtitlan - CPAG",2012,85000,21888
25,"Miscellaneous Other","18 th Street",2013,69300,21895
26,"Schools","Pedro Albizu - 2658 W. Haddon",2005,48433,22368
26,"Miscellaneous - Paseo Boriqua Medalli","Paseo Boricua Medallions",2006,20000,22391
26,"Miscellaneous-CDOT","Paseo Boriqua Medallion",2006,45000,22393
26,"Miscellaneous-CDOT","Division Gateway Flag Painting",2006,20000,22394
26,"Miscellaneous-BOE","3 KING FESTIVAL",2006,85000,22422
26,"Chicago Park District","Augusta Pool",2006,20000,22432
26,"Schools","Pedro Albizu -2658 W. Haddon",2007,37323,22447
26,"Miscellaneous-CDOT","Humboldt Dr. through Humboldt Park",2008,20000,22453
26,"Miscellaneous-Other","Bloomingdale Trail",2008,15000,22479
26,"Miscellaneous-Other","La Crucifixion De Don Pedro Albizu Mural -2423 W. North Ave.",2008,25000,22480
26,"Schools","Pedro Albizu H.S. parking lot -2658 W. Haddon",2008,6244,22482
26,"Miscellaneous-CDOT","Division Street Gateway",2010,424,22541
26,"Miscellaneous-CDOT","Division Street Gateways",2011,40771,22615
26,"Miscellaneous-CDOT","Division Street Gateways",2011,826,22616
26,"Schools","Lowell School - 3320 W. Hirsch St.",2011,20000,22642
26,"Schools","Funston School - 2010 N. Central Park Ave.",2011,20000,22644
26,"Schools","Casals School - 3501 W. Potomac Ave.",2011,20000,22646
26,"Miscellaneous Other","Division Street Gateways",2012,45711,22658
27,"POD Camera","11 locations",2007,192000,23381
27,"Chicago Park District","Eckhart Park- playground - 1330 W. Chicago Ave.",2011,175000,23561
28,"Miscellaneous-CDOT","Hamlin Blvd Landscape Enhancement",2006,13963,24076
28,"POD Camera","8 locations",2006,192000,24126
32,"Miscellaneous-CDOT","Roscoe Ave pavers",2006,125000,27842
32,"Chicago Park District","North Racine",2007,150000,27980
32,"Miscellaneous-CDOT","Chicago Ave. at Hoyne Ave. (crosswalk)",2008,875,28005
32,"Miscellaneous-CDOT","Replace faded bikeway marking",2009,30000,28064
32,"Miscellaneous-CDOT","1300 block of W. Altgeld",2010,49300,28132
33,"Bollard Menu","4 .00",2006,2586,28749
33,"Miscellaneous-CDOT","100 tree grates on Kedzie Ave",2006,186000,28751
34,"Alley Resurfacing Menu","117 th St - 117 th Pl - Lowe - Wallace",2012,2762,29914
34,"Miscellaneous Other","1720 w Montvale",2012,955,29930
34,"Miscellaneous Other","City owned vacant land (signs)",2012,54015,29931
36,"Miscellaneous-Other","36 th ward library",2007,5e+05,31585
39,"Chicago Park District","Gompers Park - Pulaski Ave.",2009,30000,34196
39,"Sidewalk Menu - Change Order","N KRUGER AVEELSTON",2011,593,34256
39,"Sidewalk Menu - Change Order","W FOSTER AVEKOSTNER",2011,1669,34257
39,"Miscellaneous Other","Saughnash",2012,264865,34287
39,"Miscellaneous Other","Saugnash Mural",2013,10000,34316
39,"Miscellaneous Other","Forest Glen Mural",2013,3000,34319
39,"Floodlight Menu","W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO",2013,1200,34341
39,"Tree Planting in Ward","various locations",2018,10000,34513
40,"Sidewalk Menu - Change Order","California (Gunnison Ainlsie)",2010,598,34966
41,"Miscellaneous-CDOT","Devon at Normandy",2007,600,35600
41,"Miscellaneous-CDOT","Hiawatha Ave - multiple locations",2011,1700,35816
42,"Miscellaneous-CDOT","Clinton - Fulton River District",2005,1485,36236
42,"Miscellaneous-CDOT","Ohio Street Dog Park Fence",2006,11701,36303
42,"Miscellaneous-CDOT","Access Living Public Improvements",2006,75525,36304
42,"Street Lighting","MADISON-WACKER TO CANAL",2006,1600,36370
42,"Miscellaneous-CDOT","LSD on north side of Cedar Street",2008,400,36461
42,"Miscellaneous-Other","Michigan Ave. Planter maintenance",2008,77000,36509
42,"In-Road State Law Stop for Pedestrians S","N STATE STDEAD END",2011,410,36598
42,"Miscellaneous-CDOT","LaSalle Plaza 335",2011,5121,36601
42,"Miscellaneous Other","LaSalle Plaza 335",2012,979,36635
42,"Miscellaneous Other","LaSalle Plaza 335",2013,6100,36697
43,"Miscellaneous-Other","CTA Fullerton Stop- Healy Stone Project. Menu 2003 ,2004 ,2005 ,",2005,6646,37163
43,"Miscellaneous-CDOT","Lincoln Park West @ Dickens (Additional Work)",2008,30000,37287
43,"Miscellaneous-Other","CTA Fullerton Stop-healy Stone Project. Menu",2009,354,37403
44,"Miscellaneous-Other","Center on Halsted",2006,350000,38153
44,"Chicago Park District","Lakse Shore Dr. Diversey-Briar",2009,9000,38244
44,"Curb & Gutter Menu","Melrose - Broadway to Lake Shore Dr",2012,3515,38349
44,"Miscellaneous Other","Tree installation",2012,784,38398
44,"Miscellaneous Other","108 signs will be posted in the designated areas of the ward",2013,10497,38429
45,"POD Camera","4956 Bell Plaine Ave",2007,24000,39084
46,"Miscellaneous-Other","Wilson Yard Development",2005,63962,39772
46,"Miscellaneous-CDOT","10 Decorative Benches",2006,27000,39778
46,"Miscellaneous-Other","Wilson Yard Development",2006,120432,39796
46,"Streetscape","20 Decorative Bench installation",2007,54000,39805
46,"Miscellaneous-Other","Wilson Yard Development",2007,6009,39818
46,"Miscellaneous-Other","Wilson Yard Development",2008,500117,39841
46,"Miscellaneous-CDOT","Decorative Bench",2009,2100,39847
46,"Chicago Park District","Clarendon Dog Friendly Area",2009,75000,39881
46,"Miscellaneous-Other","Wilson Yard Development",2009,59480,39882
46,"In-Road State Law Stop for Pedestrians S","W LAWRENCE AVEDEAD END",2011,410,39917
46,"In-Road State Law Stop for Pedestrians S","W ADDISON STDEAD END",2011,410,39919
46,"In-Road State Law Stop for Pedestrians S","W MONTROSE AVEDEAD END",2011,410,39921
46,"In-Road State Law Stop for Pedestrians S","W WILSON AVEDEAD END",2011,410,39922
46,"Miscellaneous Other","30 Trees to be planted in the Ward",2012,13353,39967
47,"Miscellaneous-Other","Lane Tech",2006,25000,40413
47,"Miscellaneous-CDOT","Lincoln Ave at Cullom Ave",2008,900,40500
47,"Miscellaneous-CDOT","Damen @ Byron",2008,800,40502
47,"Miscellaneous-CDOT","Lawrence @ Campbell",2009,800,40571
47,"Miscellaneous Other","Various arterial Streets (in file) - Tree planting",2012,23765,40719
47,"Miscellaneous Other","Installation of four bike stations",2012,265000,40721
48,"Miscellaneous-CDOT","Gravel Pave Alley surface",2006,150000,41480
48,"Schools","Senn Academy",2006,25000,41493
48,"Miscellaneous-CDOT","Foster Ave at Marine Drive",2007,1800,41503
48,"Miscellaneous-CDOT","Foster at Lake Shore Dr. Sandblasting",2008,11000,41559
48,"Miscellaneous-CDOT","Broadway Avenue Study",2009,50000,41602
48,"Miscellaneous-CDOT","South Edgewater Study",2009,60000,41603
48,"Miscellaneous-Other","48 th Ward Retail Study",2009,26000,41627
48,"POD Camera","Broadway at Thorndale",2009,13000,41628
48,"Miscellaneous-CDOT","Thorndale CTA Station (lighting)",2010,31500,41634
48,"Miscellaneous-Other","Edgewater Branch Library",2010,1e+06,41639
48,"POD Camera","Sheridan on lightpole North of Thorndale",2010,20000,41642
48,"Alley Apron Menu","N BROADWAYW ARDMORE AV (5800 N)",2011,12462,41652
48,"POD Camera","Argy",2011,1800,41678
48,"High Definition Camera","NA",2012,22500,41698
48,"Miscellaneous Other","Fence at 4919 N. Winthrop (City property)",2013,10325,41716
49,"Street Lighting","BELL-BIRCHWOOD TO HOWARD",2005,60000,42278
49,"Miscellaneous-CDOT","Tree Gates at 7300 N Oakley",2006,18500,42295
49,"Miscellaneous-Other","Gale Community Center",2006,4e+05,42316
49,"Miscellaneous-CDOT","Morse Ave. Design",2007,65000,42338
49,"Miscellaneous-CDOT","N. Clark St. (Benazir Bhutto Way Honorarily Sign)",2008,102,42376
49,"Miscellaneous-CDOT","Honorary Sign Wayne Peters Ave",2008,51,42380
49,"Chicago Park District","Capital Upgrades",2010,89790,42469
49,"CTA","Benches, shelters- Red line stops Jarvis,Morse,Loyola (Final cost shown).",2010,59246,42470
49,"Miscellaneous-Other","Solar Powered Garbage Containers - 8 locations. TPC =",2010,41000,42471
49,"Miscellaneous-Other","Murals in Rogers Park on CTA Viaducts",2010,78900,42472
49,"Chicago Park District","Capital Upgrades",2011,89790,42509
49,"Miscellaneous-Other","Solar Powered Garbage Containers- 8 locations (201",2011,2628,42512
49,"Miscellaneous Other","Lunt at RR (1600 W)",2013,3228,42569
49,"Miscellaneous Other","Estes at RR (1600 W)",2013,3228,42570
49,"Miscellaneous Other","Touhy at RR (1600 W)",2013,3228,42575
49,"Miscellaneous Other","Birchwood at RR (1600 W)",2013,3228,42576
50,"Miscellaneous-CDOT","6201 Monticello",2005,8568,43067
50,"Chicago Park District","Parks",2005,7e+05,43082
50,"Chicago Park District","Thillens Stadium",2009,250000,43152
1,"2 LPR on Existing Cameras: 1933 N Milwaukee; 1955 N Damen"," 1955 N DAMEN AVE",2021,10971,943
1,"Alley Resurfacing Menu"," 2342-2346 W ALTGELD ST",2021,5081.48333333333,945
1,"Alley Resurfacing Menu"," 850 N OAKLEY BLVD",2021,32906.95,948
1,"Alley Resurfacing Menu"," 1927 W RACE AVE",2021,18755.92,949
