ward,type,location,year,est_cost,id,point_location
1,Miscellaneous-CDOT,Sign Installation project,2005,8885,21,Sign Installation project
1,Miscellaneous-CDOT,Hermitage Green Space,2008,24320,253,Hermitage Green Space
1,Miscellaneous-CDOT,Maplewood Ave. at Diversey,2008,40000,258,Maplewood Ave. at Diversey
1,Miscellaneous-CDOT,Mautene Court Plaza Improvement,2008,35000,259,Mautene Court Plaza Improvement
1,Miscellaneous-Other,West Town Branch Library,2010,500000,370,West Town Branch Library
1,Miscellaneous-CDOT,Installation of two bike stations,2011,106000,401,Installation of two bike stations
2,Miscellaneous-CDOT,9 th Street Median improvements,2005,150000,948,9 th Street Median improvements
2,Miscellaneous-CDOT,Plymouth Pedestrian Tunnel,2006,1377,974,Plymouth Pedestrian Tunnel
2,Miscellaneous-Other,Decorative Baskets - Installed at 107 locations,2008,68266,1474,Decorative Baskets - Installed at 107 locations
2,Miscellaneous-CDOT,Purchase of 32 decorative waste baskets,2010,42618,1663,Purchase of 32 decorative waste baskets
2,Miscellaneous-CDOT,Decorative Waste Receptacles - various locations,2010,55851,1666,Decorative Waste Receptacles - various locations
2,Miscellaneous-CDOT,Decorative Waste Receptacles - various locations,2011,33963,1823,Decorative Waste Receptacles - various locations
2,Miscellaneous-Other,Trees on the public way,2011,82145,1843,Trees on the public way
2,Miscellaneous Other,Temporary Parking signs in WEst Loop,2012,10000,1855,Temporary Parking signs in WEst Loop
2,Miscellaneous Other,Martin Luther King Boulevard artwork installation,2012,30000,1857,Martin Luther King Boulevard artwork installation
3,Miscellaneous-Other,Christmass Tree decorations,2005,10000,2393,Christmass Tree decorations
3,Miscellaneous-Other,Tree Planting - 4239,2011,3300,2616,Tree Planting - 4239
3,Miscellaneous Other,8 decorative garbage cans,2012,11450,2627,8 decorative garbage cans
3,Miscellaneous Other,Trees on MLK Drive (2012 installation),2013,963,2660,Trees on MLK Drive (2012 installation)
4,Miscellaneous-CDOT,53 rd Street - 5 tree grates,2007,9500,3084,53 rd Street - 5 tree grates
4,Miscellaneous-CDOT,Woodlawn to Harper,2007,47200,3085,Woodlawn to Harper
4,Chicago Park District,41 st St. Beach House,2009,290000,3159,41 st St. Beach House
4,Chicago Park District,Dyett Green Youth Farm Fence,2010,59020,3185,Dyett Green Youth Farm Fence
4,Chicago Park District,41 st Street Beach House,2010,250000,3186,41 st Street Beach House
4,Miscellaneous-CDOT,Harper Ave. Construction,2011,200000,3196,Harper Ave. Construction
4,Miscellaneous Other,Harper Ave.,2012,200000,3226,Harper Ave.
5,Chicago Park District,South Shore Cultural Center,2009,50370,3899,South Shore Cultural Center
5,Chicago Park District,South Shore Cultural Center,2009,42000,3900,South Shore Cultural Center
5,Miscellaneous-Other,Chicago Public Art Group - various Locations,2009,2000,3901,Chicago Public Art Group - various Locations
5,Miscellaneous-Other,Shot Spotters,2009,167000,3902,Shot Spotters
5,Miscellaneous-Other,Chicago Public Art Group- various locations,2009,32728,3903,Chicago Public Art Group- various locations
5,Miscellaneous-Other,Various Chicago Public Art Group Projects,2011,10000,3978,Various Chicago Public Art Group Projects
6,Bollard Menu,7757 DR. MARTIN LUTHER KING JR. DR,2006,714,4295,7757 DR. MARTIN LUTHER KING JR. DR
