"ward","type","location","year","est_cost","id","address"
1,"Bollard Menu","1702 N FAIRFIELD AV",2005,633,18,"1702 N FAIRFIELD AV"
1,"Bollard Menu","1828 N ROCKWELL ST",2005,1293,19,"1828 N ROCKWELL ST"
1,"Guardrail Menu","2700 W GEORGE ST",2005,2091,20,"2700 W GEORGE ST"
1,"Bollard Menu","2727 W CHANAY ST",2006,2142,108,"2727 W CHANAY ST"
1,"Bollard Menu","1742 N TALMAN AV",2007,714,190,"1742 N TALMAN AV"
1,"Bollard Menu","1960 N WESTERN AV",2007,1428,191,"1960 N WESTERN AV"
1,"Miscellaneous-BOE","1947 W EVERGREEN AV",2007,3000,211,"1947 W EVERGREEN AV"
1,"Miscellaneous-BOE","2118 N BINGHAM ST",2007,1000,212,"2118 N BINGHAM ST"
1,"Bollard Menu","1702 N FAIRFIELD AV",2008,1940,245,"1702 N FAIRFIELD AV"
1,"Bollard Menu","2727 W CHANAY ST",2008,1428,246,"2727 W CHANAY ST"
1,"Bollard Menu","1635 W DIVISION ST",2008,1428,247,"1635 W DIVISION ST"
1,"Bollard Menu","1844 W RICE ST",2008,2142,248,"1844 W RICE ST"
1,"Guardrail Menu","2719 W CHANAY ST",2008,640,252,"2719 W CHANAY ST"
1,"Miscellaneous-CDOT","1331 N. Milwaukee",2008,800,255,"1331 N. Milwaukee"
1,"Miscellaneous-CDOT","1932 W. Division St.",2008,8100,261,"1932 W. Division St."
1,"Miscellaneous-CDOT","1260 N. Milwaukee",2008,36000,263,"1260 N. Milwaukee"
1,"Miscellaneous-Other","2425 W North Ave - City-owned lot (landscaping)",2008,25000,305,"2425 W North Ave - City-owned lot "
1,"Bollard Menu","2816 N CAMPBELL AV",2009,630,312,"2816 N CAMPBELL AV"
1,"Bollard Menu","1530 N ELK GROVE AV",2009,448,313,"1530 N ELK GROVE AV"
1,"Bollard Menu","2700 W CORTEZ ST",2009,1428,314,"2700 W CORTEZ ST"
1,"Street Lighting","1841 N WINNEBAGO AV",2009,500,346,"1841 N WINNEBAGO AV"
1,"Street Lighting","1756 N CAMPBELL AV",2010,5000,369,"1756 N CAMPBELL AV"
