"ward","type","location","year","est_cost","id","start_address","end_address"
1,"Curb/Gutter Menu - Change Order","1420-8 N. Bell",2010,5967,351,"1420 N. Bell","1428 N. Bell"
1,"Sidewalk Menu","2357-2361 N MILWAUKEE AVE",2016,11434.57,671,"2357 N MILWAUKEE AVE","2361 N MILWAUKEE AVE"
1,"Sidewalk Menu","1757-1759 N TALMAN AVE",2016,6518.98,672,"1757 N TALMAN AVE","1759 N TALMAN AVE"
1,"Sidewalk Menu","1455-1459 N FAIRFIELD AVE",2016,5836.88,675,"1455 N FAIRFIELD AVE","1459 N FAIRFIELD AVE"
1,"Sidewalk Menu","1100-1171 N MARSHFIELD AVE",2018,1949.34,774,"1100 N MARSHFIELD AVE","1171 N MARSHFIELD AVE"
1,"Sidewalk Menu","1528-1531 N TALMAN AVE",2019,3817.67,830,"1528 N TALMAN AVE","1531 N TALMAN AVE"
1,"Sidewalk Menu","1539-1541 W WALTON ST",2019,3931.72,831,"1539 W WALTON ST","1541 W WALTON ST"
1,"Sidewalk Menu","1001-1027 N MARSHFIELD AVE",2022,36340.46,922,"1001 N MARSHFIELD AVE","1027 N MARSHFIELD AVE"
1,"Sidewalk Menu","1500-1522 N MAPLEWOOD AVE",2022,19773.85,924,"1500 N MAPLEWOOD AVE","1522 N MAPLEWOOD AVE"
1,"Sidewalk Menu","1501-1519 W FRY ST",2022,54549.4,925,"1501 W FRY ST","1519 W FRY ST"
1,"Sidewalk Menu","1801-1811 N ALBANY AVE",2022,14637.07,926,"1801 N ALBANY AVE","1811 N ALBANY AVE"
1,"Sidewalk Menu","1813-1817 W ELLEN ST",2022,9284.24,927,"1813 W ELLEN ST","1817 W ELLEN ST"
1,"Sidewalk Menu","801-835 N HERMITAGE AVE",2022,32864.89,931,"801 N HERMITAGE AVE","835 N HERMITAGE AVE"
2,"Miscellaneous-CDOT","1501-1600 W Adams ST",2008,1032,1249,"1501 W Adams ST","1600 W Adams ST"
2,"Miscellaneous-CDOT","2911-2913 W. Wilcox",2008,409,1251,"2911 W. Wilcox","2913 W. Wilcox"
2,"Miscellaneous-CDOT","2944-3000 S Michigan",2008,27500,1257,"2944 S Michigan","3000 S Michigan"
2,"Miscellaneous-CDOT","3033-39 W Walnut",2008,805,1259,"3033 W Walnut","3039 W Walnut"
2,"Curb & Gutter Menu","350-375 E SUPERIOR ST",2017,18420.11,2177,"350 E SUPERIOR ST","375 E SUPERIOR ST"
2,"Sidewalk Menu","23-29 W MAPLE ST",2018,13195.3,2227,"23 W MAPLE ST","29 W MAPLE ST"
2,"Sidewalk Menu","2125-2131 N LAKEWOOD AVE",2018,4608.07,2228,"2125 N LAKEWOOD AVE","2131 N LAKEWOOD AVE"
3,"Miscellaneous Other","4501-33 & 4524-50 S McDowell",2012,14166,2623,"4501 S McDowell","4533 S McDowell"
3,"Alley Resurfacing Menu (1-1)","3745-3751 S MICHIGAN AVE",2016,40221.08,2742,"3745 S MICHIGAN AVE","3751 S MICHIGAN AVE"
3,"Alley Resurfacing Menu","5001-5013 S DR MARTIN LUTHER KING JR DR",2016,31225.43,2744,"5001 S DR MARTIN LUTHER KING JR DR","5013 S DR MARTIN LUTHER KING JR DR"
3,"Alley Resurfacing Menu","5001-5013 S DR MARTIN LUTHER KING JR DR",2016,4828.92,2748,"5001 S DR MARTIN LUTHER KING JR DR","5013 S DR MARTIN LUTHER KING JR DR"
3,"Miscellaneous CDOT Projects","3900-3920 S FEDERAL ST",2016,470.48,2753,"3900 S FEDERAL ST","3920 S FEDERAL ST"
3,"Sidewalk Menu","4839-4841 S PRAIRIE AVE",2016,9832.82,2760,"4839 S PRAIRIE AVE","4841 S PRAIRIE AVE"
3,"Sidewalk Menu","4030-4036 S WABASH AVE",2016,15052.56,2762,"4030 S WABASH AVE","4036 S WABASH AVE"
3,"Sidewalk Menu","4500-4526 S PRAIRIE AVE",2017,15674.71,2800,"4500 S PRAIRIE AVE","4526 S PRAIRIE AVE"
3,"Alley Speed Hump Menu","1474-1532 S MICHIGAN AVE",2018,4200,2816,"1474 S MICHIGAN AVE","1532 S MICHIGAN AVE"
3,"Miscellaneous CDOT Projects","3729-3733 S GILES AVE",2018,300,2826,"3729 S GILES AVE","3733 S GILES AVE"
3,"Sidewalk Menu","145-153 W SWANN ST",2018,24726.84,2833,"145 W SWANN ST","153 W SWANN ST"
3,"Sidewalk Menu","3831-3847 S MICHIGAN AVE",2018,32506.48,2837,"3831 S MICHIGAN AVE","3847 S MICHIGAN AVE"
3,"Miscellaneous CDOT Projects","4215-4229 S STATE ST",2019,19841.84,2858,"4215 S STATE ST","4229 S STATE ST"
3,"Sidewalk Menu","5300-5330 S PRAIRIE AVE",2019,19126.34,2862,"5300 S PRAIRIE AVE","5330 S PRAIRIE AVE"
3,"Sidewalk Menu","1406-1444 S PRAIRIE AVE",2019,6835.92,2863,"1406 S PRAIRIE AVE","1444 S PRAIRIE AVE"
3,"Sidewalk Menu","1240-1330 S STATE ST",2019,33179.48,2868,"1240 S STATE ST","1330 S STATE ST"
3,"Sidewalk Menu","1240-1330 S STATE ST",2019,6300,2873,"1240 S STATE ST","1330 S STATE ST"
3,"Curb & Gutter Menu","3700-3714 S CALUMET AVE",2020,45000,2906,"3700 S CALUMET AVE","3714 S CALUMET AVE"
3,"Miscellaneous CDOT Projects","4600-4614 S VINCENNES AVE",2020,300,2911,"4600 S VINCENNES AVE","4614 S VINCENNES AVE"
