ward_locate,precinct_locate,ward_precinct_locate,year,weighted_cost
1,1,01001,2003,0
1,1,01001,2004,0
1,1,01001,2005,39303.456808845
1,1,01001,2006,0
1,1,01001,2007,0
1,1,01001,2008,0
1,1,01001,2009,0
1,1,01001,2010,23078.796610029887
1,1,01001,2011,800
1,1,01001,2012,400
1,1,01001,2013,0
1,1,01001,2014,0
1,1,01001,2015,0
1,1,01001,2016,0
1,1,01001,2017,0
1,1,01001,2018,0
1,1,01001,2019,0
1,1,01001,2020,0
1,1,01001,2021,0
1,1,01001,2022,0
1,2,01002,2003,0
1,2,01002,2004,0
1,2,01002,2005,0
1,2,01002,2006,77142.37868022591
1,2,01002,2007,196.93339612609893
1,2,01002,2008,39056.96134688622
1,2,01002,2009,1746.7204883891507
1,2,01002,2010,0
1,2,01002,2011,75198.89795718032
1,2,01002,2012,0
1,2,01002,2013,133
1,2,01002,2014,3967
1,2,01002,2015,10124.900310147064
1,2,01002,2016,2250
1,2,01002,2017,700
1,2,01002,2018,2649.34
1,2,01002,2019,350
1,2,01002,2020,0
1,2,01002,2021,24066.39
1,2,01002,2022,214456.08919359572
1,3,01003,2003,0
1,3,01003,2004,0
1,3,01003,2005,11916.375415265782
1,3,01003,2006,29086.81084655883
1,3,01003,2007,18.212523065206483
1,3,01003,2008,3914.4956625673617
1,3,01003,2009,31936.999999873227
1,3,01003,2010,0.9084804819184469
1,3,01003,2011,1950.5518650283393
1,3,01003,2012,155.75877465978746
1,3,01003,2013,23808
1,3,01003,2014,56798.41588005671
1,3,01003,2015,2258.376579044523
1,3,01003,2016,61793.84792476973
1,3,01003,2017,9650
1,3,01003,2018,350
1,3,01003,2019,350
1,3,01003,2020,0
1,3,01003,2021,0
1,3,01003,2022,7234.053863792396
1,4,01004,2003,0
1,4,01004,2004,0
1,4,01004,2005,5733.962193674399
1,4,01004,2006,20429.318679710403
1,4,01004,2007,29023.539244490887
1,4,01004,2008,0
1,4,01004,2009,43.708820563411166
1,4,01004,2010,3499.0915195089665
1,4,01004,2011,696.4481349764932
1,4,01004,2012,1402.7095894953325
1,4,01004,2013,0
1,4,01004,2014,0
1,4,01004,2015,0
1,4,01004,2016,38850.2140941285
1,4,01004,2017,0
1,4,01004,2018,0
1,4,01004,2019,0
1,4,01004,2020,0
1,4,01004,2021,0
1,4,01004,2022,0
1,5,01005,2003,0
1,5,01005,2004,0
1,5,01005,2005,22392.214479049206
1,5,01005,2006,72871.89426555255
1,5,01005,2007,125909.04153654253
