ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,year,weighted_cost
01001,1,1705170.83255,5225.75886698,1,2003,0
01001,1,1705170.83255,5225.75886698,1,2004,0
01001,1,1705170.83255,5225.75886698,1,2005,0
01001,1,1705170.83255,5225.75886698,1,2006,4.085508929192749
01001,1,1705170.83255,5225.75886698,1,2007,3.8880022016093094
01001,1,1705170.83255,5225.75886698,1,2008,0
01001,1,1705170.83255,5225.75886698,1,2009,0
01001,1,1705170.83255,5225.75886698,1,2010,0
01001,1,1705170.83255,5225.75886698,1,2011,0
01001,1,1705170.83255,5225.75886698,1,2012,0
01001,1,1705170.83255,5225.75886698,1,2013,0
01001,1,1705170.83255,5225.75886698,1,2014,36271
01001,1,1705170.83255,5225.75886698,1,2015,5198.032353553764
01001,1,1705170.83255,5225.75886698,1,2016,5038.7
01001,1,1705170.83255,5225.75886698,1,2017,120000
01001,1,1705170.83255,5225.75886698,1,2018,0
01001,1,1705170.83255,5225.75886698,1,2019,34171.26926336379
01001,1,1705170.83255,5225.75886698,1,2020,3.3942530824624306
01001,1,1705170.83255,5225.75886698,1,2021,0
01001,1,1705170.83255,5225.75886698,1,2022,61420.36288308146
01002,2,1484363.50051,4889.3188391,1,2003,0
01002,2,1484363.50051,4889.3188391,1,2004,0
01002,2,1484363.50051,4889.3188391,1,2005,0
01002,2,1484363.50051,4889.3188391,1,2006,0
01002,2,1484363.50051,4889.3188391,1,2007,0
01002,2,1484363.50051,4889.3188391,1,2008,0
01002,2,1484363.50051,4889.3188391,1,2009,0
01002,2,1484363.50051,4889.3188391,1,2010,0
01002,2,1484363.50051,4889.3188391,1,2011,0
01002,2,1484363.50051,4889.3188391,1,2012,0
01002,2,1484363.50051,4889.3188391,1,2013,0
01002,2,1484363.50051,4889.3188391,1,2014,0
01002,2,1484363.50051,4889.3188391,1,2015,0
01002,2,1484363.50051,4889.3188391,1,2016,0
01002,2,1484363.50051,4889.3188391,1,2017,45735.72637222992
01002,2,1484363.50051,4889.3188391,1,2018,0
01002,2,1484363.50051,4889.3188391,1,2019,13554.84
01002,2,1484363.50051,4889.3188391,1,2020,0
01002,2,1484363.50051,4889.3188391,1,2021,0
01002,2,1484363.50051,4889.3188391,1,2022,494.79932409269526
01003,3,1373280.65152,5484.82600711,1,2003,0
01003,3,1373280.65152,5484.82600711,1,2004,0
01003,3,1373280.65152,5484.82600711,1,2005,42330.56015426171
01003,3,1373280.65152,5484.82600711,1,2006,63925.79702043843
01003,3,1373280.65152,5484.82600711,1,2007,29088.304329255516
01003,3,1373280.65152,5484.82600711,1,2008,9720.040674945347
01003,3,1373280.65152,5484.82600711,1,2009,9427.167277820003
01003,3,1373280.65152,5484.82600711,1,2010,266.6184375968983
01003,3,1373280.65152,5484.82600711,1,2011,24607.25009813407
01003,3,1373280.65152,5484.82600711,1,2012,609.3725778522909
01003,3,1373280.65152,5484.82600711,1,2013,17356.843533256797
01003,3,1373280.65152,5484.82600711,1,2014,2450
01003,3,1373280.65152,5484.82600711,1,2015,31849.315601681476
01003,3,1373280.65152,5484.82600711,1,2016,7158.163852582864
01003,3,1373280.65152,5484.82600711,1,2017,350
01003,3,1373280.65152,5484.82600711,1,2018,350
01003,3,1373280.65152,5484.82600711,1,2019,3082.78333124123
01003,3,1373280.65152,5484.82600711,1,2020,42989.51514483905
01003,3,1373280.65152,5484.82600711,1,2021,6219.527814493817
01003,3,1373280.65152,5484.82600711,1,2022,111616.71085462581
01004,4,1491991.72429,6351.76367177,1,2003,0
01004,4,1491991.72429,6351.76367177,1,2004,0
01004,4,1491991.72429,6351.76367177,1,2005,29000
01004,4,1491991.72429,6351.76367177,1,2006,10894.545380163638
01004,4,1491991.72429,6351.76367177,1,2007,400000
01004,4,1491991.72429,6351.76367177,1,2008,131473.89859063935
01004,4,1491991.72429,6351.76367177,1,2009,31052.894013609184
01004,4,1491991.72429,6351.76367177,1,2010,0
01004,4,1491991.72429,6351.76367177,1,2011,71004.08179650386
01004,4,1491991.72429,6351.76367177,1,2012,2887.286676788134
01004,4,1491991.72429,6351.76367177,1,2013,0
01004,4,1491991.72429,6351.76367177,1,2014,500
01004,4,1491991.72429,6351.76367177,1,2015,12029.085116754499
01004,4,1491991.72429,6351.76367177,1,2016,39379.75987924043
01004,4,1491991.72429,6351.76367177,1,2017,26343.404733080948
01004,4,1491991.72429,6351.76367177,1,2018,0
01004,4,1491991.72429,6351.76367177,1,2019,6874.11
01004,4,1491991.72429,6351.76367177,1,2020,71144.29515360766
01004,4,1491991.72429,6351.76367177,1,2021,0
01004,4,1491991.72429,6351.76367177,1,2022,62259.30484141424
01005,5,1563866.18209,6309.45805854,1,2003,0
01005,5,1563866.18209,6309.45805854,1,2004,0
01005,5,1563866.18209,6309.45805854,1,2005,5032.30501013878
01005,5,1563866.18209,6309.45805854,1,2006,15301.108381849248
01005,5,1563866.18209,6309.45805854,1,2007,0
01005,5,1563866.18209,6309.45805854,1,2008,12386.132126536535
01005,5,1563866.18209,6309.45805854,1,2009,16698.305775908397
01005,5,1563866.18209,6309.45805854,1,2010,0
01005,5,1563866.18209,6309.45805854,1,2011,2948.690237595181
01005,5,1563866.18209,6309.45805854,1,2012,155
01005,5,1563866.18209,6309.45805854,1,2013,27508
01005,5,1563866.18209,6309.45805854,1,2014,64531
01005,5,1563866.18209,6309.45805854,1,2015,58.91825640017101
01005,5,1563866.18209,6309.45805854,1,2016,59276.21126163118
01005,5,1563866.18209,6309.45805854,1,2017,57994.099999993035
01005,5,1563866.18209,6309.45805854,1,2018,350
01005,5,1563866.18209,6309.45805854,1,2019,2130.77
01005,5,1563866.18209,6309.45805854,1,2020,0
01005,5,1563866.18209,6309.45805854,1,2021,3527.32
01005,5,1563866.18209,6309.45805854,1,2022,0
01006,6,1466806.72937,5014.56110431,1,2003,0
01006,6,1466806.72937,5014.56110431,1,2004,0
01006,6,1466806.72937,5014.56110431,1,2005,0
01006,6,1466806.72937,5014.56110431,1,2006,0
01006,6,1466806.72937,5014.56110431,1,2007,0
01006,6,1466806.72937,5014.56110431,1,2008,0
01006,6,1466806.72937,5014.56110431,1,2009,0
01006,6,1466806.72937,5014.56110431,1,2010,0
01006,6,1466806.72937,5014.56110431,1,2011,0
01006,6,1466806.72937,5014.56110431,1,2012,0
01006,6,1466806.72937,5014.56110431,1,2013,0
01006,6,1466806.72937,5014.56110431,1,2014,0
01006,6,1466806.72937,5014.56110431,1,2015,0
01006,6,1466806.72937,5014.56110431,1,2016,56068.893177391015
01006,6,1466806.72937,5014.56110431,1,2017,36449.9
01006,6,1466806.72937,5014.56110431,1,2018,90327.2150790654
01006,6,1466806.72937,5014.56110431,1,2019,2386.85
01006,6,1466806.72937,5014.56110431,1,2020,9845.629934070797
01006,6,1466806.72937,5014.56110431,1,2021,12396.727205475272
01006,6,1466806.72937,5014.56110431,1,2022,0
01007,7,1108273.64097,4597.96394625,1,2003,0
01007,7,1108273.64097,4597.96394625,1,2004,0
01007,7,1108273.64097,4597.96394625,1,2005,17927.757041215835
01007,7,1108273.64097,4597.96394625,1,2006,7508.05051206906
01007,7,1108273.64097,4597.96394625,1,2007,0
01007,7,1108273.64097,4597.96394625,1,2008,0
01007,7,1108273.64097,4597.96394625,1,2009,61276.84699638717
01007,7,1108273.64097,4597.96394625,1,2010,68525.49591741506
01007,7,1108273.64097,4597.96394625,1,2011,6975.377659714575
01007,7,1108273.64097,4597.96394625,1,2012,20108.255012418
01007,7,1108273.64097,4597.96394625,1,2013,0
01007,7,1108273.64097,4597.96394625,1,2014,18308.032371328518
01007,7,1108273.64097,4597.96394625,1,2015,20709.670019638776
01007,7,1108273.64097,4597.96394625,1,2016,0
01007,7,1108273.64097,4597.96394625,1,2017,36.23918538904174
01007,7,1108273.64097,4597.96394625,1,2018,218.49825144607854
01007,7,1108273.64097,4597.96394625,1,2019,31874.46
01007,7,1108273.64097,4597.96394625,1,2020,0
01007,7,1108273.64097,4597.96394625,1,2021,49214.66185824137
01007,7,1108273.64097,4597.96394625,1,2022,0
01008,8,1190695.13842,5422.27716611,1,2003,0
