ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
9,Street Resurface Menu,W BRAYTON ST & S STATE ST (0 E) & W 126 PL (120 W),2011,84168,6980,0 W BRAYTON ST,0 W BRAYTON ST,41.6656812,-87.622398,google,41.6656812,-87.622398,google
20,Street Resurface Menu,E MARQUETTE RD & S MICHIGAN AV (100 E) & S MICHIGAN AV (100 E),2011,11647,17156,100 E MARQUETTE RD,100 E MARQUETTE RD,41.772839,-87.6227098,google,41.772839,-87.6227098,google
2,Sidewalk Menu,S SANGAMON ST & W MADISON ST (0 N) & W MONROE ST (100 S),2011,102615,1914,0 S SANGAMON ST,100 S SANGAMON ST,41.8814906,-87.6513691,google,41.880239,-87.6511363,google
3,Street Resurface Menu,W 15TH ST & S DEARBORN ST (36 W) & S CLARK ST (100 W),2011,29574,2743,36 W 15TH ST,100 W 15TH ST,41.861943,-87.6286621,google,41.8616882,-87.6297604,google
21,Sidewalk Menu,W 83RD ST & S LAFAYETTE AV (30 W) & S PERRY AV (100 W),2011,173,17870,30 W 83RD ST,100 W 83RD ST,41.7438691,-87.6257707,google,41.7438697,-87.6270263,google
42,Street Resurface Menu,W BURTON PL & N STATE PW (0 E) & N CLARK ST (100 W),2011,65207,36613,0 W BURTON PL,100 W BURTON PL,41.9094834,-87.6288401,google,41.9094318,-87.631621,google
3,Street Resurface Menu,W CULLERTON ST & S STATE ST (0 E) & S CLARK ST (100 W),2011,69014,2745,0 W CULLERTON ST,100 W CULLERTON ST,41.8554474,-87.6271522,google,41.855462,-87.6294545,google
42,Curb/Gutter Menu - Change Order,W HUBBARD ST & N LA SALLE DR (140 W) & N CLARK ST (100 W),2011,1872,36594,140 W HUBBARD ST,100 W HUBBARD ST,41.8901918,-87.6327838,google,41.8900213,-87.6310793,google
42,Curb/Gutter Menu,W OAK ST & N DEARBORN ST (36 W) & N CLARK ST (100 W),2011,155,36592,36 W OAK ST,100 W OAK ST,41.9008094,-87.6297325,google,41.9005498,-87.6313612,google
27,Curb/Gutter Menu,N DRAKE AVE & W IOWA ST (900 N) & W AUGUSTA BV (1000 N),2011,420,23548,900 N DRAKE AVE,1000 N DRAKE AVE,41.8974115,-87.7154178,google,41.8992592,-87.715501,google
26,Street Speed Hump Menu,N FAIRFIELD AVE & W IOWA ST (900 N) & W AUGUSTA BV (1000 N),2011,3700,22629,900 N FAIRFIELD AVE,1000 N FAIRFIELD AVE,41.8976699,-87.6957388,google,41.8992786,-87.6955604,google
27,Curb/Gutter Menu,N HAMLIN AVE & W AUGUSTA BV (1000 N) & W AUGUSTA BV (1000 N),2011,20184,23545,1000 N HAMLIN AVE,1000 N HAMLIN AVE,41.8991878,-87.7215888,google,41.8991878,-87.7215888,google
37,Street Lighting,N LEAMINGTON AVE & W CHICAGO AV (800 N) & W AUGUSTA BV (1000 N),2011,1750,32609,800 N LEAMINGTON AVE,1000 N LEAMINGTON AVE,41.894959,-87.7543753,google,41.898729,-87.754826,google
1,Curb/Gutter Menu,N PAULINA ST & W HADDON AV (1132 N) & W AUGUSTA BV (1000 N),2011,70289,386,1132 N PAULINA ST,1000 N PAULINA ST,41.9027805,-87.6702167,google,41.8996654,-87.6698357,google
27,Street Lighting,N TRUMBULL AVE & W CHICAGO AV (800 N) & W AUGUSTA BV (1000 N),2011,136500,23528,800 N TRUMBULL AVE,1000 N TRUMBULL AVE,41.8954878,-87.7126393,google,41.8992605,-87.7131245,google
