ward,type,location,year,est_cost,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
32,Alley Resurface Menu,2101 W WABANASIA AVE & 1701 N MILWAUKEE AVE & 1759 N WILMOT AVE & 1721 N HOYNE AVE,2007,14543,1721 N HOYNE AVE,2101 W WABANASIA AVE,1701 N MILWAUKEE AVE,1759 N WILMOT AVE,41.912931,-87.6797443,google,41.91269506900005,-87.68113386399995,census,41.91280077400006,-87.68119201499997,census,41.91369373900005,-87.68100708999998,census
9,Alley Speed Hump Menu,E 102 ST & E 103 ST & S CALUMET AV & DR. MARTIN LUTHER KING JR. DR,2005,3500,E 103 ST,S CALUMET AV & E 102 ST,S CALUMET AV & E 103 ST,E 102 ST,41.7079128,-87.5771934,google,41.70912136700008,-87.61503122199997,census,41.70729633800005,-87.61498298299995,census,41.7099565,-87.5513908,google
9,Alley Speed Hump Menu,E 103 ST & E 104 ST & S CALUMET AV & DR. MARTIN LUTHER KING JR. DR,2005,2625,E 104 ST,S CALUMET AV & E 103 ST,S CALUMET AV & E 104 ST,E 103 ST,41.7055689,-87.6078668,google,41.70729633800005,-87.61498298299995,census,41.705471309000075,-87.61493876499998,census,41.7079128,-87.5771934,google
10,Alley Speed Hump Menu,E 111 ST & E 112 ST & S AVENUE E & S AVENUE E,2005,3500,S AVENUE E & E 111 ST,S AVENUE E & E 112 ST,E 111 ST,E 112 ST,41.6936382,-87.5294658,google,41.6918212,-87.5294822,google,41.6927736,-87.6103676,google,41.6909269,-87.6121083,google
10,Alley Speed Hump Menu,S BRANDON AVE & E 131 ST ST & E 131 ST ST & S BURLEY AVE,2022,1400,S BRANDON AVE & E 131 ST ST,S BURLEY AVE & E 131 ST ST,E 131 ST ST,E 131 ST ST,41.65733315800003,-87.54590121899997,census,41.65732913800008,-87.54471535199997,census,41.6573344,-87.5471283,google,41.6573344,-87.5471283,google
10,Alley Resurfacing Menu,S MACKINAW AVE & E 133 RD ST & E 134 TH ST & S BUFFALO AVE,2021,21171.95,E 134 TH ST,S BUFFALO AVE & E 133 RD ST,S BUFFALO AVE & E 134 TH ST,E 133 RD ST,41.6518928,-87.5750726,google,41.65367506100006,-87.54351340599999,census,41.65185003200003,-87.54351340599999,census,41.654258,-87.605032,google
10,Alley Speed Hump Menu,E 134 ST & S BRAINARD AV & S HOUSTON AV & S BALTIMORE AV,2005,1750,S BRAINARD AV & E 134 ST,S HOUSTON AV & E 134 ST,S BALTIMORE AV & E 134 ST,E 134 ST,41.65182189300003,-87.55023063799996,census,41.65185807200004,-87.54838952899996,census,41.65185405200003,-87.54715542399998,census,41.6518928,-87.5750726,google
10,Alley Speed Hump Menu,E 134 ST & E 135 ST & S AVENUE K & S AVENUE K,2005,3500,S AVENUE K & E 134 ST,S AVENUE K & E 135 ST,E 134 ST,E 135 ST,41.65184199200007,-87.53502742399996,census,41.650033043000064,-87.53502742399996,census,41.6518928,-87.5750726,google,41.65005,-87.5471568,google
27,Alley Resurfacing Menu,N CARPENTER ST & W GRAND AVE & N ABERDEEN ST & W HUBBARD ST,2017,18214.155,N CARPENTER ST & W GRAND AVE,N ABERDEEN ST & W GRAND AVE,N CARPENTER ST & W HUBBARD ST,N ABERDEEN ST & W HUBBARD ST,41.8911313,-87.6534762,google,41.8911209,-87.6546414,google,41.89002835700006,-87.65342918599998,census,41.8900234,-87.6546142,google
27,Alley Resurfacing Menu,N ABERDEEN ST & W KINZIE ST & N CARPENTER ST & W HUBBARD ST,2015,1987,N CARPENTER ST & W HUBBARD ST,N ABERDEEN ST & W KINZIE ST,N CARPENTER ST & W KINZIE ST,N ABERDEEN ST & W HUBBARD ST,41.89002835700006,-87.65342918599998,census,41.88897916700006,-87.65456681399996,census,41.88897916700006,-87.65339702699998,census,41.8900234,-87.6546142,google
27,Alley Resurface Menu,W HUBBARD ST & W GRAND AVE & N ABERDEEN ST & N MAY ST,2011,1733,N MAY ST & W HUBBARD ST,N ABERDEEN ST & W GRAND AVE,N MAY ST & W GRAND AVE,N ABERDEEN ST & W HUBBARD ST,41.8900225,-87.6557589,google,41.8911209,-87.6546414,google,41.8911053,-87.6557952,google,41.8900234,-87.6546142,google
32,Alley Resurface Menu,N ADA ST & N NOBLE ST & W EVERGREEN AV & W BLACKHAWK ST,2009,8082,N NOBLE ST & W EVERGREEN AV,N ADA ST & W BLACKHAWK ST,N NOBLE ST & W BLACKHAWK ST,N ADA ST & W EVERGREEN AV,41.90616418500008,-87.66269904599994,census,41.90704856000008,-87.66215234099997,census,41.90705660000003,-87.66272316499999,census,41.906204384000034,-87.66161367699999,census
1,Alley Resurfacing Menu,N NOBLE ST & W OHIO ST & N ADA ST & W GRAND AVE,2016,49194.36,N NOBLE ST & W OHIO ST,N ADA ST & W OHIO ST,N NOBLE ST & W GRAND AVE,N ADA ST & W GRAND AVE,41.8925079,-87.6623074,google,41.89250862800003,-87.66081371899998,census,41.891041,-87.6622827,google,41.891045389000055,-87.66077351999996,census
33,Alley Speed Hump Menu,N ALBANY AV & N TROY ST & W ARGYLE ST & W AINSLIE ST,2010,1050,N TROY ST & W ARGYLE ST,N ALBANY AV & W AINSLIE ST,N TROY ST & W AINSLIE ST,N ALBANY AV & W ARGYLE ST,41.972098,-87.707327,google,41.9702899,-87.7060809,google,41.9702805,-87.7072937,google,41.972110437000026,-87.70613392899998,census
26,Concrete Alley Menu,W BLOOMINGDALE AV & W MOFFAT ST & N ALBANY AV & N KEDZIE AV,2008,114000,N KEDZIE AV & W BLOOMINGDALE AV,N ALBANY AV & W MOFFAT ST,N KEDZIE AV & W MOFFAT ST,N ALBANY AV & W BLOOMINGDALE AV,41.91371755400007,-87.70677711099995,census,41.9146878,-87.705191,google,41.9146934,-87.7067758,google,41.9139028,-87.7051725,google
27,Alley Speed Hump Menu,W FULTON BV & W CARROLL DR & N KEDZIE AV & N ALBANY AV,2005,1750,N KEDZIE AV & W CARROLL DR,N ALBANY AV & W CARROLL DR,N KEDZIE AV & W FULTON BV,N ALBANY AV & W FULTON BV,41.8875186,-87.7063007,google,41.8875409,-87.7038429,google,41.8864202,-87.7062786,google,41.886454678000064,-87.70381445399994,census
2,Alley Speed Hump Menu,N ALBANY AV & N SACRAMENTO AV & W LAKE ST & W WALNUT ST,2007,1000,N SACRAMENTO AV & W LAKE ST,N ALBANY AV & W WALNUT ST,N SACRAMENTO AV & W WALNUT ST,N ALBANY AV & W LAKE ST,41.8840031,-87.7012815,google,41.8854175,-87.7037832,google,41.8854478,-87.7013244,google,41.8841422,-87.7037456,google
2,Alley Resurface Menu,N ALBANY AV & W LAKE ST & N SACRAMENTO AV & W WASHINGTON,2007,31317,N SACRAMENTO AV & W LAKE ST,N ALBANY AV & W WASHINGTON,N SACRAMENTO AV & W WASHINGTON,N ALBANY AV & W LAKE ST,41.8840031,-87.7012815,google,41.88282471900004,-87.70370993699999,census,41.8827809,-87.7073974,google,41.8841422,-87.7037456,google
33,Alley Speed Hump Menu,W LELAND AV & L-TRACK & N SACRAMENTO AV & N ALBANY AV,2005,2625,NA,NA,N SACRAMENTO AV & W LELAND AV,N ALBANY AV & W LELAND AV,NA,NA,,NA,NA,,41.966667510000036,-87.70352502199995,census,41.96665143000007,-87.70597313299999,census
33,Alley Speed Hump Menu,W LAWRENCE AV & W LELAND AV & N TROY ST & N ALBANY AV,2005,1750,N TROY ST & W LAWRENCE AV,N ALBANY AV & W LAWRENCE AV,N TROY ST & W LELAND AV,N ALBANY AV & W LELAND AV,41.9684657,-87.707244,google,41.9684803,-87.7060089,google,41.9666488,-87.7071859,google,41.96665143000007,-87.70597313299999,census
35,Alley Speed Hump Menu,W MEDILL AV & W FULLERTON AV & N ALBANY AV & N KEDZIE AV,2010,2100,N KEDZIE AV & W MEDILL AV,N ALBANY AV & W FULLERTON AV,N KEDZIE AV & W FULLERTON AV,N ALBANY AV & W MEDILL AV,41.9237562,-87.7068404,google,41.92474410500006,-87.70464255099995,census,41.9246622,-87.7075582,google,41.92377933200004,-87.70461441199996,census
