ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google
16,POD Camera,49 th Pl & Throop - 1 Option II,2009,25000,49 th Pl & Throop,49 th Pl & 1 Option II,41.8041263,-87.657572,google,41.8040878,-87.6605439,google
1,Miscellaneous-Other,85 Trees & 53 concrete cut-outs,2011,49936,85 Trees & 53 concrete cut,85 Trees & outs,NA,NA,google,NA,NA,google
27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2009 , 2008 menu)",2010,19455,Albany & Walnut,"Albany & TPC = $20 ,000 (2009 , 2008 menu)",41.8854175,-87.7037832,google,NA,NA,google
27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2010 , 2009 , 2008 menu)",2009,413,Albany & Walnut,"Albany & TPC = $20 ,000 (2010 , 2009 , 2008 menu)",41.8854175,-87.7037832,google,NA,NA,google
27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2010 ,2009 ,2008 )",2008,132,Albany & Walnut,"Albany & TPC = $20 ,000 (2010 ,2009 ,2008 )",41.8854175,-87.7037832,google,NA,NA,google
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google
32,Miscellaneous-CDOT,Augusta & Hoyne - Markings,2008,2000,Augusta & Hoyne,Augusta & Markings,41.8994957,-87.6795799,google,41.8991199,-87.7158208,google
1,Miscellaneous-CDOT,Clybourn & Leavitt to Hoyne-alley apron change orde,2011,1488,Clybourn & Leavitt to Hoyne,Clybourn & alley apron change orde,41.9358746,-87.6831101,google,41.9802412,-87.9089846,google
2,Miscellaneous Other,Congress Pkwy - Michigan & Wells,2012,117050,Congress Pkwy & Michigan,Congress Pkwy & Wells,41.8757864,-87.6241938,google,41.8756691,-87.6336548,google
23,Miscellaneous-CDOT,Diagonal Parking-Archer & Kolin,2006,25000,Diagonal Parking & Archer,Diagonal Parking & Kolin,41.7184175,-87.8930973,google,41.8489175,-87.7322405,google
26,POD Camera,Drake & Wabansia - SW corner,2009,37000,Drake & Wabansia,Drake & SW corner,41.9118273,-87.7149673,google,41.8160168,-87.6840685,google
42,Miscellaneous-CDOT,Erie & Kingsbury-street markings,2007,7500,Erie & Kingsbury,Erie & street markings,41.8939033,-87.6414673,google,41.8941787,-87.6217419,google
43,Chicago Park District,Goudy Park -Astor & Schiller,2011,200000,Goudy Park & Astor,Goudy Park & Schiller,41.905567,-87.6268213,google,41.905567,-87.6268213,google
2,Miscellaneous-CDOT,Jackson - between Damen & Ogden,2007,13800,Jackson & between Damen,Jackson & Ogden,41.870273,-87.6766742,google,41.8775534,-87.6707067,google
41,Miscellaneous Other,LeHigh & Hiawatha - underpass,2013,3000,LeHigh & Hiawatha,LeHigh & underpass,42.0024082,-87.7684099,google,42.0042155,-87.7693321,google
48,Chicago Park District,Lincoln Park Walking Path - W. of LSD & E. of Sheridan,2012,20000,Lincoln Park Walking Path & W. of LSD,Lincoln Park Walking Path & E. of Sheridan,41.9152119,-87.6312121,google,41.9254701,-87.6487783,google
11,Schools,McInerney Playlot-4400 S Halsted & Emerald,2007,10000,McInerney Playlot & 4400 S Halsted,McInerney Playlot & Emerald,NA,NA,google,NA,NA,google
47,Miscellaneous-Other,North Center Senior Campus- Irving Park Rd & Oakley,2008,20000,North Center Senior Campus & Irving Park Rd,North Center Senior Campus & Oakley,41.9541307,-87.6855099,google,41.9541553,-87.6787412,google
47,Miscellaneous-Other,North Center Senior Campus-Irving & Oakley,2005,50000,North Center Senior Campus & Irving,North Center Senior Campus & Oakley,41.9541553,-87.6787412,google,41.9541553,-87.6787412,google
45,Chicago Park District,Our Lady of Victory & St Johns Food PantryGarden - rain barrels. planting,2013,2500,Our Lady of Victory & St Johns Food PantryGarden,Our Lady of Victory & rain barrels. planting,NA,NA,google,41.9619884,-87.758604,google
22,Chicago Park District,Piotrowski Park - drinking fountain & lighting,2010,30000,Piotrowski Park & drinking fountain,Piotrowski Park & lighting,41.8361245,-87.7307657,google,41.8361245,-87.7307657,google
43,Miscellaneous-CDOT,Pocket Plaza & Wells-Menomonee,2005,156107,Pocket Plaza & Wells,Pocket Plaza & Menomonee,41.8989026,-87.6342911,google,41.9147032,-87.6387209,google
43,Miscellaneous-CDOT,Pocket Plaza & Wells-Menomonee,2006,400036,Pocket Plaza & Wells,Pocket Plaza & Menomonee,41.8989026,-87.6342911,google,41.9147032,-87.6387209,google
14,Miscellaneous-CDOT,S Albany & W Pope John Paul II Dr - W 44 ST,2006,5682,S Albany & W Pope John Paul II Dr,S Albany & W 44th ST,41.81544,-87.7017742,google,41.8136152,-87.7017024,google
14,Miscellaneous-CDOT,S Albany & W 44 ST - W 45 ST,2006,6491,S Albany & W 44th ST,S Albany & W 45th ST,41.8136152,-87.7017024,google,41.8117958,-87.7016499,google
14,Miscellaneous-CDOT,S Albany & W 45 ST - W 46 ST,2006,1025,S Albany & W 45th ST,S Albany & W 46th ST,41.8117958,-87.7016499,google,41.8099805,-87.7015897,google
14,Miscellaneous-CDOT,S Albany & W 46 ST - W 47 ST,2006,4469,S Albany & W 46th ST,S Albany & W 47th ST,41.8099805,-87.7015897,google,41.8081731,-87.7015375,google
14,Miscellaneous-CDOT,S Albany & W 52ST-W 53ST,2006,10006,S Albany & W 52ST,S Albany & W 53ST,41.7990395,-87.701267,google,41.7972144,-87.7012138,google
14,Miscellaneous-CDOT,S California & W 51ST-W 52ST,2006,1258,S California & W 51ST,S California & W 52ST,41.8009849,-87.6939976,google,41.7991646,-87.6939396,google
14,Miscellaneous-CDOT,S California & W 52ST-W 53ST,2006,4568,S California & W 52ST,S California & W 53ST,41.7991646,-87.6939396,google,41.7973296,-87.6938973,google
14,Miscellaneous-CDOT,S Christiana & W 56ST-W 57ST,2006,6341,S Christiana & W 56ST,S Christiana & W 57ST,41.7916393,-87.7071639,google,41.7898187,-87.7071079,google
14,Miscellaneous-CDOT,S Christiana & W 58ST-W 59ST,2006,5031,S Christiana & W 58ST,S Christiana & W 59ST,41.7879968,-87.7070491,google,41.7862043,-87.7070086,google
14,Miscellaneous-CDOT,S Francisco & S Archer - W 42 St,2006,3653,S Francisco & S Archer,S Francisco & W 42 St,41.8183119,-87.697352,google,41.817515,-87.682913,google
