ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2
9,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 100 ST (10007 S) -to- E 115 ST (11500 S),2009,10995,6911,DR. MARTIN LUTHER KING JR. DR AND E 100th ST,DR. MARTIN LUTHER KING JR. DR AND E 115th ST,41.71250209200008,-87.61392575299999,census,41.6854158,-87.6131731,google
9,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 100 ST (10007 S) -to- E 115 ST (11500 S),2010,2800,6943,DR. MARTIN LUTHER KING JR. DR AND E 100th ST,DR. MARTIN LUTHER KING JR. DR AND E 115th ST,41.71250209200008,-87.61392575299999,census,41.6854158,-87.6131731,google
9,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 100 ST (10007 S) -to- E 115 ST (11500 S),2010,24105,6944,DR. MARTIN LUTHER KING JR. DR AND E 100th ST,DR. MARTIN LUTHER KING JR. DR AND E 115th ST,41.71250209200008,-87.61392575299999,census,41.6854158,-87.6131731,google
2,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 25 ST (2458 S) -to- E 26 ST (2600 S),2009,3300,1584,DR. MARTIN LUTHER KING JR. DR AND E 25th ST,DR. MARTIN LUTHER KING JR. DR AND E 26th ST,41.8478295,-87.6173563,google,41.84566890000008,-87.61729843799998,census
2,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 25 ST (2458 S) -to- E 26 ST (2600 S),2009,1950,1585,DR. MARTIN LUTHER KING JR. DR AND E 25th ST,DR. MARTIN LUTHER KING JR. DR AND E 26th ST,41.8478295,-87.6173563,google,41.84566890000008,-87.61729843799998,census
2,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 26 ST (2600 S) -to- E 35 ST (3500 S),2008,22800,1378,DR. MARTIN LUTHER KING JR. DR AND E 26th ST,DR. MARTIN LUTHER KING JR. DR AND E 35th ST,41.84566890000008,-87.61729843799998,census,41.83122142500008,-87.61696478799996,census
2,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 26 ST (2600 S) -to- E 35 ST (3500 S),2008,9600,1379,DR. MARTIN LUTHER KING JR. DR AND E 26th ST,DR. MARTIN LUTHER KING JR. DR AND E 35th ST,41.84566890000008,-87.61729843799998,census,41.83122142500008,-87.61696478799996,census
3,Street Speed Hump Menu,DR. MARTIN LUTHER KING JR. DR-- E 40 ST (4034 S) -to- E 42 ST (4200 S) 3,2007,4950,2564,DR. MARTIN LUTHER KING JR. DR AND E 40th ST,DR. MARTIN LUTHER KING JR. DR AND E 42nd ST,41.822088,-87.6172104,google,41.8175387,-87.6165506,google
3,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 42 ST (4200 S) -to- E 44 ST (4400 S),2007,2800,2585,DR. MARTIN LUTHER KING JR. DR AND E 42nd ST,DR. MARTIN LUTHER KING JR. DR AND E 44th ST,41.8175387,-87.6165506,google,41.814828325000065,-87.61647838099998,census
3,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 44 ST (4400 S) -to- E 45 ST (4500 S),2008,29410,2609,DR. MARTIN LUTHER KING JR. DR AND E 44th ST,DR. MARTIN LUTHER KING JR. DR AND E 45th ST,41.814828325000065,-87.61647838099998,census,41.81301535600005,-87.61642612299994,census
