ward,type,location,year,est_cost,id,lat,long,query
43,Street Resurfacing Menu,1-20 E BANKS ST,2021,13606.915,38057,41.90676331600008,-87.62867005799995,census
33,Miscellaneous-CDOT,100 tree grates on Kedzie Ave,2006,186000,28751,41.9241386,-87.7071964,google
34,Alley Resurfacing Menu,100- 134 W 111TH ST,2016,7769.115,30149,41.692548077000026,-87.62661576099998,census
5,Sidewalk Menu,1001 E 53RD ST,2021,2900.155,4459,41.79940013700008,-87.60123908199995,census
44,Alley Resurfacing Menu,1002 WDIVERSEY PKWY,2021,3367.96,38856,41.9328853,-87.6541799,google
9,Miscellaneous CDOT Projects,10048 S MICHIGAN AVE,2022,187.5,7316,41.71148600400005,-87.61999136799994,census
10,Sidewalk Menu,10254 S AVENUE G,2021,7252.28,8420,41.70874648400007,-87.53166610199997,census
26,Street Speed Hump Menu,1045 NSACRAMENTO AVE,2021,1175,23131,41.9007907,-87.7015545,google
10,POD Camera,104th AVE & S M AVE,2007,36000,7801,41.7027492,-87.5377098,google
9,Bollard Menu,10557 DR. MARTIN LUTHER KING JR. DR,2008,714,6845,41.701995,-87.613296,google
43,Sidewalk Menu,1056 W ARMITAGE AVE,2021,3430.79,38051,41.91808294400005,-87.65543090799997,census
44,Miscellaneous Other,108 signs will be posted in the designated areas of the ward,2013,10497,38429,41.8914528,-87.6273439,google
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,110 E ROOSEVELT RD,2021,27410,3763,41.86754192700005,-87.62379352099998,census
9,Sidewalk Menu,11040 S INDIANA AVE,2022,11533.455,7318,41.693902525000055,-87.61828101999998,census
26,Sidewalk Menu,1111 N FRANCISCO AVE,2021,2847.95,23113,41.90130734500008,-87.69930568899997,census
26,Sidewalk Menu,1130 N FRANCISCO AVE,2021,2847.95,23113,41.901537174000055,-87.69932612699995,census
19,POD Camera,11300 S Hermosa,2007,12000,16379,41.68907428600005,-87.66828198199994,census
44,Alley Apron Menu,1142 W OAKDALE AVE,2022,18813.92,38887,41.93531137900004,-87.65718471199995,census
44,Alley Apron Menu,1143 W GEORGE ST,2022,41172.68,38886,41.93438470800004,-87.65794265299996,census
2,Curb & Gutter Menu,115 W CHICAGOAVE,2022,10184.52,2470,41.8963217,-87.6319807,google
34,Alley Resurfacing Menu,117 th St - 117 th Pl - Lowe - Wallace,2012,2762,29914,41.6813358,-87.619847,google
9,Miscellaneous CDOT Projects,11919 S MICHIGANAVE,2022,187.5,7316,41.677304,-87.620146,google
34,Alley Resurfacing Menu,12222 S BISHOP ST,2022,27478.875,30393,41.67160519500004,-87.65754501499998,census
37,Sidewalk Menu,1234 N LAMON AVE,2021,10538.345,33016,41.90327427600005,-87.74844740299994,census
32,Miscellaneous-CDOT,1300 block of W. Altgeld,2010,49300,28132,41.9275538,-87.6607368,google
26,Alley Resurfacing Menu,1300 N ARTESIANAVE,2022,22075.835,23145,41.9049718,-87.6886019,google
2,2 POD Cameras: 2000 W Chicago Ave; 1300 N Cleveland,1300 N CLEVELAND AVE,2021,24776,2417,41.90573744200003,-87.64085832499995,census
49,Miscellaneous Other,1300 W ALBION AVE,2015,6000,42693,42.002453743000046,-87.66364494499999,census
25,POD Camera,1301 S Heath,2007,24000,21513,41.86473199400007,-87.68435161199994,census
49,Alley Resurfacing Menu,1309 W ARTHUR AVE,2022,34720.455,43020,42.000400797000054,-87.66366306099997,census
29,Miscellaneous CDOT Projects,132 N WALLER AVE,2022,125,25563,41.88302476500007,-87.76822094699997,census
29,Alley Resurfacing Menu,1324 N CENTRALAVE,2022,18001.14,25541,41.904717,-87.7660513,google
10,Sidewalk Menu,13316 S AVENUE K,2021,4050.94,8434,41.65326443400005,-87.53503878099997,census
49,Miscellaneous Other,1335 W COLUMBIA AVE,2015,6000,42693,42.00447164500008,-87.66470121599997,census
44,Alley Apron Menu,1343 W WAVELAND AVE,2022,16907.375,38888,41.948903923000046,-87.66298744099998,census
43,POD Camera,1350 N Wells,2008,24000,37352,41.90718944400004,-87.63459556699996,census
9,Miscellaneous-CDOT,137 - 141 E 114 th Place (parkway),2010,41,6931,41.6860772,-87.6193128,google
26,Alley Resurfacing Menu,1400 N KARLOV AVE,2022,24739.38,23147,41.90629269200008,-87.72886331799998,census
29,Street Resurfacing Menu,1400 N PARKSIDE AVE,2022,1340.87,25587,41.90589038200005,-87.76700318099995,census
26,Alley Resurfacing Menu,1400 NCENTRAL PARK AVE,2022,23051.98,23146,41.9064972,-87.7170019,google
48,Speed Indicator Signs,1416 WFOSTER AVE,2021,5500,42186,41.976502,-87.665467,google
26,Sidewalk Menu,1456 N SPRINGFIELD AVE,2022,3742.22666666667,23180,41.90732668000004,-87.72401591699997,census
29,Alley Resurfacing Menu,1457 N MASON AVE,2022,18976.075,25542,41.90666101800008,-87.77429339699995,census
28,Street Light Upgrade Menu,147 S WHIPPLE ST,2021,625,24774,41.87859922600006,-87.70237498199998,census
17,Alley Apron Menu,1500 W 74TH ST,2022,8617.77666666667,15368,41.759478976000025,-87.66213252899996,census
49,Alley Resurfacing Menu,1500 W PRATTBLVD,2022,18793.085,43023,42.005579,-87.6680236,google
49,Alley Resurfacing Menu,1500 WFARWELL AVE,2022,24325.755,43022,42.0067985,-87.6683072,google
26,Alley Resurfacing Menu,1501 N KARLOV AVE,2021,18594.74,23075,41.90809082800007,-87.72890513899995,census
26,Alley Resurfacing Menu,1501 N KARLOV AVE,2022,2960.665,23148,41.90809082800007,-87.72890513899995,census
26,Alley Resurfacing Menu,1501 NSPRINGFIELD AVE,2022,25872.175,23149,41.9082291,-87.7237456,google
47,Speed Indicator Signs,1511 W IRVINGPARK RD,2022,985.096666666667,41398,41.95430156400005,-87.66777189899994,census
32,Alley Apron Menu,1544 W BARRY AVE,2021,15881.71,28593,41.93788149300008,-87.66726343299996,census
24,Miscellaneous-CDOT,16 th St. at Spaulding Ave,2009,1200,20816,41.9389721,-87.7100495,google
43,Alley Resurfacing Menu,1600 N HALSTED ST,2022,26311.91,38069,41.91172191600003,-87.64830260099995,census
49,Miscellaneous Other,1600 W Birchwood Ave,2013,3228,42576,42.0178417,-87.6706624,google
49,Alley Resurfacing Menu,1600 W LUNT AVE,2022,14447.975,43018,42.00905349000004,-87.67013505099999,census
24,Miscellaneous CDOT Projects,1608 S TRUMBULL AVE,2022,150,21295,41.85880997800007,-87.71155153599994,census
24,Miscellaneous CDOT Projects,1610 S TRUMBULL AVE,2022,150,21295,41.85879442400005,-87.71155119799994,census
8,Alley Speed Hump Menu,1614 E 83RD PL,2021,350,6519,41.74331668000008,-87.58434834999997,census
12,Alley Resurfacing Menu,1614 W 33RD ST,2021,7005.23,10275,41.834177820000036,-87.66628417299995,census
