ward,type,location_dash,year,est_cost,start_address,end_address,lat_start,lon_start,query_start,lat_end,lon_end,query_end
44,Alley Resurfacing Menu,1244-1254 WADDISON ST,2022,6576.85,1244 WADDISON ST,1254 WADDISON ST,41.9472545,-87.660761,google,41.9473091,-87.661315,google
6,Sidewalk Menu,129-131 E 72 ND ST,2021,20933.99,129 E 72 ND ST,131 E 72 ND ST,41.76377463000006,-87.62058248999995,census,41.76377486400003,-87.62056841799995,census
47,Speed Indicator Signs,1466-1468 W IRVING PARK RD,2022,985.096666666667,1466 W IRVING PARK RD,1468 W IRVING PARK RD,41.95433430000003,-87.66630227099995,census,41.95433396400006,-87.66632786799994,census
1,Alley Resurfacing Menu,2342-2346 W ALTGELD ST,2021,5081.48333333333,2342 W ALTGELD ST,2346 W ALTGELD ST,41.926441959000044,-87.68694205299994,census,41.926441959000044,-87.68695638899999,census
22,Alley Resurfacing Menu,2700-2758 S SAWYER AVE,2022,23520.15,2700 S SAWYER AVE,2758 S SAWYER AVE,41.84253261500004,-87.70620477899996,census,41.84161049900007,-87.70617680899994,census
50,Alley Resurfacing Menu,2801-2813 WDEVON AVE,2021,5642.81,2801 WDEVON AVE,2813 WDEVON AVE,41.9972444,-87.699802,google,41.9974372,-87.7002002,google
31,Alley Apron Menu,2811-2815 NLINDER AVE,2021,6577.91,2811 NLINDER AVE,2815 NLINDER AVE,41.9317581,-87.7632018,google,41.9318271,-87.763514,google
31,Street Light Upgrade Menu,2923-2925 N LONG AVE,2022,500,2923 N LONG AVE,2925 N LONG AVE,41.93380106300003,-87.76141257199998,census,41.93385216300004,-87.76141443699998,census
44,Sidewalk Menu,2935-2951 N SHEFFIELD AVE,2021,17817.455,2935 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93549948400005,-87.65394654899995,census,41.93567464600005,-87.65395331299999,census
44,Miscellaneous CDOT Projects,2937-2951 N SHEFFIELD AVE,2021,2212.5,2937 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93552138100006,-87.65394752199995,census,41.93567464600005,-87.65395331299999,census
44,Miscellaneous CDOT Projects,2937-2951 N SHEFFIELD AVE,2022,537.5,2937 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93552138100006,-87.65394752199995,census,41.93567464600005,-87.65395331299999,census
44,Alley Resurfacing Menu,3154-3184 N CLARKST,2021,7070.74333333333,3154 N CLARKST,3184 N CLARKST,41.9391245,-87.650436,google,41.9398812,-87.6507725,google
31,Alley Apron Menu,3112-3210 NLAMON AVE,2021,5988.675,3112 NLAMON AVE,3210 NLAMON AVE,41.9373532,-87.7492758,google,41.9391272,-87.7493416,google
44,Alley Resurfacing Menu,3236-3258 NSOUTHPORT AVE,2022,5672.35,3236 NSOUTHPORT AVE,3258 NSOUTHPORT AVE,41.9408433,-87.6640231,google,41.9414839,-87.6641526,google
44,Alley Resurfacing Menu,3309-3321 N CLARK ST,2022,2762.315,3309 N CLARK ST,3321 N CLARK ST,41.941980983000064,-87.65230553599997,census,41.94220891100008,-87.65248914399996,census
