ward,type,location,year,est_cost,id,address,lat,long,query
49,Alley Speed Hump Menu  2,037 W ESTES AVE,2019,700,42895,037 W ESTES AVE,42.0111179,-87.6860386,google
9,Sidewalk Menu,10 E 91ST ST,2018,34065.71,7178,10 E 91ST ST,41.729057116000035,-87.62341537099996,census
43,Street Resurfacing Menu,10 E SCOTT ST,2021,12701.75,38055,10 E SCOTT ST,41.90486923200007,-87.62835731899997,census
29,Street Speed Hump Menu,100 S MASON AVE,2022,3525,25591,100 S MASON AVE,41.8789683,-87.773289,google
4,Miscellaneous-Other,1000 E 43 rd Street,2007,257000,3294,1000 E 43 rd Street,41.817112,-87.601473,google
4,Miscellaneous-Other,1000 E 43 Street,2006,90000,3263,1000 E 43 Street,41.817112,-87.601473,google
4,Miscellaneous CDOT Projects,1000 E 43RD ST,2016,831,3610,1000 E 43RD ST,41.816891989000055,-87.60058004499996,census
37,Bollard Menu,1000 N CICERO AV,2010,800,32563,1000 N CICERO AV,41.86831582000008,-87.74483270699994,census
37,Street Speed Hump Menu,1000 N KARLOV AVE,2018,3700,32917,1000 N KARLOV AVE,41.86902138900007,-87.72772246699998,census
27,Alley Resurfacing Menu,1000 N RIDGEWAY AVE,2016,35479.79,23734,1000 N RIDGEWAY AVE,41.89922299600005,-87.72010320799995,census
27,POD Camera,1000 N. Avers,2010,13000,23518,1000 N. Avers,41.8992301,-87.7228831,google
16,Guardrail Menu,1000 S MORGAN ST,2007,18024,13969,1000 S MORGAN ST,41.86931714100007,-87.65112547799998,census
43,Sidewalk Menu,1000 W ARMITAGE AVE,2018,5242.22,37948,1000 W ARMITAGE AVE,41.9183532,-87.6536,google
43,Miscellaneous-CDOT,1000 W. Armitage Ave.,2008,454,37285,1000 W. Armitage Ave.,41.91811113700004,-87.65344737899994,census
10,Sidewalk Menu,10000 S COMMERCIAL AVE,2018,4838,8274,10000 S COMMERCIAL AVE,41.71326334500003,-87.55096231999994,census
10,Street Lighting,10000 S EWING AV,2008,500,7847,10000 S EWING AV,41.71361592300008,-87.53527998099997,census
10,Sidewalk Menu,10001 S COMMERCIAL AVE,2018,4838,8274,10001 S COMMERCIAL AVE,41.71326133300005,-87.55094788099996,census
10,Sidewalk Menu,10005 S AVENUE N,2017,2062.82,8247,10005 S AVENUE N,41.7136689,-87.5384161,google
10,Sidewalk Menu,10005 S AVENUE N,2018,2217,8289,10005 S AVENUE N,41.7136689,-87.5384161,google
5,Sidewalk Menu,1001 E 53RD ST,2019,14490,4427,1001 E 53RD ST,41.7992234,-87.6011175,google
37,Alley Resurfacing Menu (1-1),1001 N LECLAIRE AVE,2019,18077.875,32926,1001 N LECLAIRE AVE,41.89875755200006,-87.75323482699997,census
