ward,type,location,year,est_cost,id,start_address,end_address,lat_1,lon_1,query_1,lat_2,lon_2,query_2
26,Curb & Gutter Menu,1015-1021 N CAMPBELL AVE,2017,9931.4,22866,1015 N CAMPBELL AVE,1021 N CAMPBELL AVE,NA,NA,census,41.86920214700007,-87.68853290799996,census
10,Sidewalk Menu,10214-10216 S EWING AVE,2016,9654.45,8198,10214 S EWING AVE,10216 S EWING AVE,41.70968420300005,-87.53529199599996,census,41.70965280300004,-87.53529203999994,census
1,Sidewalk Menu,1001-1027 N MARSHFIELD AVE,2022,36340.46,1006,1001 N MARSHFIELD AVE,1027 N MARSHFIELD AVE,41.900146419000066,-87.66860816799993,census,41.90061925700007,-87.66862785699999,census
10,Sidewalk Menu,10307-10309 S EWING AVE,2016,8816.2,8197,10307 S EWING AVE,10309 S EWING AVE,41.70806616700003,-87.53527797099997,census,41.708035779000056,-87.53527730299999,census
10,Sidewalk Menu,10357-10359 S AVENUE G,2022,13370.58,8494,10357 S AVENUE G,10359 S AVENUE G,41.70719440900007,-87.53164900399997,census,41.707162985000025,-87.53164888899994,census
10,Sidewalk Menu,10517-10527 S BENSLEY AVE,2018,19102,8285,10517 S BENSLEY AVE,10527 S BENSLEY AVE,41.70429234000005,-87.56323672799994,census,41.704177601000026,-87.56323397199998,census
48,Curb & Gutter Menu,1055-1059 W BERWYN AVE,2020,11256.855,42134,1055 W BERWYN AVE,1059 W BERWYN AVE,41.97818597000003,-87.65721942399995,census,41.97818489400004,-87.65727537799995,census
10,Sidewalk Menu,10632-10636 S MACKINAW AVE,2016,8794.43,8188,10632 S MACKINAW AVE,10636 S MACKINAW AVE,41.70181732400005,-87.54256803599998,census,41.70177142800003,-87.54256803599998,census
10,Sidewalk Menu,10632-10640 S MACKINAW AVE,2018,4960,8287,10632 S MACKINAW AVE,10640 S MACKINAW AVE,41.70181732400005,-87.54256803599998,census,41.70172553200007,-87.54256803599998,census
10,Miscellaneous-CDOT,10601-10643 Ewing,2006,16339,7637,10601 Ewing,10643 Ewing,41.7027328,-87.5352922,google,41.7014545,-87.5352776,google
10,Sidewalk Menu,10633-10643 S MACKINAW AVE,2018,4960,8287,10633 S MACKINAW AVE,10643 S MACKINAW AVE,41.70181732400005,-87.54255334999993,census,41.70170258400003,-87.54255334999993,census
10,Sidewalk Menu,10642-10646 S AVENUE L,2022,16390.2,8498,10642 S AVENUE L,10646 S AVENUE L,41.70184321900007,-87.53649800599999,census,41.70178555500007,-87.53649800599999,census
10,Sidewalk Menu,10647-10651 S AVENUE F,2022,5035.41,8499,10647 S AVENUE F,10651 S AVENUE F,41.70184978100008,-87.53044142899995,census,41.70178762200004,-87.53044142899995,census
10,Sidewalk Menu,10654-10656 S MACKINAW AVE,2016,5217.1,8204,10654 S MACKINAW AVE,10656 S MACKINAW AVE,41.70156489800007,-87.54256803599998,census,41.701541950000035,-87.54256803599998,census
10,Street Resurfacing Menu,10653-10700 S AVENUE D,2021,25198.485,8451,10653 S AVENUE D,10700 S AVENUE D,41.701553826000065,-87.52816617299999,census,41.70073829300003,-87.52818085899997,census
10,Sidewalk Menu,10710-10712 S MACKINAW AVE,2018,5180.5,8278,10710 S MACKINAW AVE,10712 S MACKINAW AVE,41.70065251600005,-87.54256803499999,census,41.70062143600006,-87.54256803499999,census
10,Sidewalk Menu,10722-10724 S MACKINAW AVE,2018,5180.5,8278,10722 S MACKINAW AVE,10724 S MACKINAW AVE,41.70046601800004,-87.54256750699994,census,41.70043493800006,-87.54256737099996,census
