ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
27,Street Lighting,N ABERDEEN ST & W MADISON ST (0 N) & W WASHINGTON BV (44 N),2011,2000,N ABERDEEN ST & W MADISON ST,N ABERDEEN ST & W WASHINGTON BV,41.88170317100003,-87.65435777999994,census,41.8830201,-87.6544,google
33,Sidewalk Menu,W EASTWOOD AVE & N SACRAMENTO AV (3000 W) & N ALBANY AV (3100 W),2011,60150,N SACRAMENTO AV  & W EASTWOOD AVE,N ALBANY AV  & W EASTWOOD AVE,41.965626359000055,-87.70349286299995,census,41.9655997,-87.7059293,google
50,Street Resurface Menu,W FARGO AVE & N SACRAMENTO AV (3000 W) & N ALBANY AV (3100 W),2011,51973,N SACRAMENTO AV  & W FARGO AVE,N ALBANY AV  & W FARGO AVE,42.0164936,-87.7043499,google,42.016445,-87.7067203,google
50,Street Resurface Menu,W JARVIS AVE & N SACRAMENTO AV (3000 W) & N ALBANY AV (3100 W),2011,50686,N SACRAMENTO AV  & W JARVIS AVE,N ALBANY AV  & W JARVIS AVE,42.01559757900003,-87.70437321799994,census,42.0155415,-87.7067292,google
33,Street Resurface Menu,N ALBANY AVE & W WAVELAND AV (3700 N) & W GRACE ST (3800 N),2011,73521,N ALBANY AVE & W WAVELAND AV,N ALBANY AVE & W GRACE ST,41.94846948000003,-87.70542240899994,census,41.9502949,-87.7054592,google
33,Street Resurface Menu,N ALBANY AVE & W MONTROSE AV (4400 N) & W SUNNYSIDE AV (4500 N),2011,33025,N ALBANY AVE & W MONTROSE AV,N ALBANY AVE & W SUNNYSIDE AV,41.961204483000074,-87.70579625799996,census,41.9630301,-87.7058442,google
33,Street Resurface Menu,N ALBANY AVE & W ADDISON ST (3600 N) & W WAVELAND AV (3700 N),2011,50165,N ALBANY AVE & W ADDISON ST,N ALBANY AVE & W WAVELAND AV,41.94664847100006,-87.70536613099995,census,41.9484759,-87.705422,google
35,Street Speed Hump Menu,N ALBANY AVE & W GEORGE ST (2900 N) & W WELLINGTON AV (3000 N),2011,3700,N ALBANY AVE & W GEORGE ST,N ALBANY AVE & W WELLINGTON AV,41.93387326900006,-87.70502443999999,census,41.9357023,-87.705071,google
27,Sidewalk Menu,N ARMOUR ST & W OHIO ST (600 N) & W ERIE ST (632 N),2011,3404,N ARMOUR ST & W OHIO ST,N ARMOUR ST & W ERIE ST,41.89245636900006,-87.66555316599994,census,41.893372904000046,-87.66557728599997,census
40,Street Resurface Menu,N ARTESIAN AVE & W CATALPA AV (5500 N) & W BRYN MAWR AV (5600 N),2011,60262,N ARTESIAN AVE & W CATALPA AV,N ARTESIAN AVE & W BRYN MAWR AV,41.98137225800008,-87.69058902499995,census,41.9831575,-87.6906564,google
