ward,type,location,year,est_cost,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
1,Alley Resurfacing Menu,N NOBLE ST & W OHIO ST & N ADA ST & W GRAND AVE,2016,49194.36,N NOBLE ST & W OHIO ST,N ADA ST & W OHIO ST,N NOBLE ST & W GRAND AVE,N ADA ST & W GRAND AVE,41.89248852800006,-87.66230107699994,census,41.8925161,-87.6608067,google,41.891041,-87.6622827,google,41.8910592,-87.6607631,google
1,Alley Speed Hump Menu,N PAULINA ST & N ASHLAND AV & W JULIAN ST & W BEACH AV,2008,500,N PAULINA ST & W JULIAN ST,N ASHLAND AV & W JULIAN ST,N PAULINA ST & W BEACH AV,N ASHLAND AV & W BEACH AV,41.908333,-87.6700519,google,41.908359044000065,-87.66762340799994,census,41.9075798,-87.6700349,google,41.9075948,-87.6676808,google
1,Concrete Alley Menu,W PIERCE AV & W LE MOYNE ST & N ASHLAND AV & N PAULINA ST,2009,63000,N PAULINA ST & W PIERCE AV,N ASHLAND AV & W LE MOYNE ST,N PAULINA ST & W LE MOYNE ST,N ASHLAND AV & W PIERCE AV,41.90983836200007,-87.67010769899997,census,41.9088222,-87.6675874,google,41.9090797,-87.6700788,google,41.9098625,-87.6676226,google
1,Alley Speed Hump Menu,N ASHLAND AVE & N PAULINA ST & W DIVISION ST & N MILWAUKEE AVE,2011,2200,N PAULINA ST & W DIVISION ST,N MILWAUKEE AVE & W DIVISION ST,N ASHLAND AVE & N MILWAUKEE AVE,N ASHLAND AVE & W DIVISION ST; N PAULINA ST & N MILWAUKEE AVE,41.9032963,-87.6699345,google,41.9033511,-87.6664433,google,41.9040756,-87.6675911,google,41.9035994,-87.6673332,google
1,Alley Speed Hump Menu,N ASHLAND AVE & W LE MOYNE ST & N PAULINA ST & W JULIAN ST,2014,700,N PAULINA ST & W JULIAN ST,N ASHLAND AVE & W LE MOYNE ST,N PAULINA ST & W LE MOYNE ST,N ASHLAND AVE & W JULIAN ST,41.908333,-87.6700519,google,41.9088222,-87.6675874,google,41.9090797,-87.6700788,google,41.9083559,-87.66758,google
1,Concrete Alley Menu,W NORTH AV & W LE MOYNE ST & N BELL AV & N LEAVITT ST,2009,245000,N LEAVITT ST & W NORTH AV,N BELL AV & W LE MOYNE ST,N LEAVITT ST & W LE MOYNE ST,N BELL AV & W NORTH AV,41.91039310700006,-87.68234423599995,census,41.908548,-87.6835038,google,41.9085664,-87.6822996,google,41.9103779,-87.6835542,google
1,Alley Speed Hump Menu,N LEAVITT ST & N BELL AV & W HIRSCH ST & W POTOMAC AV,2007,1000,N LEAVITT ST & W HIRSCH ST,N BELL AV & W HIRSCH ST,N LEAVITT ST & W POTOMAC AV,N BELL AV & W POTOMAC AV,41.906737,-87.682242,google,41.9067288,-87.6834486,google,41.9049164,-87.6821928,google,41.9048886,-87.6834124,google
1,Alley Speed Hump Menu,N BINGHAM ST & W ARMITAGE AVE & N STAVE ST & W FRANCIS PL,2014,700,N STAVE ST & W FRANCIS PL,N BINGHAM ST & W ARMITAGE AVE,N STAVE ST & W ARMITAGE AVE,N BINGHAM ST & W FRANCIS PL,41.919349416000045,-87.69425114199998,census,41.917552526000065,-87.69043224899997,census,41.9175498,-87.6913267,google,41.91970718600004,-87.69384111299996,census
1,Alley Resurfacing Menu (1-1),W CHICAGO AVE & N BISHOP ST & W FRY ST & N GREENVIEW AVE,2017,12838.1,N GREENVIEW AVE & W FRY ST,N BISHOP ST & W CHICAGO AVE,N GREENVIEW AVE & W CHICAGO AVE,N BISHOP ST & W FRY ST,41.89699080200006,-87.66493008399999,census,41.8961312,-87.6640421,google,41.896103,-87.6648872,google,41.897028,-87.6636866,google
1,Alley Resurface Menu,N ASHLAND AV & W NORTH AV & W LE MOYNE ST & N BOSWORTH AV,2006,16158,N ASHLAND AV & W NORTH AV,N BOSWORTH AV & W NORTH AV,N ASHLAND AV & W LE MOYNE ST,N BOSWORTH AV & W LE MOYNE ST,41.91063028000008,-87.66769174599995,census,41.91065037900006,-87.66649783999998,census,41.9088222,-87.6675874,google,41.90883741000005,-87.66642146199996,census
1,Alley Resurface Menu,N MOZART ST & N CALIFORNIA AV & W WABANSIA AV & W BLOOMINGDALE AV,2006,12145,N MOZART ST & W WABANSIA AV,N CALIFORNIA AV & W WABANSIA AV,N MOZART ST & W BLOOMINGDALE AV,N CALIFORNIA AV & W BLOOMINGDALE AV,41.9123535,-87.6980612,google,41.9123658,-87.6970474,google,41.9139485,-87.6981121,google,41.9139305,-87.6970969,google
1,Alley Speed Hump Menu,W THOMAS ST & W CORTEZ ST & N WASHTENAW AVE & N CALIFORNIA AVE,2013,2800,N WASHTENAW AVE & W THOMAS ST,N CALIFORNIA AVE & W THOMAS ST,N WASHTENAW AVE & W CORTEZ ST,N CALIFORNIA AVE & W CORTEZ ST,41.901131286000066,-87.69436771899996,census,41.9010957,-87.6968528,google,41.900218,-87.6943313,google,41.9001914,-87.6968045,google
