ward,type,location,year,est_cost,from_intersection,to_intersection,lat_from_intersection,lon_from_intersection,query_from_intersection,lat_to_intersection,lon_to_intersection,query_to_intersection
19,Street Resurfacing Menu,ON S AVERS AVE FROM W 103 ST (10300 S) TO Dead End (10320 S),2012,31017,S AVERS AVE and W 103 ST,10320 S AVERS AVE,41.7059082,-87.7172737,google,41.705365742000026,-87.71729176099996,census
34,Street Resurfacing Menu,ON S SANGAMON ST FROM W 111 ST (11100 S) TO Dead End (11226 S),2012,67237,S SANGAMON ST and W 111 ST,11226 S SANGAMON ST,41.6923084,-87.6460188,google,41.69009405200006,-87.64596289499997,census
34,Curb & Gutter Menu,ON S SANGAMON ST FROM W 112 ST (11200 S) TO Dead End (11226 S),2012,116141,S SANGAMON ST and W 112 ST,11226 S SANGAMON ST,41.69049722900007,-87.64597229499998,census,41.69009405200006,-87.64596289499997,census
34,Curb & Gutter Menu,ON S GREEN ST FROM W 113 ST (11300 S) TO Dead End (11350 S),2012,5220,S GREEN ST and W 113 ST,11350 S GREEN ST,41.6886978,-87.6434731,google,41.688193400000046,-87.64346968899997,census
34,Curb & Gutter Menu,ON S PEORIA ST FROM W 113 ST (11300 S) TO Dead End (11350 S),2013,7362,S PEORIA ST and W 113 ST,11350 S PEORIA ST,41.6886798,-87.6446902,google,41.68763947000008,-87.64466690299997,census
34,Street Resurfacing Menu,ON S PEORIA ST FROM W 113 ST (11300 S) TO Dead End (11350 S),2013,1883,S PEORIA ST and W 113 ST,11350 S PEORIA ST,41.6886798,-87.6446902,google,41.68763947000008,-87.64466690299997,census
18,Curb & Gutter Menu,ON W 85 TH ST FROM S DAMEN AV (2000 W) TO Dead End (2109 W),2012,7147,W 85 TH ST and S DAMEN AV,2109 W 85 TH ST,41.7392861,-87.6728764,google,41.73926383600008,-87.67536914299995,census
16,Street Speed Hump Menu,ON W 52 ND PL FROM S HOYNE AV (2100 W) TO Dead End (2125 W),2012,3700,W 52 ND PL and S HOYNE AV,2125 W 52 ND PL,41.7979959,-87.6768558,google,41.79799389100003,-87.67737382399997,census
22,Street Light Residential,ON AVERS FROM W CERMAK RD (2200 S) TO Dead End (2255 S),2013,72000,AVERS and W CERMAK RD,2255 AVERS,41.8516172,-87.7211,google,41.9224971,-87.722774,google
22,Street Resurfacing Menu,ON S AVERS AVE FROM W CERMAK RD (2200 S) TO Dead End (2255 S),2012,55543,S AVERS AVE and W CERMAK RD,2255 S AVERS AVE,41.8516172,-87.7211,google,41.850357744000064,-87.72105061999997,census
25,Street Resurfacing Menu,ON S SEELEY AVE FROM W 23 ST (2300 S) TO Dead End (2319 S),2013,17781,S SEELEY AVE and W 23 ST,2319 S SEELEY AVE,41.8503395,-87.6772473,google,41.84942852800003,-87.67722552899994,census
1,Sidewalk Menu,ON N FAIRFIELD AVE FROM W ALTGELD ST (2500 N) TO Dead End (2720 N),2013,3167,N FAIRFIELD AVE and W ALTGELD ST,2720 N FAIRFIELD AVE,41.92664551100006,-87.69625304599998,census,41.93065242400007,-87.69639548499998,census
1,Street Resurfacing Menu,ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End (2726 W),2012,10588,W JULIA CT and N STAVE ST,2726 W JULIA CT,41.92009711500003,-87.69548926699997,census,41.919781820000026,-87.69585159899998,census
12,Street Light Residential,ON 23 FROM S CALIFORNIA AV (2800 W) TO Dead End (2866 W),2013,72000,E  23RD ST and S CALIFORNIA AV,2866 E  23RD ST,41.8500879,-87.6953841,google,42.31763169900006,-87.86206725499994,census
3,Sidewalk Menu - Change Order,ON S STATE ST FROM 2728 S TO 2890 S,2011,89995,2728 S STATE ST,2890 S STATE ST,41.48869030700007,-87.61611468999996,census,41.48651211400005,-87.61609540099994,census
35,Sidewalk Menu,ON N RICHMOND ST FROM W GEORGE ST (2900 N) TO Dead End (2925 N),2012,2935,N RICHMOND ST and W GEORGE ST,2925 N RICHMOND ST,41.9338919,-87.7013312,google,41.93409964600005,-87.70134463399995,census
50,Street Resurfacing Menu,ON W CHASE AVE FROM N ALBANY AV (3100 W) TO Dead End (3130 W),2012,41176,W CHASE AVE and N ALBANY AV,3130 W CHASE AVE,42.01372833100004,-87.70677711099995,census,42.01372080600004,-87.70740201899997,census
