ward,type,location,year,est_cost,lat,long,query
9,POD Camera,100 th Pl. & Michigan,2010,20000,41.7117795,-87.6200374,google
10,Miscellaneous-CDOT,100 th St. & Ewing St. to Avenu G.,2007,18700,41.7008882,-87.5316543,google
10,Miscellaneous-CDOT,100 th St. & Ewing Street to Avenue G. (Additonal work),2008,19500,41.7008882,-87.5316543,google
19,Miscellaneous-CDOT,103 rd St. & Claremont SEX,2005,3013,41.7063415,-87.6804073,google
9,POD Camera,104 th Place & Corliss,2009,24000,41.7047084,-87.6039277,google
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,41.70273,-87.5328671,google
10,Miscellaneous-CDOT,106 th & Ewing - 4 corners,2007,39000,41.8811042,-87.6542977,google
19,Chicago Park District,106 th & Western,2005,150000,41.7009119,-87.6813835,google
10,POD Camera,108 th & Buffalo,2007,36000,41.6991248,-87.5437694,google
9,POD Camera,111 th & Vernon,2009,24000,41.6918711,-87.6121424,google
10,Miscellaneous-CDOT,112 th & Ewing - 4 corners,2007,39000,41.8811042,-87.6542977,google
9,POD Camera,130 th & Eberhart,2010,20000,41.6591198,-87.6106325,google
25,Miscellaneous-Other,17 th St & Damen,2006,350000,41.8585793,-87.6760281,google
25,Miscellaneous-CDOT,18 th ST & S LOOMIS ST,2008,211,41.857864,-87.6613234,google
25,Miscellaneous Other,18 th ST & S LOOMIS ST,2012,33443,41.857864,-87.6613234,google
2,POD Camera,28 th & Wabash,2010,20000,41.8433654,-87.6252653,google
11,Miscellaneous-CDOT,34 th & Normal Culdesac (replacing trees),2007,600,41.8323739,-87.6611819,google
2,Miscellaneous-Other,35 th & Calumet,2008,2259.66666666667,41.8310838,-87.6184013,google
2,POD Camera,35 th & Giles,2007,12000,41.8310656,-87.6193279,google
46,Miscellaneous-CDOT,"4014, 4020 & 4022 N Clarendon Ave",2009,1867,41.9551648,-87.6500396,google
3,Miscellaneous-CDOT,43 rd St. & Princeton,2008,800,41.8163862,-87.633528,google
4,Miscellaneous-Other,47 th & S Lake Park Ave,2009,85000,41.8096581,-87.5925004,google
4,Miscellaneous-Other,47 th Street & LSD,2008,73500,41.8097208,-87.5913132,google
3,Miscellaneous-CDOT,47 th Street & MLK,2005,550000,41.8097208,-87.5913132,google
16,POD Camera,49 th Pl & Throop - 1 Option II,2009,25000,41.8041263,-87.657572,google
16,POD Camera,50 th & Winchester,2009,25000,41.8030613,-87.6733411,google
20,POD Camera,50 th St. & Peoria,2010,20000,41.803365,-87.6478188,google
4,Miscellaneous-CDOT,55 th & Harper,2008,8550,41.7951353,-87.5884314,google
5,Miscellaneous-CDOT,55 th & Harper,2008,8550,41.7951353,-87.5884314,google
5,Miscellaneous-CDOT,56 th & Hyde Park,2008,17522,41.7934213,-87.5839053,google
5,Miscellaneous-CDOT,57 th St. & S. Woodlawn,2008,15821,41.7914235,-87.5964507,google
15,POD Camera,60 th & Paulina,2010,20000,41.7848877,-87.6667853,google
20,POD Camera,63 rd & Maryland,2008,13000,41.7804143,-87.6046494,google
20,Miscellaneous-CDOT,63 rd & Yale Sign,2007,900,41.7798782,-87.6318396,google
15,POD Camera,64 th & Hamilton,2010,13000,41.7774676,-87.6775242,google
15,POD Camera,64 th & Richmond,2009,13000,41.7772418,-87.6969932,google
15,POD Camera,64 th & Wolcott,2010,20000,41.7775421,-87.6714603,google
15,POD Camera,65 th & Western,2010,13000,41.7768305,-87.6015908,google
15,POD Camera,66 th & Maplewood,2009,13000,41.7737415,-87.6871518,google
17,POD Camera,66 th & Sangamon,2008,24000,41.7742337,-87.6482833,google
15,POD Camera,"67 th & Hoyne 2008, 2009, 2010 menu",2008,2197,41.8545653,-87.6786332,google
15,POD Camera,"67 th & Hoyne 2008,2009,2010 Menu",2010,16418,41.8545653,-87.6786332,google
15,POD Camera,67 th & Hoyne,2009,1385,41.7711341,-87.6761391,google
17,POD Camera,69 th & Damen,2008,24000,41.7684379,-87.673621,google
5,Miscellaneous-CDOT,69 th St. & S. Jeffery,2008,17539,41.7697804,-87.576415,google
13,POD Camera,71 & Springfield,2007,24000,41.764109,-87.7198555,google
17,POD Camera,73 rd & Wood,2008,24000,41.761213,-87.6685886,google
17,POD Camera,78 th & Marshfield,2007,3026,41.75215,-87.6646886,google
17,POD Camera,78 th & Marshfield,2008,943,41.75215,-87.6646886,google
17,POD Camera,78 th & Marshfield,2009,14147,41.75215,-87.6646886,google
17,POD Camera,78 th & Marshfield,2010,1885,41.75215,-87.6646886,google
44,Acquisition,815 & 817 W Roscoe St,2005,65000,41.9433669,-87.6501475,google
1,Miscellaneous-Other,85 Trees & 53 concrete cut-outs,2011,49936,NA,NA,google
10,Miscellaneous-CDOT,87 th & Commercial - 4 corners,2007,39000,41.8811042,-87.6542977,google
