ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
9,Street Resurface Menu,W BRAYTON ST & S STATE ST (0 E) & W 126 PL (120 W),2011,84168,6980,0 W BRAYTON ST,0 W BRAYTON ST,41.6656812,-87.622398,google,41.6656812,-87.622398,google,"c(-87.622398, 41.6656812)",9,4,09004
20,Street Resurface Menu,E MARQUETTE RD & S MICHIGAN AV (100 E) & S MICHIGAN AV (100 E),2011,11647,17156,100 E MARQUETTE RD,100 E MARQUETTE RD,41.772839,-87.6227098,google,41.772839,-87.6227098,google,"c(-87.6227098, 41.772839)",20,30,20030
27,Curb/Gutter Menu,N HAMLIN AVE & W AUGUSTA BV (1000 N) & W AUGUSTA BV (1000 N),2011,20184,23545,1000 N HAMLIN AVE,1000 N HAMLIN AVE,41.8991878,-87.7215888,google,41.8991878,-87.7215888,google,"c(-87.7215888, 41.8991878)",27,24,27024
19,Street Resurface Menu,S ALBANY AVE & W 103 ST (10300 S) & W 103 ST (10300 S),2011,11007,16508,10300 S ALBANY AVE,10300 S ALBANY AVE,41.7059045,-87.6991902,google,41.7059045,-87.6991902,google,"c(-87.6991902, 41.7059045)",19,6,19006
10,Street Resurface Menu,S MUSKEGON AVE & E 103 ST (10300 S) & E 103 ST (10300 S),2011,1048,7968,10300 S MUSKEGON AVE,10300 S MUSKEGON AVE,41.7081915,-87.5550177,google,41.7081915,-87.5550177,google,"c(-87.5550177, 41.7081915)",10,13,10013
19,Street Speed Hump Menu,S CHURCH ST & W 115 ST (11500 S) & W 115 ST (11500 S),2011,5550,16530,11500 S CHURCH ST,11500 S CHURCH ST,41.684686,-87.6690564,google,41.684686,-87.6690564,google,"c(-87.6690564, 41.684686)",19,48,19048
44,Curb/Gutter Menu,W ROSCOE ST & N RACINE AV (1200 W) & N RACINE AV (1200 W),2011,2331,38309,1200 W ROSCOE ST,1200 W ROSCOE ST,41.9436895,-87.6592258,google,41.9436895,-87.6592258,google,"c(-87.6592258, 41.9436895)",44,46,44046
34,Street Bump Outs Menu,S JUSTINE ST & W 122 ST (12200 S) & W 122 ST (12200 S),2011,11297,29887,12200 S JUSTINE ST,12200 S JUSTINE ST,41.6712836,-87.659966,google,41.6712836,-87.659966,google,"c(-87.659966, 41.6712836)",34,51,34051
1,Sidewalk Menu,N PAULINA ST & N MOORMAN ST (1272 N) & N MOORMAN ST (1272 N),2011,10639,406,1272 N PAULINA ST,1272 N PAULINA ST,41.9050889,-87.6698916,google,41.9050889,-87.6698916,google,"c(-87.6698916, 41.9050889)",1,5,01005
20,Sidewalk Menu,E 61ST PL & S BLACKSTONE AV (1436 E) & S BLACKSTONE AV (1436 E),2011,857,17153,1436 E 61ST PL,1436 E 61ST PL,41.7835972,-87.5905722,google,41.7835972,-87.5905722,google,"c(-87.5905722, 41.7835972)",20,26,20026
4,Sidewalk Menu,E 54TH ST & S HARPER AV (1500 E) & S HARPER AV (1500 E),2011,23868,3391,1500 E 54TH ST,1500 E 54TH ST,41.7980574,-87.5890482,google,41.7980574,-87.5890482,google,"c(-87.5890482, 41.7980574)",4,44,04044
26,Diagonal Parking Menu,N HAMLIN AVE & W NORTH AV (1600 N) & W NORTH AV (1600 N),2011,30379,22611,1600 N HAMLIN AVE,1600 N HAMLIN AVE,41.9099964,-87.7214271,google,41.9099964,-87.7214271,google,"c(-87.7214271, 41.9099964)",26,11,26011
40,Curb/Gutter Menu,W EDGEWATER AVE & N ASHLAND AV (1600 W) & N ASHLAND AV (1600 W),2011,1722,34993,1600 W EDGEWATER AVE,1600 W EDGEWATER AVE,41.9861665,-87.6700919,google,41.9861665,-87.6700919,google,"c(-87.6700919, 41.9861665)",40,22,40022
3,Sidewalk Menu,S WABASH AVE & E 18 ST (1820 S) & E 18 ST (1820 S),2011,4006,2730,1820 S WABASH AVE,1820 S WABASH AVE,41.8571422,-87.6255873,google,41.8571422,-87.6255873,google,"c(-87.6255873, 41.8571422)",3,45,03045
25,Street Resurface Menu,S JEFFERSON ST & S CANALPORT AV (1853 S) & S CANALPORT AV (1853 S),2011,93960,21851,1853 S JEFFERSON ST,1853 S JEFFERSON ST,41.8571647,-87.6418376,google,41.8571647,-87.6418376,google,"c(-87.6418376, 41.8571647)",25,6,25006
32,Street Resurface Menu,N WILMOT AVE & N OAKLEY AV (1922 N) & N OAKLEY AV (1922 N),2011,39406,28186,1922 N WILMOT AVE,1922 N WILMOT AVE,41.9163709,-87.6855886,google,41.9163709,-87.6855886,google,"c(-87.6855886, 41.9163709)",1,31,01031
32,Street Resurface Menu,N OAKLEY AVE & W ARMITAGE AV (2000 N) & W ARMITAGE AV (2000 N),2011,61335,28187,2000 N OAKLEY AVE,2000 N OAKLEY AVE,41.9176238,-87.6849596,google,41.9176238,-87.6849596,google,"c(-87.6849596, 41.9176238)",32,14,32014
2,Street Lighting,W MAYPOLE AVE & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S),2011,6300,1900,2000 W MAYPOLE AVE,2000 W MAYPOLE AVE,41.8842128,-87.677656,google,41.8842128,-87.677656,google,"c(-87.677656, 41.8842128)",2,52,02052
40,Curb/Gutter Menu,W PETERSON AVE & N DAMEN AV (2000 W) & N DAMEN AV (2000 W),2011,20886,34994,2000 W PETERSON AVE,2000 W PETERSON AVE,41.9909991,-87.6802383,google,41.9909991,-87.6802383,google,"c(-87.6802383, 41.9909991)",40,18,40018
2,Street Lighting,W RANDOLPH ST & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S),2011,6300,1899,2000 W RANDOLPH ST,2000 W RANDOLPH ST,41.8846295,-87.6773743,google,41.8846295,-87.6773743,google,"c(-87.6773743, 41.8846295)",2,52,02052
1,Street Resurface Menu(1-5),N POINT ST & W CHANAY ST (2078 N) & W CHANAY ST (2078 N),2011,21539,431,2078 N POINT ST,2078 N POINT ST,41.9184267,-87.6957129,google,41.9184267,-87.6957129,google,"c(-87.6957129, 41.9184267)",1,13,01013
50,Street Resurface Menu,W ROSEMONT AVE & N LEAVITT ST (2200 W) & N LEAVITT ST (2200 W),2011,38915,43185,2200 W ROSEMONT AVE,2200 W ROSEMONT AVE,41.99625,-87.6852055,google,41.99625,-87.6852055,google,"c(-87.6852055, 41.99625)",50,32,50032
