ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_A,lon_A,lat_B,lon_B,ward_locate,precinct_locate,ward_precinct_locate,geometry
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,17,44,17044,"c(-87.6845597382176, -87.6788240528775, 41.7682105726972, 41.7675692816978)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,17,3,17003,"c(-87.6528867740134, -87.6455911826014, 41.7646655847722, 41.7638477395151)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,15,41,15041,"c(-87.693141623947, -87.6894670376506, 41.7691695327839, 41.7687590075629)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,18,27,18027,"c(-87.7029403585177, -87.693141623947, 41.7702636505195, 41.7691695327839)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,17,31,17031,"c(-87.6699350825858, -87.6638218018357, 41.7665748417289, 41.7658905122574)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,15,8,15008,"c(-87.6894670376506, -87.6845597382176, 41.7687590075629, 41.7682105726972)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,17,41,17041,"c(-87.6638218018357, -87.6589760742331, 41.7658905122574, 41.765347833902)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,17,34,17034,"c(-87.6589760742331, -87.6560776648611, 41.765347833902, 41.7650231361505)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,45,13045,"c(-87.7712442173207, -87.7665849304583, 41.7778662345887, 41.7773489739824)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,39,13039,"c(-87.7336084395645, -87.7288061073942, 41.7736823989416, 41.7731476178)"
