ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,geometry,ward_locate,precinct_locate,ward_precinct_locate
10,Alley Speed Hump Menu,S AVENUE F & S AVENUE G & E 10 ST & E 12 ST,2007,500,7698,S AVENUE F & E 10th ST,S AVENUE G & E 10th ST,S AVENUE F & E 12th ST,S AVENUE G & E 12th ST,NA,NA,google,41.7008882,-87.5316543,google,NA,NA,google,41.7008882,-87.5316543,google,"c(-87.5316543, 41.7008882)",10,38,10038
3,Alley Speed Hump Menu,S CALUMET AV & S PRAIRIE AV & W 2 ST & W 3 ST,2005,2000,2499,S CALUMET AV & W 2nd ST,S PRAIRIE AV & W 2nd ST,S CALUMET AV & W 3rd ST,S PRAIRIE AV & W 3rd ST,41.766575,-87.6168901,google,NA,NA,google,41.766575,-87.6168901,google,NA,NA,google,"c(-87.6168901, 41.766575)",6,33,06033
30,Alley Resurfacing Menu,N KEELER AVE & N TRIPP AVE & W BLOOMINGDALE AVE & DEAD END,2012,49837,26073,N KEELER AVE & W BLOOMINGDALE AVE,N TRIPP AVE & W BLOOMINGDALE AVE,NA,NA,41.9132553,-87.7481181,google,41.9132553,-87.7481181,google,NA,NA,NA,NA,NA,NA,"c(-87.7481181, 41.9132553)",37,2,37002
25,Alley Resurface Menu,W 18 PL & W 18 ST & S LEAVITT ST & S LEAVITT ST,2008,1644,21514,S LEAVITT ST & W 18th PL,S LEAVITT ST & W 18th ST,NA,NA,41.8575972,-87.6809008,google,41.8575972,-87.6809008,google,NA,NA,NA,NA,NA,NA,"c(-87.6809008, 41.8575972)",25,9,25009
18,Alley Speed Hump Menu,W 81 PL & W 81 ST & RAILROAD TRACKS & S OAKLEY AV,2010,1050,15715,S OAKLEY AV & W 81st PL,S OAKLEY AV & W 81st ST,NA,NA,41.7454595,-87.6804428,google,41.7454595,-87.6804428,google,NA,NA,NA,NA,NA,NA,"c(-87.6804428, 41.7454595)",18,18,18018
3,Alley Speed Hump Menu,S PRINCETON AV & DEAD END & W 42 ST & W 42 PL,2006,1000,2529,S PRINCETON AV & W 42nd ST,S PRINCETON AV & W 42nd PL,NA,NA,41.817287,-87.6335458,google,41.817287,-87.6335458,google,NA,NA,NA,NA,NA,NA,"c(-87.6335458, 41.817287)",3,14,03014
12,Alley Speed Hump Menu,W 8 PL & W 8 ST & S ST LOUIS AV & DEAD END,2007,1500,9529,S ST LOUIS AV & W 8th PL,S ST LOUIS AV & W 8th ST,NA,NA,41.809825,-87.7112075,google,NA,NA,google,NA,NA,NA,NA,NA,NA,"c(-87.7112075, 41.809825)",14,10,14010
32,Alley Speed Hump Menu,N CLYBOURN AV & N CLYBOURN AV & W FULLERTON AV & RAILROAD TRACKS,2009,1575,28044,N CLYBOURN AV & W FULLERTON AV,NA,NA,NA,41.92513805300007,-87.66930774099995,census,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-87.669307741, 41.9251380530001)",32,20,32020
1,Alley Resurface Menu,W ELLEN ST & N WOOD ST & RAILROAD TRACKS & RAILROAD TRACKS,2006,5750,99,N WOOD ST & W ELLEN ST,NA,NA,NA,41.9055623,-87.672421,google,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-87.672421, 41.9055623)",1,10,01010
14,Alley Speed Hump Menu,W 48TH ST & S KNOX AVE & S KNOX AVE & W 49TH ST,2021,700,12905,S KNOX AVE & W 49TH ST,NA,NA,NA,41.80402286800006,-87.73938643699995,census,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-87.739386437, 41.8040228680001)",23,2,23002
