ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,id,ward_locate,precinct_locate,ward_precinct_locate,geometry,total_length_2003,intersect_length_2003
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,21,37,21037,"c(-87.6318218641401, -87.6412262885979, 41.7359893478829, 41.7434320166569)",24109.69740792703,1137.4379772922298
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,11,17011,"c(-87.6660485499191, -87.6683196084263, 41.7630644078316, 41.7648597642281)",24109.69740792703,274.47049841319705
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,42,17042,"list(c(-87.6772501778856, -87.6773928285526, 41.771918304309, 41.7720310342745), c(-87.6736393778978, -87.6751293490595, 41.7690646719181, 41.7702422476761))",24109.69740792703,197.27549781889002
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,31,17031,"c(-87.6683196084263, -87.6699232820638, 41.7648597642281, 41.7661274405502)",24109.69740792703,193.80394150011165
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,19,17019,"c(-87.6728632835297, -87.6736393778978, 41.7684512729386, 41.7690646719181)",24109.69740792703,93.7814518539726
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,21,15021,"c(-87.6751293490595, -87.6772501778856, 41.7702422476761, 41.771918304309)",24109.69740792703,256.25750498075416
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,12,15012,"c(-87.6796495479534, -87.6819090131999, 41.7738143349558, 41.7755996618772)",24109.69740792703,272.97792627186624
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,29,17029,"c(-87.6587657282985, -87.6615160405428, 41.7573060864514, 41.75948085616)",24109.69740792703,332.44876708302104
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,27,17027,"c(-87.6547405174073, -87.6587657282985, 41.7541228250604, 41.7573060864514)",24109.69740792703,486.5949762393053
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,16,32,16032,"c(-87.6955506565928, -87.6960462572313, 41.7863756179572, 41.7867670096811)",24109.69740792703,59.85397775888555
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,24,14024,"c(-87.6985415247786, -87.6997892625481, 41.7887374975598, 41.7897227579459)",24109.69740792703,150.6775184203326
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,5,14005,"c(-87.6997892625481, -87.7035325672294, 41.7897227579459, 41.7926783485386)",24109.69740792703,452.0158000782481
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,3,14003,"c(-87.7035325672294, -87.7045717537953, 41.7926783485386, 41.7934987862829)",24109.69740792703,125.47765065977332
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,21,34,21034,"c(-87.6438918496845, -87.6456999141269, 41.7455410905301, 41.7469715727687)",24109.69740792703,218.63559356050962
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,6,17,06017,"c(-87.6190875680012, -87.623065556686, 41.7259074436892, 41.7290573588113)",24109.69740792703,481.30947210345863
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,21,62,21062,"c(-87.6456999141269, -87.6479595031224, 41.7469715727687, 41.7487591572109)",24109.69740792703,273.22135607574467
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,6,22,06022,"c(-87.6114894, -87.6140202496141, 41.7198897, 41.7218943118947)",24109.69740792703,306.27834818114206
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,6,28,06028,"c(-87.623065556686, -87.6240161449648, 41.7290573588113, 41.7298100029137)",24109.69740792703,115.0077053915474
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,21,55,21055,"c(-87.6240161449648, -87.6243687258376, 41.7298100029137, 41.7300891582168)",24109.69740792703,42.65660199387872
