ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat,long
9,Sidewalk Menu,E 101 PL-- S PRINCETON AV (300 W) -to- Dead End (350 W),2008,64538,6854,E 101st PL AND S PRINCETON AV,E 101st PL AND Dead End,41.7098123,-87.6307827,google,NA,NA,google,41.7098123,-87.6307827
10,Diagonal Parking Menu,E 105 ST-- S EWING AV (3632 E) -to- S EWING AV (3632 E),2008,24035,7808,E 105th ST AND S EWING AV,E 105th ST AND S EWING AV,41.7045573,-87.5353018,google,41.7045573,-87.5353018,google,41.7045573,-87.5353018
10,Diagonal Parking Menu,E 105 ST-- S EWING AV (3632 E) -to- S EWING AV (3632 E),2008,50664,7809,E 105th ST AND S EWING AV,E 105th ST AND S EWING AV,41.7045573,-87.5353018,google,41.7045573,-87.5353018,google,41.7045573,-87.5353018
10,Sidewalk Menu,E 105 ST-- S TORRENCE AV (2633 E) -to- S TORRENCE AV (2633 E),2010,17149,7907,E 105th ST AND S TORRENCE AV,E 105th ST AND S TORRENCE AV,41.7045749,-87.5596213,google,41.7045749,-87.5596213,google,41.7045749,-87.5596213
9,Street Resurface Menu - Change Orde,E 107 PL-- S LANGLEY AV (700 E) -to- Dead End (850 E),2007,12607,6837,E 107th PL AND S LANGLEY AV,E 107th PL AND Dead End,41.7001154,-87.6062434,google,NA,NA,google,41.7001154,-87.6062434
9,Street Resurface Menu,E 107 PL-- S LANGLEY AV (700 E) -to- Dead End (850 E),2008,44051,6860,E 107th PL AND S LANGLEY AV,E 107th PL AND Dead End,41.7001154,-87.6062434,google,NA,NA,google,41.7001154,-87.6062434
9,Curb/Gutter Menu,E 112 ST-- S LANGLEY AV (700 E) -to- Dead End (704 E),2005,23402,6740,E 112th ST AND S LANGLEY AV,E 112th ST AND Dead End,41.6910075,-87.6059654,google,NA,NA,google,41.6910075,-87.6059654
10,Sidewalk Menu,E 112 ST-- S AVENUE B (4032 E) -to- S AVENUE B (4032 E),2008,25895,7814,E 112th ST AND S AVENUE B,E 112th ST AND S AVENUE B,41.6917986,-87.5258298,google,41.6917986,-87.5258298,google,41.6917986,-87.5258298
10,Sidewalk Menu,E 113 ST-- S AVENUE H (3731 E) -to- Dead End (2645 E),2010,16649,7910,E 113th ST AND S AVENUE H,E 113th ST AND Dead End,41.6900137,-87.5328715,google,NA,NA,google,41.6900137,-87.5328715
10,Sidewalk Menu,E 113 ST-- S EWING AV (3632 E) -to- Dead End (2645 E),2009,20024,7859,E 113th ST AND S EWING AV,E 113th ST AND Dead End,41.6900321,-87.535272,google,NA,NA,google,41.6900321,-87.535272
10,Sidewalk Menu,E 114 ST-- S AVENUE J (3700 E) -to- Dead End (1916 E),2010,17816,7911,E 114th ST AND S AVENUE J,E 114th ST AND Dead End,41.6881998,-87.5340343,google,NA,NA,google,41.6881998,-87.5340343
4,Sidewalk Menu,E 42 PL-- S DREXEL AV (900 E) -to- S DREXEL AV (900 E),2010,7147,3357,E 42nd PL AND S DREXEL AV,E 42nd PL AND S DREXEL AV,41.8179791,-87.6046386,google,41.8179791,-87.6046386,google,41.8179791,-87.6046386
5,Curb/Gutter Menu - Change Order,E 55 ST-- S EVERETT AV (1750 E) -to- S EVERETT AV (1750 E),2007,2702,3964,E 55th ST AND S EVERETT AV,E 55th ST AND S EVERETT AV,41.7952242,-87.582533,google,41.7952242,-87.582533,google,41.7952242,-87.582533
5,Sidewalk Menu,E 55 ST-- S EVERETT AV (1750 E) -to- S EVERETT AV (1750 E),2007,22009,3966,E 55th ST AND S EVERETT AV,E 55th ST AND S EVERETT AV,41.7952242,-87.582533,google,41.7952242,-87.582533,google,41.7952242,-87.582533
20,Street Resurface Menu,E 62 ST-- S DORCHESTER AV (1400 E) -to- S DORCHESTER AV (1400 E),2009,17832,17064,E 62nd ST AND S DORCHESTER AV,E 62nd ST AND S DORCHESTER AV,41.7814623,-87.5913569,google,41.7814623,-87.5913569,google,41.7814623,-87.5913569
