ward,type,location,year,est_cost,from_intersection,to_intersection,lat,long,query
18,Street Light Residential,ON CALIFORNIA FROM W 85 ST (8500 S) TO W 86 ST (8614 S),2012,72000,CALIFORNIA and W 85 ST,CALIFORNIA and W 86 ST,41.73698722600005,-87.69228943699994,census
28,Street Light Upgrade,ON CALIFORNIA FROM W FILLMORE ST (1028 S) TO W ROOSEVELT RD (1200 S),2012,2000,CALIFORNIA and W FILLMORE ST,CALIFORNIA and W ROOSEVELT RD,41.86651201600006,-87.69590331599994,census
12,Street Light Residential Staggered Piggy Back Menu,ON E 25TH PL FROM S FRANCISCO AVE (2900 W) TO S CALIFORNIA AVE (2800 W),2016,2530,E 25TH PL and S FRANCISCO AVE,E 25TH PL and S CALIFORNIA AVE,41.8455676,-87.6952331,google
8,Street Light Residential Staggered Piggy Back Menu,ON E 88TH ST FROM 1200 east E TO S KIMBARK AVE (1300 E),2018,42000,E 88TH ST and 1200 east E,E 88TH ST and S KIMBARK AVE,41.7349915,-87.5929535,google
12,Street Resurfacing Menu,ON S BELL AVE FROM W 34 ST (3400 S) TO W 35 ST (3500 S) ON W 35TH ST FROM S FRANCISCO AV (2900 W) TO S,2013,33486,S BELL AVE FROM W 34 ST (3400 S) TO W 35 ST (3500 S) ON W 35TH ST and W 34 ST  TO W 35 ST  ON W 35TH ST FROM S FRANCISCO AV,S BELL AVE FROM W 34 ST (3400 S) TO W 35 ST (3500 S) ON W 35TH ST and W 35 ST  ON W 35TH ST FROM S FRANCISCO AV  TO S,37.7749295,-122.4194155,google
22,Street Resurfacing Menu,ON S KNOX AVE FROM W 42ND ST (4200 S) TO W 43RD ST (4299 S),2013,54606,S KNOX AVE and W 42ND ST,S KNOX AVE and W 43RD ST,41.81498510000006,-87.73969998799998,census
1,Street Light Upgrade,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N),2012,700,STAVE and W ARMITAGE AV,STAVE and W FRANCIS PL,41.919349416000045,-87.69425114199998,census
4,Sidewalk Menu,ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),2012,71664,W 46TH ST and S GREENWOOD AV,W 46TH ST and S WOODLAWN AV,41.7587969,-87.5958227,google
48,Street Light Pole Painting,ON W BRYN MAWR AVE FROM N BRYN MAWR AV LSD ER (930 W) TO N LSD BRYN MAWR AV XR (900 W),2014,1500,W BRYN MAWR AVE and N BRYN MAWR AV LSD ER,W BRYN MAWR AVE and N LSD BRYN MAWR AV XR,41.9829975,-87.7496357,google
27,Street Cul-de-Sac Menu,ON W HURON ST FROM W TO N TRUMBULL AV (3432 W),2013,10701,W HURON ST and W,W HURON ST and N TRUMBULL AV,41.89366635500005,-87.71260192799997,census
18,Street Light Residential,ON CALIFORNIA FROM W 83 ST (8300 S) TO W 84 ST (8381 S),2012,72000,CALIFORNIA and W 83 ST,CALIFORNIA and W 84 ST,41.74265928700004,-87.69243013299996,census
2,Street Light Pole Painting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,5700,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census
2,Street Light Upgrade,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,7600,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census
38,Sidewalk Menu,ON EASTWOOD FROM N MCVICKER AV (6032 W) TO N AUSTIN AV (6000 W),2012,55359,EASTWOOD and N MCVICKER AV,EASTWOOD and N AUSTIN AV,41.96476208300004,-87.77837934399997,census
45,Street Resurfacing Menu (1-5),ON N AVONDALE AVE FROM N MOODY AVE (5500 N) TO N AUSTIN AV JFK XR (5430 N),2016,126725.1,N AVONDALE AVE and N MOODY AVE,N AVONDALE AVE and N AUSTIN AV JFK XR,41.98091801000004,-87.78219421799997,census
50,Sidewalk Menu,ON N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE FROM N HOYNE AVE (2100 W) TO N,2014,29716,N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE and W THOME AVE  TO W ROSEMONT AVE  ON W GRANVILLE AVE FROM N HOYNE AVE,N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE and W ROSEMONT AVE  ON W GRANVILLE AVE FROM N HOYNE AVE  TO N,41.9096503,-87.6777658,google
41,Street Resurfacing Menu,ON N MANKATO AVE FROM N IONIA AVE (7200 N) TO N HIAWATHA AVE (7130 N),2021,90297.08,N MANKATO AVE and N IONIA AVE,N MANKATO AVE and AVE FROM N IONIA AVE  TO N HIAWATHA AVE,42.011746526000024,-87.77696434399996,census
26,Street Speed Hump Menu,ON N SACRAMENTO AVE FROM W CORTEZ ST (1050 N) TO W THOMAS ST (1100 N),2021,1175,N SACRAMENTO AVE and W CORTEZ ST,N SACRAMENTO AVE and AVE FROM W CORTEZ ST  TO W THOMAS ST,41.90045594500003,-87.70175225199995,census
2,Street Light Arterial Menu,ON N STATE PKWY FROM E DIVISION ST (1199 N) TO E NORTH AVE (1600 N),2022,150000,N STATE PKWY and E DIVISION ST,N STATE PKWY and E NORTH AVE,41.90394520700005,-87.62867471999994,census
41,Street Resurfacing Menu,ON N WESLEY TR FROM W FOSTER AV (5200 N) TO CITY LIMITS (0 N),2012,6950,N WESLEY TR and W FOSTER AV,N WESLEY TR and CITY LIMITS,41.97326816500003,-87.86406726299998,census
42,Street Light Pole Painting,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,3300,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census
42,Street Light Upgrade,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,7200,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census
42,Traffic Equipment,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,6050,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census
3,Street Light Upgrade,ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S),2012,2100,PRINCETON and W GARFIELD BV,PRINCETON and W 57 ST,41.7941746,-87.6548894,google
10,Street Resurfacing Menu,ON S BALTIMORE AVE FROM E 130 ST (13000 S) TO E 129 ST (12900 S),2012,21217,S BALTIMORE AVE and E 130 ST,S BALTIMORE AVE and E 129 ST,41.65915818700006,-87.54713130499994,census
19,Street Resurfacing Menu,ON S FAIRFIELD AVE FROM W 103RD ST (10300 S) TO W VAN SCHAIK AVE (10400 S),2014,39779,S FAIRFIELD AVE and W 103RD ST,S FAIRFIELD AVE and W VAN SCHAIK AVE,41.7062849,-87.6898364,google
19,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 104 ST (10400 S) TO W 105 ST (10500 S),2013,47261,S SACRAMENTO AVE and W 104 ST,S SACRAMENTO AVE and AVE FROM W 104 ST  TO W 105 ST,41.704433,-87.6966499,google
12,Street Light Residential Staggered Piggy Back Menu,ON S SACRAMENTO AVE FROM W 25TH ST (2500 S) TO W CERMAK RD (2200 S),2016,7294,S SACRAMENTO AVE and W 25TH ST,S SACRAMENTO AVE and AVE FROM W 25TH ST  TO W CERMAK RD,41.8455032,-87.7001507,google
12,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 36TH PL (3630 S) TO W 37TH PL (3730 S),2016,23617.17,S SACRAMENTO AVE and W 36TH PL,S SACRAMENTO AVE and AVE FROM W 36TH PL  TO W 37TH PL,41.82724977700008,-87.69964985099995,census
15,Street Light Residential Staggered Piggy Back Menu,ON S SACRAMENTO AVE FROM W 45TH ST (4500 S) TO W 47TH ST (4700 S),2017,166000,S SACRAMENTO AVE and W 45TH ST,S SACRAMENTO AVE and AVE FROM W 45TH ST  TO W 47TH ST,41.8118363,-87.6992055,google
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 51 ST (5100 S) TO W 52 ST (5200 S),2012,14001,S SACRAMENTO AVE and W 51 ST,S SACRAMENTO AVE and AVE FROM W 51 ST  TO W 52 ST,41.8009056,-87.6988912,google
14,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),2015,3700,S SACRAMENTO AVE and W 51ST ST,S SACRAMENTO AVE and AVE FROM W 51ST ST  TO W 52ND ST,41.8009056,-87.6988912,google
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 52 ST (5200 S) TO W 53 ST (5300 S),2012,9422,S SACRAMENTO AVE and W 52 ST,S SACRAMENTO AVE and AVE FROM W 52 ST  TO W 53 ST,41.7990947,-87.6988449,google
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 53 ST (5300 S) TO W 54 ST (5400 S),2012,29839,S SACRAMENTO AVE and W 53 ST,S SACRAMENTO AVE and AVE FROM W 53 ST  TO W 54 ST,41.7972538,-87.6987754,google
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 53RD PL (5330 S) TO W 55TH ST (5500 S),2015,132319,S SACRAMENTO AVE and W 53RD PL,S SACRAMENTO AVE and AVE FROM W 53RD PL  TO W 55TH ST,41.79634086300007,-87.69875341599999,census
14,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 53RD ST (5300 S) TO W 55TH ST (5500 S),2015,3700,S SACRAMENTO AVE and W 53RD ST,S SACRAMENTO AVE and AVE FROM W 53RD ST  TO W 55TH ST,41.7963308,-87.6987422,google
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 54 ST (5400 S) TO W 55 ST (5500 S),2012,1572,S SACRAMENTO AVE and W 54 ST,S SACRAMENTO AVE and AVE FROM W 54 ST  TO W 55 ST,41.79542834800003,-87.69872929599995,census
14,Alley Apron Menu,ON S SACRAMENTO AVE FROM W 54TH PL (5430 S) TO W 54TH ST (5400 S),2021,4363.445,S SACRAMENTO AVE and W 54TH PL,S SACRAMENTO AVE and AVE FROM W 54TH PL  TO W 54TH ST,41.79451583400004,-87.69870115699996,census
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 55TH ST (5500 S) TO W 59TH ST (5900 S),2019,1306.49,S SACRAMENTO AVE and W 55TH ST,S SACRAMENTO AVE and AVE FROM W 55TH ST  TO W 59TH ST,41.79360733900006,-87.69867703799997,census
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 55TH ST (5500 S) TO W 59TH ST (5900 S),2020,319476.21,S SACRAMENTO AVE and W 55TH ST,S SACRAMENTO AVE and AVE FROM W 55TH ST  TO W 59TH ST,41.79360733900006,-87.69867703799997,census
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 57TH ST (5700 S) TO W 58TH ST (5800 S),2019,27001.6,S SACRAMENTO AVE and W 57TH ST,S SACRAMENTO AVE and AVE FROM W 57TH ST  TO W 58TH ST,41.78996532100007,-87.69857654099997,census
16,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 58TH ST (5800 S) TO W 59TH ST (5900 S),2016,19412.84,S SACRAMENTO AVE and W 58TH ST,S SACRAMENTO AVE and AVE FROM W 58TH ST  TO W 59TH ST,41.78814833200005,-87.69852026199999,census
16,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 59TH ST (5900 S) TO W 60TH ST (6000 S),2018,37324.01,S SACRAMENTO AVE and W 59TH ST,S SACRAMENTO AVE and AVE FROM W 59TH ST  TO W 60TH ST,41.78632732300008,-87.69846800399995,census
15,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),2014,14159,S SACRAMENTO AVE and W 60TH ST,S SACRAMENTO AVE and AVE FROM W 60TH ST  TO W 61ST ST,41.784506314000055,-87.69841574499998,census
15,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 61ST ST (6100 S) TO W 62ND ST (6200 S),2014,5633,S SACRAMENTO AVE and W 61ST ST,S SACRAMENTO AVE and AVE FROM W 61ST ST  TO W 62ND ST,41.78268530500003,-87.69836750699994,census
17,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S),2015,3700,S SACRAMENTO AVE and W 63RD ST,S SACRAMENTO AVE and AVE FROM W 63RD ST  TO W 64TH ST,41.77904730700004,-87.69826298999999,census
