ward,type,location,year,est_cost,id,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
9,POD Camera,100 th Pl. & Michigan,2010,20000,6954,google,"c(-87.6200374, 41.7117795)",9,2,09002
10,Miscellaneous-CDOT,100 th St. & Ewing St. to Avenu G.,2007,18700,7721,google,"c(-87.5316543, 41.7008882)",10,38,10038
10,Miscellaneous-CDOT,100 th St. & Ewing Street to Avenue G. (Additonal work),2008,19500,7811,google,"c(-87.5316543, 41.7008882)",10,38,10038
19,Miscellaneous-CDOT,103 rd St. & Claremont SEX,2005,3013,16254,google,"c(-87.6804073, 41.7063415)",19,35,19035
9,POD Camera,104 th Place & Corliss,2009,24000,6924,google,"c(-87.6039277, 41.7047084)",9,42,09042
10,Miscellaneous-CDOT,106 th & Ewing,2007,39000,7716,google,"c(-87.5352922, 41.7027328)",10,31,10031
19,Chicago Park District,106 th & Western,2005,150000,16297,google,"c(-87.6813835, 41.7009119)",19,34,19034
10,POD Camera,108 th & Buffalo,2007,36000,7801,google,"c(-87.5437694, 41.6991248)",10,39,10039
9,POD Camera,111 th & Vernon,2009,24000,6925,google,"c(-87.6121424, 41.6918711)",9,38,09038
10,Miscellaneous-CDOT,112 th & Ewing,2007,39000,7715,google,"c(-87.5352604, 41.691844)",10,27,10027
9,POD Camera,130 th & Eberhart,2010,20000,6956,google,"c(-87.6106325, 41.6591198)",9,33,09033
25,Miscellaneous-Other,17 th St & Damen,2006,350000,21470,google,"c(-87.6760281, 41.8585793)",25,11,25011
25,Miscellaneous-CDOT,18 th ST & S LOOMIS ST,2008,211,21529,google,"c(-87.6613234, 41.857864)",25,24,25024
25,Miscellaneous Other,18 th ST & S LOOMIS ST,2012,33443,21867,google,"c(-87.6613234, 41.857864)",25,24,25024
2,POD Camera,28 th & Wabash,2010,20000,1869,google,"c(-87.6252653, 41.8433654)",2,46,02046
11,Miscellaneous-CDOT,34 th & Normal Culdesac (replacing trees),2007,600,8631,google,"c(-87.6611819, 41.8323739)",11,26,11026
2,Miscellaneous-Other,35 th & Calumet,2008,2259.66666666667,1559,google,"c(-87.6184013, 41.8310838)",4,19,04019
2,POD Camera,35 th & Giles,2007,12000,1309,google,"c(-87.6193279, 41.8310656)",2,44,02044
46,Miscellaneous-CDOT,"4014 , 4020 & 4022 N Clarendon Ave",2009,1867,39846,google,"c(-87.6500396, 41.9551648)",46,10,46010
3,Miscellaneous-CDOT,43 rd St. & Princeton,2008,800,2607,google,"c(-87.633528, 41.8163862)",3,14,03014
4,Miscellaneous-Other,47 th & S Lake Park Ave,2009,85000,3350,google,"c(-87.5925004, 41.8096581)",4,22,04022
