ward,type,location,year,est_cost,id,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
9,POD Camera,100 th Pl. & Michigan,2010,20000,6954,google,"c(-87.6200374, 41.7117795)",09002,2,2395489.62615,7927.02347678,9
10,Miscellaneous-CDOT,100 th St. & Ewing St. to Avenu G.,2007,18700,7721,google,"c(-87.5316543, 41.7008882)",10032,32,2466700.33008,8505.32977742,10
10,Miscellaneous-CDOT,100 th St. & Ewing Street to Avenue G. (Additonal work),2008,19500,7811,google,"c(-87.5316543, 41.7008882)",10032,32,2466700.33008,8505.32977742,10
19,Miscellaneous-CDOT,103 rd St. & Claremont SEX,2005,3013,16254,google,"c(-87.6804073, 41.7063415)",19035,35,2631938.23822,6627.56461667,19
9,POD Camera,104 th Place & Corliss,2009,24000,6924,google,"c(-87.6039277, 41.7047084)",09008,8,19522874.075,19154.3792838,9
10,Miscellaneous-CDOT,106 th & Ewing,2007,39000,7716,google,"c(-87.5352922, 41.7027328)",10011,11,3480455.70375,7924.90663484,10
19,Chicago Park District,106 th & Western,2005,150000,16297,google,"c(-87.6813835, 41.7009119)",19034,34,2492267.08276,8703.99900876,19
10,POD Camera,108 th & Buffalo,2007,36000,7801,google,"c(-87.5437694, 41.6991248)",10033,33,20883941.5186,28928.3520114,10
9,POD Camera,111 th & Vernon,2009,24000,6925,google,"c(-87.6121424, 41.6918711)",09043,43,5101617.85591,10894.7372234,9
10,Miscellaneous-CDOT,112 th & Ewing,2007,39000,7715,google,"c(-87.5352604, 41.691844)",10010,10,3304524.80853,7982.86679517,10
9,POD Camera,130 th & Eberhart,2010,20000,6956,google,"c(-87.6106325, 41.6591198)",09033,33,4555067.74192,9684.35416372,9
25,Miscellaneous-Other,17 th St & Damen,2006,350000,21470,google,"c(-87.6760281, 41.8585793)",25011,11,3009636.87336,7688.80086726,25
25,Miscellaneous-CDOT,18 th ST & S LOOMIS ST,2008,211,21529,google,"c(-87.6613234, 41.857864)",25007,7,4670310.85588,13519.0153413,25
25,Miscellaneous Other,18 th ST & S LOOMIS ST,2012,33443,21867,google,"c(-87.6613234, 41.857864)",25007,7,4670310.85588,13519.0153413,25
2,POD Camera,28 th & Wabash,2010,20000,1869,google,"c(-87.6252653, 41.8433654)",03018,18,6325469.34238,11538.3338422,3
11,Miscellaneous-CDOT,34 th & Normal Culdesac (replacing trees),2007,600,8631,google,"c(-87.6611819, 41.8323739)",12009,9,5566992.86798,11205.4038526,12
2,Miscellaneous-Other,35 th & Calumet,2008,2259.66666666667,1559,google,"c(-87.6184013, 41.8310838)",04011,11,3127425.5615,11089.0377963,4
2,POD Camera,35 th & Giles,2007,12000,1309,google,"c(-87.6193279, 41.8310656)",03035,35,1963615.24212,7567.85962374,3
46,Miscellaneous-CDOT,"4014 , 4020 & 4022 N Clarendon Ave",2009,1867,39846,google,"c(-87.6500396, 41.9551648)",46034,34,1478803.09841,5869.72472181,46
3,Miscellaneous-CDOT,43 rd St. & Princeton,2008,800,2607,google,"c(-87.633528, 41.8163862)",03028,28,4161352.46529,8520.69550164,3
4,Miscellaneous-Other,47 th & S Lake Park Ave,2009,85000,3350,google,"c(-87.5925004, 41.8096581)",04022,22,2987457.5868700002,7143.34240025,4
4,Miscellaneous-Other,47 th Street & LSD,2008,73500,3329,google,"c(-87.5913132, 41.8097208)",04031,31,1938343.72932,6147.83190594,4
3,Miscellaneous-CDOT,47 th Street & MLK,2005,550000,2501,google,"c(-87.5913132, 41.8097208)",04031,31,1938343.72932,6147.83190594,4
16,POD Camera,50 th & Winchester,2009,25000,14112,google,"c(-87.6733411, 41.8030613)",15015,15,3307108.5393,11357.8945473,15
20,POD Camera,50 th St. & Peoria,2010,20000,17118,google,"c(-87.6478188, 41.803365)",20002,2,4389498.10439,9287.84153651,20
4,Miscellaneous-CDOT,55 th & Harper,2008,8550,3309,google,"c(-87.5884314, 41.7951353)",05008,8,1457617.54214,5278.22600425,5
5,Miscellaneous-CDOT,55 th & Harper,2008,8550,4035,google,"c(-87.5884314, 41.7951353)",05008,8,1457617.54214,5278.22600425,5
5,Miscellaneous-CDOT,56 th & Hyde Park,2008,17522,4033,google,"c(-87.5839053, 41.7934213)",05041,41,110619.325835,1345.03581933,5
5,Miscellaneous-CDOT,57 th St. & S. Woodlawn,2008,15821,4037,google,"c(-87.5964507, 41.7914235)",05027,27,7427976.28201,12315.4928572,5
15,POD Camera,60 th & Paulina,2010,20000,13329,google,"c(-87.6667853, 41.7848877)",15020,20,2186870.30111,6613.74332519,15
20,POD Camera,63 rd & Maryland,2008,13000,17049,google,"c(-87.6046494, 41.7804143)",20005,5,2530431.57016,6961.60838009,20
20,Miscellaneous-CDOT,63 rd & Yale Sign,2007,900,16965,google,"c(-87.6318396, 41.7798782)",20029,29,4269570.51213,10168.3082792,20
15,POD Camera,64 th & Hamilton,2010,13000,13325,google,"c(-87.6775242, 41.7774676)",16021,21,4283194.20099,10458.7280469,16
15,POD Camera,64 th & Richmond,2009,13000,13303,google,"c(-87.6969932, 41.7772418)",17007,7,1986714.4415,5980.93796611,17
15,POD Camera,64 th & Wolcott,2010,20000,13327,google,"c(-87.6714603, 41.7775421)",15024,24,2321828.84713,6611.79032333,15
15,POD Camera,65 th & Western,2010,13000,13330,google,"c(-87.6015908, 41.7768305)",20005,5,2530431.57016,6961.60838009,20
15,POD Camera,66 th & Maplewood,2009,13000,13307,google,"c(-87.6871518, 41.7737415)",16004,4,1769040.99895,5978.69914377,16
17,POD Camera,66 th & Sangamon,2008,24000,14912,google,"c(-87.6482833, 41.7742337)",06028,28,2115064.85875,7046.65230988,6
15,POD Camera,"67 th & Hoyne 2008 , 2009 , 2010 menu",2008,2197,13231,google,"c(-87.6786332, 41.8545653)",25030,30,1452798.72716,5035.22500015,25
15,POD Camera,"67 th & Hoyne 2008 ,2009 ,2010 Menu",2010,16418,13326,google,"c(-87.6786332, 41.8545653)",25030,30,1452798.72716,5035.22500015,25
15,POD Camera,67 th & Hoyne,2009,1385,13305,google,"c(-87.6761391, 41.7711341)",16016,16,2696628.67815,8874.40219959,16
17,POD Camera,69 th & Damen,2008,24000,14910,google,"c(-87.673621, 41.7684379)",17019,19,2054716.04339,7286.7562307,17
5,Miscellaneous-CDOT,69 th St. & S. Jeffery,2008,17539,4034,google,"c(-87.576415, 41.7697804)",05028,28,2207172.2502,6206.28205393,5
13,POD Camera,71 & Springfield,2007,24000,10584,google,"c(-87.7198555, 41.764109)",13019,19,4346668.99355,9677.87071336,13
17,POD Camera,73 rd & Wood,2008,24000,14909,google,"c(-87.6685886, 41.761213)",17011,11,1759705.39493,5970.61637354,17
17,POD Camera,78 th & Marshfield,2007,3026,14852,google,"c(-87.6646886, 41.75215)",17038,38,1765649.2417899999,7256.86455902,17
17,POD Camera,78 th & Marshfield,2008,943,14914,google,"c(-87.6646886, 41.75215)",17038,38,1765649.2417899999,7256.86455902,17
17,POD Camera,78 th & Marshfield,2009,14147,14945,google,"c(-87.6646886, 41.75215)",17038,38,1765649.2417899999,7256.86455902,17
17,POD Camera,78 th & Marshfield,2010,1885,14994,google,"c(-87.6646886, 41.75215)",17038,38,1765649.2417899999,7256.86455902,17
44,Acquisition,815 & 817 W Roscoe St,2005,65000,38136,google,"c(-87.6501475, 41.9433669)",44034,34,1017184.84478,5404.90745616,44
10,Miscellaneous-CDOT,87 th & Commercial,2007,39000,7714,google,"c(-87.551544, 41.737301)",10018,18,2739629.90398,6779.88970844,10
18,Miscellaneous-CDOT,87 th St. & Washtenaw,2008,7288,15597,google,"c(-87.6896303, 41.7354663)",18034,34,9299574.91146,14676.3910201,18
