ward,type,location,year,est_cost,id,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
43,Street Resurfacing Menu,1-20 E BANKS ST,2021,13606.915,38057,census,"c(-87.628670058, 41.9067633160001)",43,39,43039
33,Miscellaneous-CDOT,100 tree grates on Kedzie Ave,2006,186000,28751,google,"c(-87.7071964, 41.9241386)",26,19,26019
34,Alley Resurfacing Menu,100- 134 W 111TH ST,2016,7769.115,30149,census,"c(-87.626615761, 41.692548077)",34,37,34037
5,Sidewalk Menu,1001 E 53RD ST,2021,2900.155,4459,census,"c(-87.6012390819999, 41.7994001370001)",5,3,05003
44,Alley Resurfacing Menu,1002 WDIVERSEY PKWY,2021,3367.96,38856,google,"c(-87.6541799, 41.9328853)",44,40,44040
9,Miscellaneous CDOT Projects,10048 S MICHIGAN AVE,2022,187.5,7316,census,"c(-87.6199913679999, 41.7114860040001)",9,2,09002
10,Sidewalk Menu,10254 S AVENUE G,2021,7252.28,8420,census,"c(-87.531666102, 41.7087464840001)",10,26,10026
26,Street Speed Hump Menu,1045 NSACRAMENTO AVE,2021,1175,23131,google,"c(-87.7015545, 41.9007907)",26,27,26027
10,POD Camera,104th AVE & S M AVE,2007,36000,7801,google,"c(-87.5377098, 41.7027492)",10,35,10035
9,Bollard Menu,10557 DR. MARTIN LUTHER KING JR. DR,2008,714,6845,google,"c(-87.613296, 41.701995)",9,22,09022
43,Sidewalk Menu,1056 W ARMITAGE AVE,2021,3430.79,38051,census,"c(-87.655430908, 41.918082944)",43,10,43010
44,Miscellaneous Other,108 signs will be posted in the designated areas of the ward,2013,10497,38429,google,"c(-87.6273439, 41.8914528)",42,22,42022
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,110 E ROOSEVELT RD,2021,27410,3763,census,"c(-87.623793521, 41.867541927)",2,18,02018
9,Sidewalk Menu,11040 S INDIANA AVE,2022,11533.455,7318,census,"c(-87.61828102, 41.6939025250001)",9,43,09043
26,Sidewalk Menu,1111 N FRANCISCO AVE,2021,2847.95,23113,census,"c(-87.699305689, 41.9013073450001)",26,27,26027
26,Sidewalk Menu,1130 N FRANCISCO AVE,2021,2847.95,23113,census,"c(-87.6993261269999, 41.9015371740001)",26,27,26027
19,POD Camera,11300 S Hermosa,2007,12000,16379,census,"c(-87.6682819819999, 41.6890742860001)",19,50,19050
44,Alley Apron Menu,1142 W OAKDALE AVE,2022,18813.92,38887,census,"c(-87.6571847119999, 41.935311379)",44,27,44027
44,Alley Apron Menu,1143 W GEORGE ST,2022,41172.68,38886,census,"c(-87.657942653, 41.934384708)",44,40,44040
2,Curb & Gutter Menu,115 W CHICAGOAVE,2022,10184.52,2470,google,"c(-87.6319807, 41.8963217)",42,57,42057
34,Alley Resurfacing Menu,117 th St - 117 th Pl - Lowe - Wallace,2012,2762,29914,google,"c(-87.619847, 41.6813358)",9,28,09028
9,Miscellaneous CDOT Projects,11919 S MICHIGANAVE,2022,187.5,7316,google,"c(-87.620146, 41.677304)",9,44,09044
34,Alley Resurfacing Menu,12222 S BISHOP ST,2022,27478.875,30393,census,"c(-87.657545015, 41.671605195)",34,51,34051
37,Sidewalk Menu,1234 N LAMON AVE,2021,10538.345,33016,census,"c(-87.7484474029999, 41.903274276)",37,43,37043
32,Miscellaneous-CDOT,1300 block of W. Altgeld,2010,49300,28132,google,"c(-87.6607368, 41.9275538)",32,48,32048
26,Alley Resurfacing Menu,1300 N ARTESIANAVE,2022,22075.835,23145,google,"c(-87.6886019, 41.9049718)",26,20,26020
2,2 POD Cameras: 2000 W Chicago Ave; 1300 N Cleveland,1300 N CLEVELAND AVE,2021,24776,2417,census,"c(-87.640858325, 41.905737442)",43,37,43037
49,Miscellaneous Other,1300 W ALBION AVE,2015,6000,42693,census,"c(-87.663644945, 42.002453743)",40,13,40013
25,POD Camera,1301 S Heath,2007,24000,21513,census,"c(-87.6843516119999, 41.8647319940001)",25,10,25010
49,Alley Resurfacing Menu,1309 W ARTHUR AVE,2022,34720.455,43020,census,"c(-87.663663061, 42.0004007970001)",40,16,40016
29,Miscellaneous CDOT Projects,132 N WALLER AVE,2022,125,25563,census,"c(-87.768220947, 41.8830247650001)",29,27,29027
29,Alley Resurfacing Menu,1324 N CENTRALAVE,2022,18001.14,25541,google,"c(-87.7660513, 41.904717)",29,8,29008
10,Sidewalk Menu,13316 S AVENUE K,2021,4050.94,8434,census,"c(-87.535038781, 41.6532644340001)",10,21,10021
49,Miscellaneous Other,1335 W COLUMBIA AVE,2015,6000,42693,census,"c(-87.664701216, 42.0044716450001)",40,13,40013
44,Alley Apron Menu,1343 W WAVELAND AVE,2022,16907.375,38888,census,"c(-87.662987441, 41.948903923)",44,13,44013
43,POD Camera,1350 N Wells,2008,24000,37352,census,"c(-87.634595567, 41.907189444)",43,30,43030
9,Miscellaneous-CDOT,137 - 141 E 114 th Place (parkway),2010,41,6931,google,"c(-87.6193128, 41.6860772)",9,31,09031
26,Alley Resurfacing Menu,1400 N KARLOV AVE,2022,24739.38,23147,census,"c(-87.728863318, 41.9062926920001)",37,42,37042
29,Street Resurfacing Menu,1400 N PARKSIDE AVE,2022,1340.87,25587,census,"c(-87.767003181, 41.9058903820001)",29,26,29026
26,Alley Resurfacing Menu,1400 NCENTRAL PARK AVE,2022,23051.98,23146,google,"c(-87.7170019, 41.9064972)",26,18,26018
48,Speed Indicator Signs,1416 WFOSTER AVE,2021,5500,42186,google,"c(-87.665467, 41.976502)",48,10,48010
26,Sidewalk Menu,1456 N SPRINGFIELD AVE,2022,3742.22666666667,23180,census,"c(-87.724015917, 41.90732668)",30,26,30026
29,Alley Resurfacing Menu,1457 N MASON AVE,2022,18976.075,25542,census,"c(-87.774293397, 41.9066610180001)",29,43,29043
