ward,type,location,year,est_cost,id,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
43,Street Resurfacing Menu,1-20 E BANKS ST,2021,13606.915,38057,census,"c(-87.628670058, 41.9067633160001)",43033,33,558401.510894,3827.29298596,43
33,Miscellaneous-CDOT,100 tree grates on Kedzie Ave,2006,186000,28751,google,"c(-87.7071964, 41.9241386)",32020,20,1245202.90861,5060.56247738,32
34,Alley Resurfacing Menu,100- 134 W 111TH ST,2016,7769.115,30149,census,"c(-87.626615761, 41.692548077)",34028,28,2820331.14068,7851.34346944,34
5,Sidewalk Menu,1001 E 53RD ST,2021,2900.155,4459,census,"c(-87.6012390819999, 41.7994001370001)",05021,21,1743407.63087,6840.43885828,5
44,Alley Resurfacing Menu,1002 WDIVERSEY PKWY,2021,3367.96,38856,google,"c(-87.6541799, 41.9328853)",44040,40,1309317.66934,4626.16326483,44
9,Miscellaneous CDOT Projects,10048 S MICHIGAN AVE,2022,187.5,7316,census,"c(-87.6199913679999, 41.7114860040001)",09002,2,2395489.62615,7927.02347678,9
10,Sidewalk Menu,10254 S AVENUE G,2021,7252.28,8420,census,"c(-87.531666102, 41.7087464840001)",10029,29,3720032.47776,9200.77985718,10
26,Street Speed Hump Menu,1045 NSACRAMENTO AVE,2021,1175,23131,google,"c(-87.7015545, 41.9007907)",26027,27,9955203.69684,13641.4977359,26
10,POD Camera,104th AVE & S M AVE,2007,36000,7801,google,"c(-87.5377098, 41.7027492)",10011,11,3480455.70375,7924.90663484,10
9,Bollard Menu,10557 DR. MARTIN LUTHER KING JR. DR,2008,714,6845,google,"c(-87.613296, 41.701995)",09022,22,1844056.28824,5446.92288233,9
43,Sidewalk Menu,1056 W ARMITAGE AVE,2021,3430.79,38051,census,"c(-87.655430908, 41.918082944)",43010,10,1664934.06793,5841.40294726,43
44,Miscellaneous Other,108 signs will be posted in the designated areas of the ward,2013,10497,38429,google,"c(-87.6273439, 41.8914528)",42025,25,1530090.25966,5648.96526637,42
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,110 E ROOSEVELT RD,2021,27410,3763,census,"c(-87.623793521, 41.867541927)",04025,25,18890961.2491,37780.955969,4
9,Sidewalk Menu,11040 S INDIANA AVE,2022,11533.455,7318,census,"c(-87.61828102, 41.6939025250001)",09043,43,5101617.85591,10894.7372234,9
26,Sidewalk Menu,1111 N FRANCISCO AVE,2021,2847.95,23113,census,"c(-87.699305689, 41.9013073450001)",26027,27,9955203.69684,13641.4977359,26
26,Sidewalk Menu,1130 N FRANCISCO AVE,2021,2847.95,23113,census,"c(-87.6993261269999, 41.9015371740001)",26027,27,9955203.69684,13641.4977359,26
19,POD Camera,11300 S Hermosa,2007,12000,16379,census,"c(-87.6682819819999, 41.6890742860001)",19048,48,5334234.26273,11854.2548069,19
44,Alley Apron Menu,1142 W OAKDALE AVE,2022,18813.92,38887,census,"c(-87.6571847119999, 41.935311379)",44027,27,1347715.59267,5635.7386567,44
44,Alley Apron Menu,1143 W GEORGE ST,2022,41172.68,38886,census,"c(-87.657942653, 41.934384708)",44040,40,1309317.66934,4626.16326483,44
2,Curb & Gutter Menu,115 W CHICAGOAVE,2022,10184.52,2470,google,"c(-87.6319807, 41.8963217)",02041,41,1115355.55795,6021.48388773,2
34,Alley Resurfacing Menu,117 th St - 117 th Pl - Lowe - Wallace,2012,2762,29914,google,"c(-87.619847, 41.6813358)",09007,7,3021337.98382,7255.79504514,9
9,Miscellaneous CDOT Projects,11919 S MICHIGANAVE,2022,187.5,7316,google,"c(-87.620146, 41.677304)",09007,7,3021337.98382,7255.79504514,9
34,Alley Resurfacing Menu,12222 S BISHOP ST,2022,27478.875,30393,census,"c(-87.657545015, 41.671605195)",34051,51,5339517.12951,10527.5346379,34
37,Sidewalk Menu,1234 N LAMON AVE,2021,10538.345,33016,census,"c(-87.7484474029999, 41.903274276)",37014,14,1770361.38699,5321.09626472,37
