ward,type,location,year,est_cost,id,start_location,end_location,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
9,Street Resurface Menu,W BRAYTON ST & S STATE ST (0 E) & W 126 PL (120 W),2011,84168,6579,0 W BRAYTON ST,0 W BRAYTON ST,41.6656812,-87.622398,google,41.6656812,-87.622398,google,"c(-87.622398, 41.6656812)",09044,44,3202150.93892,8638.74956009,9
20,Street Resurface Menu,E MARQUETTE RD & S MICHIGAN AV (100 E) & S MICHIGAN AV (100 E),2011,11647,16165,100 E MARQUETTE RD,100 E MARQUETTE RD,41.772839,-87.6227098,google,41.772839,-87.6227098,google,"c(-87.6227098, 41.772839)",20028,28,2672721.3386,10563.8192441,20
27,Curb/Gutter Menu,N HAMLIN AVE & W AUGUSTA BV (1000 N) & W AUGUSTA BV (1000 N),2011,20184,21936,1000 N HAMLIN AVE,1000 N HAMLIN AVE,41.899210932000074,-87.72132117999996,census,41.899210932000074,-87.72132117999996,census,"c(-87.72132118, 41.8992109320001)",27024,24,1865263.96459,6000.62267158,27
26,Curb & Gutter Menu,1015-1021 N CAMPBELL AVE,2017,9931.4,21416,1015 N CAMPBELL AVE,1021 N CAMPBELL AVE,NA,NA,census,41.86920214700007,-87.68853290799996,census,"c(-87.688532908, 41.8692021470001)",28011,11,5596357.98831,10883.2439211,28
19,Street Resurface Menu,S ALBANY AVE & W 103 ST (10300 S) & W 103 ST (10300 S),2011,11007,15525,10300 S ALBANY AVE,10300 S ALBANY AVE,41.70599373500005,-87.69899223099998,census,41.70599373500005,-87.69899223099998,census,"c(-87.698992231, 41.705993735)",19006,6,3180605.28846,11347.3285464,19
10,Street Resurface Menu,S MUSKEGON AVE & E 103 ST (10300 S) & E 103 ST (10300 S),2011,1048,7544,10300 S MUSKEGON AVE,10300 S MUSKEGON AVE,41.70806045200004,-87.55502463499994,census,41.70806045200004,-87.55502463499994,census,"c(-87.5550246349999, 41.708060452)",10021,21,10704487.6094,15363.5761769,10
19,Street Speed Hump Menu,S CHURCH ST & W 115 ST (11500 S) & W 115 ST (11500 S),2011,5550,15547,11500 S CHURCH ST,11500 S CHURCH ST,41.684412148000035,-87.66921640599998,census,41.684412148000035,-87.66921640599998,census,"c(-87.669216406, 41.684412148)",34017,17,3818383.83008,9856.85850453,34
44,Curb/Gutter Menu,W ROSCOE ST & N RACINE AV (1200 W) & N RACINE AV (1200 W),2011,2331,35448,1200 W ROSCOE ST,1200 W ROSCOE ST,41.94349996300008,-87.65921427699999,census,41.94349996300008,-87.65921427699999,census,"c(-87.659214277, 41.9434999630001)",44013,13,1340188.61768,5574.92010288,44
34,Street Bump Outs Menu,S JUSTINE ST & W 122 ST (12200 S) & W 122 ST (12200 S),2011,11297,27606,12200 S JUSTINE ST,12200 S JUSTINE ST,41.6712836,-87.659966,google,41.6712836,-87.659966,google,"c(-87.659966, 41.6712836)",34051,51,5339517.12951,10527.5346379,34
2,Pole Painting,S UNION AVE & S DAN RYAN ENTR RP (1077 S) & S DAN RYAN ENTR RP (1250 S),2011,2700,1792,1077 S UNION AVE,1250 S UNION AVE,NA,NA,census,41.8656744,-87.6452224,google,"c(-87.6452224, 41.8656744)",11007,7,7992689.64333,14820.057152,11
