ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_5,lon_5,query_5,total_area,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,intersect_area,geometry_list
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26024,24,1278845.75683,5332.05412031,26,39886.14444275516,"list(c(-87.7167600007953, -87.7167649996704, -87.716772000319, -87.7167759997056, -87.7167780003475, -87.7167835964826, -87.7216648306771, -87.7216589996429, -87.7216540007089, -87.7216520000027, -87.7216389995985, -87.7216250000428, -87.7216233492556, -87.7204010266684, -87.7204019997661, -87.7204149994839, -87.720427999284, -87.7198239992843, -87.7192920002903, -87.7192049995721, -87.7190910005081, -87.7185920005876, -87.7179790004754, -87.7173699999759, -87.7172159997899, -87.71675699975, -87.7167600007953, 
41.9169189995399, 41.917048000468, 41.9172830006356, 41.9174659992602, 41.9175099995338, 41.9176922895436, 41.9171854054639, 41.9169979994127, 41.9168580001728, 41.9167720001774, 41.9163139999548, 41.9158559997741, 41.9158073145293, 41.9158474237344, 41.9158749998539, 41.9163300003145, 41.9167839995644, 41.9167899997465, 41.9167960000638, 41.9167909997907, 41.9167849997116, 41.916793000087, 41.9167980006268, 41.9168039998153, 41.9168040001108, 41.9168130003268, 41.9169189995399))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26034,34,1048365.76276,4854.77654862,26,30463.97976920689,"list(c(-87.7069519838199, -87.7089600085195, -87.7089600002963, -87.7089550001564, -87.7089479994153, -87.7089479993057, -87.7089409997967, -87.7089390001109, -87.7089299997619, -87.7089280001528, -87.7089210006548, -87.7088700003194, -87.7087209999934, -87.7086710000813, -87.7086619998052, -87.7086580002503, -87.7086540002106, -87.7078280000649, -87.7070369999135, -87.7070549997288, -87.7069760001607, -87.7069080004929, -87.7069300006978, -87.7069399995353, -87.7069519838199, 41.9187125859464, 41.9185042697374, 
41.9185039999094, 41.9183289996203, 41.9181380002794, 41.9181159996671, 41.91790200034, 41.9178310006663, 41.9176039994978, 41.9175670001148, 41.9173770001273, 41.9173770000826, 41.917379000514, 41.917379999794, 41.917116999546, 41.9170159996795, 41.9168529999541, 41.9168620002696, 41.9168699998068, 41.9174010001121, 41.9174019998399, 41.917401999828, 41.9180629998386, 41.9183509998447, 41.9187125859464))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26023,23,2274296.28824,7796.80043252,26,22346.613635588525,"list(c(-87.7216648306771, -87.7237893595031, -87.7237249994319, -87.7231869828961, -87.7216233492556, -87.7216250000428, -87.7216389995985, -87.7216520000027, -87.7216540007089, -87.7216589996429, -87.7216648306771, 41.9171854054639, 41.9169647200295, 41.9168360002358, 41.9157559865969, 41.9158073145293, 41.9158559997741, 41.9163139999548, 41.9167720001774, 41.9168580001728, 41.9169979994127, 41.9171854054639))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26008,8,1613523.63532,6140.67237602,26,31932.949841839585,"list(c(-87.7265202845092, -87.7231869828961, -87.7237249994319, -87.7237893595031, -87.7265416888987, -87.7265229997145, -87.7265209995946, -87.7265202845092, 41.915646496351, 41.9157559865969, 41.9168360002358, 41.9169647200295, 41.9166787613114, 41.9158229999926, 41.9157080002145, 41.915646496351))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26007,7,998580.052546,4803.74557357,26,42456.887625372394,"list(c(-87.7086580002503, -87.7086619998052, -87.7086710000813, -87.7087209999934, -87.7088700003194, -87.7089210006548, -87.7089280001528, -87.7089299997619, -87.7089390001109, -87.7089409997967, -87.7089479993057, -87.7089479994153, -87.7089550001564, -87.7089600002963, -87.7089600085195, -87.7119040947459, -87.711902000433, -87.711901999862, -87.7118989998501, -87.7118990003102, -87.7119020006387, -87.7119019996948, -87.7119050009881, -87.7119000000835, -87.7118980003746, -87.7118959997246, -87.7118240003444, 
-87.7110920001683, -87.7103339995237, -87.7102810004361, -87.7102260005777, -87.7094730002239, -87.7088149998204, -87.7086540002106, -87.7086580002503, 41.9170159996795, 41.917116999546, 41.917379999794, 41.917379000514, 41.9173770000826, 41.9173770001273, 41.9175670001148, 41.9176039994978, 41.9178310006663, 41.91790200034, 41.9181159996671, 41.9181380002794, 41.9183289996203, 41.9185039999094, 41.9185042697374, 41.9181987790619, 41.9180709999234, 41.918060000514, 41.9178669999291, 41.9177969996961, 
41.9175699997686, 41.9175239997866, 41.9173420004591, 41.917084000049, 41.9169779998394, 41.9168259996403, 41.9168370001102, 41.9168450002864, 41.9168539999573, 41.9168460001113, 41.9168350002671, 41.9168429995064, 41.9168480001263, 41.9168529999541, 41.9170159996795))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,43030,30,1745563.97054,5287.22746695,43,161920.55533883336,"list(c(-87.6534399999969, -87.6534750002804, -87.65347700038, -87.6534879993706, -87.6535000000264, -87.6535030002296, -87.6535350000091, -87.6535360007192, -87.6535479996414, -87.6537900004277, -87.6541470000952, -87.6545179992433, -87.6547610000616, -87.6550029999737, -87.655730999567, -87.6559740002616, -87.6562160000312, -87.656580999668, -87.6569440001266, -87.6571869991991, -87.6574280006139, -87.6581519995715, -87.6583939993897, -87.6583819994547, -87.6583460000222, -87.6583349990267, -87.6583229999297, 
-87.658321000064, -87.6582900002127, -87.6582790000087, -87.658036000382, -87.6576749998504, -87.657309000058, -87.6570670008771, -87.6568239996145, -87.6564630000797, -87.6560959994997, -87.6558540001859, -87.6556119996336, -87.6552500005115, -87.6548859999449, -87.6546440004982, -87.6543999996342, -87.65403699974, -87.6536710002711, -87.6534280001165, -87.6534399999969, 41.9202850000636, 41.9212860002856, 41.921374000015, 41.9217380001244, 41.9221010004672, 41.9221610003054, 41.9231299998517, 41.9231920000875, 
41.9235559996957, 41.9235499999137, 41.9235429998901, 41.9235380001328, 41.9235349996276, 41.9235309996265, 41.9235190002609, 41.9235159998884, 41.9235120000304, 41.9235060002706, 41.9234989999069, 41.923494999387, 41.923490999198, 41.9234799999153, 41.9234770002393, 41.9231130001865, 41.9220240007018, 41.921660999495, 41.9212980005001, 41.9212050003874, 41.9202090002878, 41.9198470001399, 41.9198510002894, 41.9198570003306, 41.9198629995146, 41.9198669999018, 41.9198699999053, 41.9198759997425, 
41.9198819999637, 41.9198859995938, 41.9198899996068, 41.9198960005338, 41.9199010008263, 41.9199049997056, 41.9199079994738, 41.9199140005621, 41.9199190004824, 41.9199229998783, 41.9202850000636))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26037,37,1437418.54371,5704.85962864,26,51946.87245120862,"list(c(-87.7118980003746, -87.7119000000835, -87.7119050009881, -87.7119019996948, -87.7119020006387, -87.7118990003102, -87.7118989998501, -87.711901999862, -87.711902000433, -87.7119040947459, -87.7167835964826, -87.7167780003475, -87.7167759997056, -87.716772000319, -87.7167649996704, -87.7167600007953, -87.71675699975, -87.7167550001813, -87.7159469994836, -87.7151389997993, -87.7143249992184, -87.7135190001108, -87.7127079993362, -87.7125309993552, -87.7119789999456, -87.7118959997246, -87.7118980003746, 
41.9169779998394, 41.917084000049, 41.9173420004591, 41.9175239997866, 41.9175699997686, 41.9177969996961, 41.9178669999291, 41.918060000514, 41.9180709999234, 41.9181987790619, 41.9176922895436, 41.9175099995338, 41.9174659992602, 41.9172830006356, 41.917048000468, 41.9169189995399, 41.9168130003268, 41.9167600002906, 41.9167670002639, 41.9167780001526, 41.9167859998983, 41.9167959997973, 41.9168069996899, 41.9168059996615, 41.9168150001327, 41.9168259996403, 41.9169779998394))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,43026,26,275313.64922,2145.20479598,43,0.11250987021934913,"list(c(-87.6404751159299, -87.6404771, -87.6404808862603, -87.6404789999784, -87.6404751159299, 41.9255850566125, 41.9255883, 41.9255879095087, 41.9255850003196, 41.9255850566125))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,01002,2,1484363.50051,4889.3188391,1,31849.79335601567,"list(c(-87.7103339995237, -87.7110920001683, -87.7118240003444, -87.7118959997246, -87.7119789999456, -87.7125309993552, -87.7127079993362, -87.7135190001108, -87.7143249992184, -87.7151389997993, -87.7151259997255, -87.715115254952, -87.7102587913837, -87.7102810004361, -87.7103339995237, 41.9168539999573, 41.9168450002864, 41.9168370001102, 41.9168259996403, 41.9168150001327, 41.9168059996615, 41.9168069996899, 41.9167959997973, 41.9167859998983, 41.9167780001526, 41.91637799983, 41.9160207208552, 
41.9161797283554, 41.9168460001113, 41.9168539999573))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,01009,9,1165588.11131,4691.03073607,1,84989.67963388868,"list(c(-87.6874359998997, -87.6874409999129, -87.6874430002502, -87.6874460000597, -87.6874559996481, -87.6874599995966, -87.6874629997876, -87.687464999815, -87.6874660004371, -87.6874750000625, -87.6874779993516, -87.6874829999622, -87.6874830005825, -87.6874859996424, -87.6874870003944, -87.6874909995217, -87.6875030005005, -87.6875079998282, -87.6875118006846, -87.6913632635891, -87.6913569995918, -87.6913519990738, -87.6913480003868, -87.6913359991704, -87.691331998952, -87.690922999792, -87.6909079998298, 
-87.6905139993952, -87.6896389996739, -87.6895140006769, -87.689212999423, -87.689088000165, -87.6890399994315, -87.6888579990558, -87.6887189994479, -87.6885960004306, -87.6883579998783, -87.6883059996676, -87.6880160005348, -87.6877129996856, -87.6876469997258, -87.6874100000237, -87.6874149996074, -87.6874300004505, -87.6874349996772, -87.6874359998997, 41.9183800001237, 41.9185340000404, 41.9185849999969, 41.9186850000354, 41.9189859997366, 41.9190870002643, 41.9191780005425, 41.9192380002447, 
41.9192679996488, 41.9195570003254, 41.9196939996269, 41.9198470001382, 41.9198730000266, 41.9199529999882, 41.9199799994718, 41.9201050002157, 41.9204830005673, 41.9206089999954, 41.9207274675765, 41.9203285525034, 41.9201209997953, 41.9199560006774, 41.9198099997324, 41.91937300072, 41.919228000024, 41.9189780004872, 41.9189689996419, 41.9187270001075, 41.9181910001865, 41.9181149998124, 41.9179389995156, 41.9178660003936, 41.9178379998259, 41.917722000184, 41.9176370007326, 41.9175629994241, 41.9175629998102, 
41.9175639996928, 41.9175639998654, 41.9175659996752, 41.9175659994992, 41.9175679995923, 41.9177199998836, 41.9181770001164, 41.9183299997615, 41.9183800001237))"
