ward,type,location,year,est_cost,id,address,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
49,Alley Speed Hump Menu  2,037 W ESTES AVE,2019,700,42895,037 W ESTES AVE,google,"c(-87.6860386, 42.0111179)",50,7,50007
9,Sidewalk Menu,10 E 91ST ST,2018,34065.71,7178,10 E 91ST ST,census,"c(-87.623415371, 41.729057116)",6,28,06028
43,Street Resurfacing Menu,10 E SCOTT ST,2021,12701.75,38055,10 E SCOTT ST,census,"c(-87.628357319, 41.9048692320001)",43,39,43039
29,Street Speed Hump Menu,100 S MASON AVE,2022,3525,25591,100 S MASON AVE,google,"c(-87.773289, 41.8789683)",29,19,29019
4,Miscellaneous-Other,1000 E 43 rd Street,2007,257000,3294,1000 E 43 rd Street,google,"c(-87.601473, 41.817112)",4,5,04005
4,Miscellaneous-Other,1000 E 43 Street,2006,90000,3263,1000 E 43 Street,google,"c(-87.601473, 41.817112)",4,5,04005
4,Miscellaneous CDOT Projects,1000 E 43RD ST,2016,831,3610,1000 E 43RD ST,census,"c(-87.600580045, 41.8168919890001)",4,5,04005
37,Bollard Menu,1000 N CICERO AV,2010,800,32563,1000 N CICERO AV,census,"c(-87.7448327069999, 41.8683158200001)",24,41,24041
37,Street Speed Hump Menu,1000 N KARLOV AVE,2018,3700,32917,1000 N KARLOV AVE,census,"c(-87.727722467, 41.8690213890001)",24,32,24032
27,Alley Resurfacing Menu,1000 N RIDGEWAY AVE,2016,35479.79,23734,1000 N RIDGEWAY AVE,census,"c(-87.720103208, 41.899222996)",27,24,27024
27,POD Camera,1000 N. Avers,2010,13000,23518,1000 N. Avers,google,"c(-87.7228831, 41.8992301)",27,24,27024
16,Guardrail Menu,1000 S MORGAN ST,2007,18024,13969,1000 S MORGAN ST,census,"c(-87.651125478, 41.8693171410001)",25,25,25025
43,Sidewalk Menu,1000 W ARMITAGE AVE,2018,5242.22,37948,1000 W ARMITAGE AVE,google,"c(-87.6536, 41.9183532)",43,10,43010
43,Miscellaneous-CDOT,1000 W. Armitage Ave.,2008,454,37285,1000 W. Armitage Ave.,census,"c(-87.6534473789999, 41.918111137)",43,10,43010
10,Sidewalk Menu,10000 S COMMERCIAL AVE,2018,4838,8274,10000 S COMMERCIAL AVE,census,"c(-87.5509623199999, 41.713263345)",10,13,10013
10,Street Lighting,10000 S EWING AV,2008,500,7847,10000 S EWING AV,census,"c(-87.535279981, 41.7136159230001)",10,26,10026
