ward,type,location,year,est_cost,id,address,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
49,Alley Speed Hump Menu  2,037 W ESTES AVE,2019,700,42895,037 W ESTES AVE,google,"c(-87.6860386, 42.0111179)",50007,7,2660302.30468,6775.22462682,50
9,Sidewalk Menu,10 E 91ST ST,2018,34065.71,7178,10 E 91ST ST,census,"c(-87.623415371, 41.729057116)",09050,50,3192507.10756,7930.63110147,9
43,Street Resurfacing Menu,10 E SCOTT ST,2021,12701.75,38055,10 E SCOTT ST,census,"c(-87.628357319, 41.9048692320001)",43033,33,558401.510894,3827.29298596,43
29,Street Speed Hump Menu,100 S MASON AVE,2022,3525,25591,100 S MASON AVE,google,"c(-87.773289, 41.8789683)",29019,19,8584565.79816,12246.0454042,29
4,Miscellaneous-Other,1000 E 43 rd Street,2007,257000,3294,1000 E 43 rd Street,google,"c(-87.601473, 41.817112)",04007,7,4339309.28207,11518.8620073,4
4,Miscellaneous-Other,1000 E 43 Street,2006,90000,3263,1000 E 43 Street,google,"c(-87.601473, 41.817112)",04007,7,4339309.28207,11518.8620073,4
4,Miscellaneous CDOT Projects,1000 E 43RD ST,2016,831,3610,1000 E 43RD ST,census,"c(-87.600580045, 41.8168919890001)",04007,7,4339309.28207,11518.8620073,4
37,Bollard Menu,1000 N CICERO AV,2010,800,32563,1000 N CICERO AV,census,"c(-87.7448327069999, 41.8683158200001)",29006,6,13636293.8077,17331.1110977,29
37,Street Speed Hump Menu,1000 N KARLOV AVE,2018,3700,32917,1000 N KARLOV AVE,census,"c(-87.727722467, 41.8690213890001)",24032,32,2663726.9002,8475.14551605,24
27,Alley Resurfacing Menu,1000 N RIDGEWAY AVE,2016,35479.79,23734,1000 N RIDGEWAY AVE,census,"c(-87.720103208, 41.899222996)",27024,24,1865263.96459,6000.62267158,27
27,POD Camera,1000 N. Avers,2010,13000,23518,1000 N. Avers,google,"c(-87.7228831, 41.8992301)",37019,19,1769475.48914,6654.00020075,37
16,Guardrail Menu,1000 S MORGAN ST,2007,18024,13969,1000 S MORGAN ST,census,"c(-87.651125478, 41.8693171410001)",25004,4,2995733.49355,8190.28831477,25
43,Sidewalk Menu,1000 W ARMITAGE AVE,2018,5242.22,37948,1000 W ARMITAGE AVE,google,"c(-87.6536, 41.9183532)",43011,11,1264075.82622,5527.17729021,43
43,Miscellaneous-CDOT,1000 W. Armitage Ave.,2008,454,37285,1000 W. Armitage Ave.,census,"c(-87.6534473789999, 41.918111137)",43011,11,1264075.82622,5527.17729021,43
10,Sidewalk Menu,10000 S COMMERCIAL AVE,2018,4838,8274,10000 S COMMERCIAL AVE,census,"c(-87.5509623199999, 41.713263345)",10007,7,18449436.2225,20406.4368121,10
10,Street Lighting,10000 S EWING AV,2008,500,7847,10000 S EWING AV,census,"c(-87.535279981, 41.7136159230001)",10026,26,20339197.8038,26370.3374614,10
10,Sidewalk Menu,10001 S COMMERCIAL AVE,2018,4838,8274,10001 S COMMERCIAL AVE,census,"c(-87.550947881, 41.713261333)",10007,7,18449436.2225,20406.4368121,10
10,Sidewalk Menu,10005 S AVENUE N,2017,2062.82,8247,10005 S AVENUE N,google,"c(-87.5384161, 41.7136689)",10031,31,6260763.18283,13190.1198998,10
10,Sidewalk Menu,10005 S AVENUE N,2018,2217,8289,10005 S AVENUE N,google,"c(-87.5384161, 41.7136689)",10031,31,6260763.18283,13190.1198998,10
5,Sidewalk Menu,1001 E 53RD ST,2019,14490,4427,1001 E 53RD ST,google,"c(-87.6011175, 41.7992234)",05021,21,1743407.63087,6840.43885828,5
37,Alley Resurfacing Menu (1-1),1001 N LECLAIRE AVE,2019,18077.875,32926,1001 N LECLAIRE AVE,census,"c(-87.753234827, 41.8987575520001)",37015,15,1449424.20116,6340.48794687,37
37,Alley Speed Hump Menu,1001 N LECLAIRE AVE,2019,700,32940,1001 N LECLAIRE AVE,census,"c(-87.753234827, 41.8987575520001)",37015,15,1449424.20116,6340.48794687,37
27,Sidewalk Menu,1001 N MILWAUKEE AVE,2015,10715,23701,1001 N MILWAUKEE AVE,google,"c(-87.6610042, 41.9001325)",27013,13,2015668.41269,8295.42001928,27
43,Miscellaneous CDOT Projects,1001 W ALTGELD ST,2018,616.190476190476,37944,1001 W ALTGELD ST,census,"c(-87.653713705, 41.927189577)",43031,31,1374577.51107,6679.88112927,43
44,Miscellaneous CDOT Projects,1001 W WELLINGTON AVE,2019,582.5,38786,1001 W WELLINGTON AVE,census,"c(-87.654028636, 41.9362668590001)",44014,14,1581454.52949,6275.41531215,44
34,Sidewalk Menu,10011 S CHARLES ST,2019,4967.22,30283,10011 S CHARLES ST,census,"c(-87.660373082, 41.71102032)",34049,49,5604886.35736,11877.8224883,34
7,Bollard Menu,10015 S PAXTON AV,2007,714,5157,10015 S PAXTON AV,census,"c(-87.569402872, 41.7127326930001)",07042,42,2474226.83365,7932.28505342,7
25,Sidewalk Menu,1002 W 18TH ST,2020,23607.86,22188,1002 W 18TH ST,google,"c(-87.6516654, 41.8582181)",25017,17,1809230.57619,6791.58980769,25
7,Sidewalk Menu,10031 S MERRILL AVE,2022,1673.71,5773,10031 S MERRILL AVE,google,"c(-87.5703043, 41.7124442)",07042,42,2474226.83365,7932.28505342,7
10,Sidewalk Menu,10035 S AVENUE N,2018,8642,8282,10035 S AVENUE N,google,"c(-87.5386345, 41.7128379)",10031,31,6260763.18283,13190.1198998,10
26,Sidewalk Menu,1004 N KEDZIE AVE,2019,24507.17,22988,1004 N KEDZIE AVE,census,"c(-87.706683802, 41.8993782640001)",26010,10,1621457.25272,7688.56212629,26
10,Sidewalk Menu,10043 S AVENUE N,2018,8642,8282,10043 S AVENUE N,google,"c(-87.5386437, 41.7126336)",10031,31,6260763.18283,13190.1198998,10
10,Sidewalk Menu,10047 S AVENUE N,2018,8642,8282,10047 S AVENUE N,google,"c(-87.5386628, 41.7125105)",10031,31,6260763.18283,13190.1198998,10
27,Concrete Alley Menu,1008 N LARRABEE ST,2017,88000,23798,1008 N LARRABEE ST,census,"c(-87.643110279, 41.9007866530001)",27006,6,3535434.78005,11125.4685559,27
21,Sidewalk Menu,1008 W 89TH ST,2017,21561.9,18148,1008 W 89TH ST,google,"c(-87.6487766, 41.7324531)",21019,19,2189941.48781,7440.16596521,21
43,Curb & Gutter Menu,1009 W ARMITAGE AVE,2017,1500.87,37877,1009 W ARMITAGE AVE,google,"c(-87.6538137, 41.9178794)",43010,10,1664934.06793,5841.40294726,43
21,Bollard Menu,101 W 83RD ST,2022,4491.67,18457,101 W 83RD ST,census,"c(-87.62105626, 41.743704592)",06037,37,2533849.26692,7917.46921185,6
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,101 W IDA B WELLS DR,2021,27410,3763,101 W IDA B WELLS DR,google,"c(-87.6310683, 41.8753788)",04013,13,1118992.26527,4737.83664099,4
10,Sidewalk Menu,10108 S AVENUE M,2016,4661.01,8203,10108 S AVENUE M,census,"c(-87.537699953, 41.7116711)",10031,31,6260763.18283,13190.1198998,10
7,Sidewalk Menu,10111 S CRANDON AVE,2019,4083.65,5664,10111 S CRANDON AVE,census,"c(-87.5669668209999, 41.7113836460001)",07042,42,2474226.83365,7932.28505342,7
10,Sidewalk Menu,10116 S EWING AVE,2019,12951,8333,10116 S EWING AVE,census,"c(-87.535284113, 41.711557386)",10031,31,6260763.18283,13190.1198998,10
4,Curb & Gutter Menu,1012 E 47TH ST,2015,5748,3569,1012 E 47TH ST,google,"c(-87.6012817, 41.8100496)",04015,15,1756317.73397,6759.39356436,4
7,Sidewalk Menu,10120 S CALHOUN AVE,2022,5489.71,5774,10120 S CALHOUN AVE,census,"c(-87.5621438539999, 41.7112914860001)",07044,44,1948606.41044,5933.87744568,7
10,Sidewalk Menu,10125 S EWING AVE,2017,10410.75,8239,10125 S EWING AVE,census,"c(-87.535269883, 41.711425322)",10029,29,3720032.47776,9200.77985718,10
7,Sidewalk Menu,10127 S CRANDON AVE,2020,6955.66,5694,10127 S CRANDON AVE,census,"c(-87.566962772, 41.711133379)",07042,42,2474226.83365,7932.28505342,7
25,Street Light Upgrade Menu,1013 W 19TH ST,2016,450,22047,1013 W 19TH ST,google,"c(-87.6521981, 41.8565593)",25012,12,1096402.1495,5352.04734009,25
25,Alley Resurfacing Menu,1014 S MAY ST,2018,22179.44,22101,1014 S MAY ST,census,"c(-87.655243836, 41.868939115)",25004,4,2995733.49355,8190.28831477,25
44,Alley Apron Menu,1014 W OAKDALE AVE,2017,10095.68,38691,1014 W OAKDALE AVE,census,"c(-87.654926346, 41.935344539)",44027,27,1347715.59267,5635.7386567,44
44,Alley Apron Menu,1014 W WOLFRAM ST,2017,7722.33,38688,1014 W WOLFRAM ST,census,"c(-87.65455215, 41.9335404360001)",44040,40,1309317.66934,4626.16326483,44
7,Sidewalk Menu,10141 S CRANDON AVE,2020,6255.14,5696,10141 S CRANDON AVE,census,"c(-87.5669588439999, 41.710914373)",07042,42,2474226.83365,7932.28505342,7
43,Alley Apron Menu,1015 W ALTGELD ST,2018,8027.19,37906,1015 W ALTGELD ST,google,"c(-87.6543134, 41.9269428)",43031,31,1374577.51107,6679.88112927,43
44,Alley Apron Menu,1015 W OAKDALE AVE,2017,8696.35,38690,1015 W OAKDALE AVE,google,"c(-87.6546216, 41.9351211)",44040,40,1309317.66934,4626.16326483,44
34,Alley Apron Menu,10153 S WINSTON AVE,2018,27957.01,30238,10153 S WINSTON AVE,census,"c(-87.6556975409999, 41.7098398000001)",34049,49,5604886.35736,11877.8224883,34
9,Bollard Menu,10155 S STATE ST,2005,395,6738,10155 S STATE ST,google,"c(-87.6232882, 41.7091117)",09017,17,2397991.9493,8462.79198343,9
10,Guardrail Menu,10156 S INDIANAPOLIS AV,2009,7500,7856,10156 S INDIANAPOLIS AV,census,"c(-87.5334053, 41.7109764630001)",10029,29,3720032.47776,9200.77985718,10
43,Miscellaneous CDOT Projects,1016 W ALTGELD ST,2018,616.190476190476,37944,1016 W ALTGELD ST,census,"c(-87.654441096, 41.92718675)",43031,31,1374577.51107,6679.88112927,43
48,Sidewalk Menu,1017 W ARDMORE AVE,2020,4409.79,42139,1017 W ARDMORE AVE,census,"c(-87.6575795219999, 41.987313263)",48041,41,1248112.66089,4917.91411862,48
46,Alley Apron Menu,1017 W IRVING PARK RD,2017,9226.72,40099,1017 W IRVING PARK RD,census,"c(-87.655747565, 41.9544630990001)",46005,5,1399448.65175,5023.72243528,46
26,Street Speed Hump Menu,1019 N SACRAMENTO AVE,2019,2350,23008,1019 N SACRAMENTO AVE,google,"c(-87.7014122, 41.8998878)",26027,27,9955203.69684,13641.4977359,26
6,Sidewalk Menu,102 W 77TH ST,2022,5440.63,5039,102 W 77TH ST,google,"c(-87.6272519, 41.7547171)",06019,19,2414352.68371,6839.25781077,6
2,Sidewalk Menu,102 W GERMANIA PL,2017,38823.28,2295,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",02033,33,777218.562915,5596.98500927,2
2,Sidewalk Menu,102 W GERMANIA PL,2018,63565.31,2339,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",02033,33,777218.562915,5596.98500927,2
1,Alley Resurfacing Menu,1020 N MARSHFIELD AVE,2022,19151.03,984,1020 N MARSHFIELD AVE,census,"c(-87.668639038, 41.9005271240001)",01003,3,1373280.65152,5484.82600711,1
25,Sidewalk Menu,1020 W MONROE ST,2019,14903.4,22145,1020 W MONROE ST,google,"c(-87.6531859, 41.880577)",25031,31,1250016.48791,6239.16687693,25
9,POD Camera,10200 S. LaSalle,2009,24000,6923,10200 S. LaSalle,google,"c(-87.6274502, 41.7088129)",09010,10,2211236.08585,6879.96881586,9
