ward,type,location,year,est_cost,id,point_location,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
49,Alley Speed Hump Menu  2,037 W ESTES AVE,2019,700,39629,037 W ESTES AVE,google,"c(-87.6860386, 42.0111179)",50,7,50007
9,Sidewalk Menu,10 E 91ST ST,2018,34065.71,6771,10 E 91ST ST,census,"c(-87.623415371, 41.729057116)",6,28,06028
43,Street Resurfacing Menu,10 E SCOTT ST,2021,12701.75,43079,10 E SCOTT ST,census,"c(-87.628357319, 41.9048692320001)",43,39,43039
10,Miscellaneous-Other,10 th Ward,2008,100000,7425,10 th Ward,google,"c(-87.5354511, 41.7044683)",10,33,10033
29,Street Speed Hump Menu,100 S MASON AVE,2022,3525,42111,100 S MASON AVE,google,"c(-87.773289, 41.8789683)",29,19,29019
9,POD Camera,100 th Pl. & Michigan,2010,20000,6553,100 th Pl. & Michigan,google,"c(-87.6200374, 41.7117795)",9,2,09002
10,Miscellaneous-CDOT,100 th St. & Ewing St. to Avenu G.,2007,18700,7298,100 th St. & Ewing St. to Avenu G.,google,"c(-87.5316543, 41.7008882)",10,38,10038
10,Miscellaneous-CDOT,100 th St. & Ewing Street to Avenue G. (Additonal work),2008,19500,7387,100 th St. & Ewing Street to Avenue G. (Additonal work),google,"c(-87.5316543, 41.7008882)",10,38,10038
33,Miscellaneous-CDOT,100 tree grates on Kedzie Ave,2006,186000,26574,100 tree grates on Kedzie Ave,google,"c(-87.7071964, 41.9241386)",26,19,26019
4,Miscellaneous-Other,1000 E 43 rd Street,2007,257000,3106,1000 E 43 rd Street,google,"c(-87.601473, 41.817112)",4,5,04005
4,Miscellaneous-Other,1000 E 43 Street,2006,90000,3076,1000 E 43 Street,census,"c(-87.600580045, 41.8168919890001)",4,5,04005
4,Miscellaneous CDOT Projects,1000 E 43RD ST,2016,831,3413,1000 E 43RD ST,google,"c(-87.601473, 41.817112)",4,5,04005
37,Bollard Menu,1000 N CICERO AV,2010,800,30062,1000 N CICERO AV,google,"c(-87.7461754, 41.8988157)",37,33,37033
37,Street Speed Hump Menu,1000 N KARLOV AVE,2018,3700,30371,1000 N KARLOV AVE,google,"c(-87.7289521, 41.8991014)",37,8,37008
27,Alley Resurfacing Menu,1000 N RIDGEWAY AVE,2016,35479.79,22113,1000 N RIDGEWAY AVE,census,"c(-87.720103208, 41.899222996)",27,24,27024
27,POD Camera,1000 N. Avers,2010,13000,21909,1000 N. Avers,google,"c(-87.7228831, 41.8992301)",27,24,27024
16,Guardrail Menu,1000 S MORGAN ST,2007,18024,13118,1000 S MORGAN ST,census,"c(-87.651125478, 41.8693171410001)",25,25,25025
43,Sidewalk Menu,1000 W ARMITAGE AVE,2018,5242.22,35127,1000 W ARMITAGE AVE,census,"c(-87.6534473789999, 41.918111137)",43,10,43010
43,Miscellaneous-CDOT,1000 W. Armitage Ave.,2008,454,34488,1000 W. Armitage Ave.,census,"c(-87.6534473789999, 41.918111137)",43,10,43010
10,Sidewalk Menu,10000 S COMMERCIAL AVE,2018,4838,40656,10000 S COMMERCIAL AVE,census,"c(-87.5509623199999, 41.713263345)",10,13,10013
10,Street Lighting,10000 S EWING AV,2008,500,7423,10000 S EWING AV,census,"c(-87.535279981, 41.7136159230001)",10,26,10026
10,Sidewalk Menu,10001 S COMMERCIAL AVE,2018,4838,40655,10001 S COMMERCIAL AVE,census,"c(-87.550947881, 41.713261333)",10,13,10013
10,Sidewalk Menu,10005 S AVENUE N,2017,2062.82,7805,10005 S AVENUE N,google,"c(-87.5384161, 41.7136689)",10,26,10026
10,Sidewalk Menu,10005 S AVENUE N,2018,2217,7840,10005 S AVENUE N,google,"c(-87.5384161, 41.7136689)",10,26,10026
5,Sidewalk Menu,1001 E 53RD ST,2019,14490,4180,1001 E 53RD ST,google,"c(-87.6011175, 41.7992234)",5,3,05003
5,Sidewalk Menu,1001 E 53RD ST,2021,2900.155,40476,1001 E 53RD ST,google,"c(-87.6011175, 41.7992234)",5,3,05003
37,Alley Resurfacing Menu (1-1),1001 N LECLAIRE AVE,2019,18077.875,42752,1001 N LECLAIRE AVE,census,"c(-87.753234827, 41.8987575520001)",37,20,37020
37,Alley Speed Hump Menu,1001 N LECLAIRE AVE,2019,700,42776,1001 N LECLAIRE AVE,census,"c(-87.753234827, 41.8987575520001)",37,20,37020
27,Sidewalk Menu,1001 N MILWAUKEE AVE,2015,10715,22083,1001 N MILWAUKEE AVE,census,"c(-87.6614854279999, 41.900171997)",27,10,27010
43,Miscellaneous CDOT Projects,1001 W ALTGELD ST,2018,616.190476190476,43024,1001 W ALTGELD ST,census,"c(-87.653713705, 41.927189577)",43,2,43002
44,Miscellaneous CDOT Projects,1001 W WELLINGTON AVE,2019,582.5,43175,1001 W WELLINGTON AVE,census,"c(-87.654028636, 41.9362668590001)",44,27,44027
34,Sidewalk Menu,10011 S CHARLES ST,2019,4967.22,27976,10011 S CHARLES ST,census,"c(-87.660373082, 41.71102032)",21,20,21020
7,Bollard Menu,10015 S PAXTON AV,2007,714,4868,10015 S PAXTON AV,census,"c(-87.569402913, 41.712736099)",7,37,07037
44,Alley Resurfacing Menu,1002 W DIVERSEY PKWY,2021,3367.96,43234,1002 W DIVERSEY PKWY,census,"c(-87.654035874, 41.9326419110001)",44,40,44040
7,Sidewalk Menu,10031 S MERRILL AVE,2022,1673.71,5436,10031 S MERRILL AVE,census,"c(-87.570607958, 41.712525822)",7,37,07037
10,Sidewalk Menu,10035 S AVENUE N,2018,8642,40661,10035 S AVENUE N,census,"c(-87.537682386, 41.7131606500001)",10,26,10026
26,Sidewalk Menu,1004 N KEDZIE AVE,2019,24507.17,21492,1004 N KEDZIE AVE,census,"c(-87.706683802, 41.8993782640001)",26,10,26010
10,Sidewalk Menu,10043 S AVENUE N,2018,8642,40662,10043 S AVENUE N,google,"c(-87.5386437, 41.7126336)",10,26,10026
10,Sidewalk Menu,10047 S AVENUE N,2018,8642,40663,10047 S AVENUE N,google,"c(-87.5386628, 41.7125105)",10,26,10026
9,Miscellaneous CDOT Projects,10048 S MICHIGAN AVE,2022,187.5,40636,10048 S MICHIGAN AVE,census,"c(-87.619990421, 41.7114795630001)",9,2,09002
27,Concrete Alley Menu,1008 N LARRABEE ST,2017,88000,41899,1008 N LARRABEE ST,census,"c(-87.643110279, 41.9007866530001)",27,12,27012
21,Sidewalk Menu,1008 W 89TH ST,2017,21561.9,17105,1008 W 89TH ST,census,"c(-87.648846561, 41.7324663150001)",21,6,21006
