ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
10,Alley Speed Hump Menu,S AVENUE F & S AVENUE G & E 10 ST & E 12 ST,2007,500,7275,S AVENUE F & E 10th ST,S AVENUE G & E 10th ST,S AVENUE F & E 12th ST,S AVENUE G & E 12th ST,NA,NA,google,41.7008882,-87.5316543,google,NA,NA,google,41.7008882,-87.5316543,google,"c(-87.5316543, 41.7008882)",10032,32,2466700.33008,8505.32977742,10
3,Alley Speed Hump Menu,S CALUMET AV & S PRAIRIE AV & W 2 ST & W 3 ST,2005,2000,2365,S CALUMET AV & W 2nd ST,S PRAIRIE AV & W 2nd ST,S CALUMET AV & W 3rd ST,S PRAIRIE AV & W 3rd ST,41.766575,-87.6168901,google,NA,NA,google,41.766575,-87.6168901,google,NA,NA,google,"c(-87.6168901, 41.766575)",06048,48,1933827.84964,7057.58258328,6
30,Alley Resurfacing Menu,N KEELER AVE & N TRIPP AVE & W BLOOMINGDALE AVE & DEAD END,2012,49837,24243,N KEELER AVE & W BLOOMINGDALE AVE,N TRIPP AVE & W BLOOMINGDALE AVE,NA,NA,41.9132553,-87.7481181,google,41.9132553,-87.7481181,google,NA,NA,NA,NA,NA,NA,"c(-87.7481181, 41.9132553)",37010,10,2991266.95283,8936.53463536,37
22,Concrete Alley Menu,S KEELER AVE & W 24TH PL & W 24TH ST & S KEELER AVE,2020,21000,41451,S KEELER AVE & W 24TH PL,S KEELER AVE & W 24TH ST,NA,NA,41.8469292,-87.7294965,google,41.8469292,-87.7294965,google,NA,NA,NA,NA,NA,NA,"c(-87.7294965, 41.8469292)",22006,6,4355602.51381,9179.66097863,22
25,Alley Resurface Menu,W 18 PL & W 18 ST & S LEAVITT ST & S LEAVITT ST,2008,1644,20142,S LEAVITT ST & W 18th PL,S LEAVITT ST & W 18th ST,NA,NA,41.8575972,-87.6809008,google,41.8575972,-87.6809008,google,NA,NA,NA,NA,NA,NA,"c(-87.6809008, 41.8575972)",25009,9,2754447.27515,6962.3087658,25
18,Alley Speed Hump Menu,W 81 PL & W 81 ST & RAILROAD TRACKS & S OAKLEY AV,2010,1050,14760,S OAKLEY AV & W 81st PL,S OAKLEY AV & W 81st ST,NA,NA,41.7454595,-87.6804428,google,41.7454595,-87.6804428,google,NA,NA,NA,NA,NA,NA,"c(-87.6804428, 41.7454595)",18018,18,2794915.80117,7847.05294097,18
12,Alley Speed Hump Menu,W 8 PL & W 8 ST & S ST LOUIS AV & DEAD END,2007,1500,8961,S ST LOUIS AV & W 8th PL,S ST LOUIS AV & W 8th ST,NA,NA,41.809825,-87.7112075,google,NA,NA,google,NA,NA,NA,NA,NA,NA,"c(-87.7112075, 41.809825)",14010,10,6437653.35261,13552.9368815,14
5,Alley Resurface Menu,S WOODLAWN AV & RAILROAD TRACKS & E 72 ST & E 72 PL,2007,13321,3735,S WOODLAWN AV & E 72nd ST,S WOODLAWN AV & E 72nd PL,NA,NA,41.763255,-87.5957716,google,41.763255,-87.5957716,google,NA,NA,NA,NA,NA,NA,"c(-87.5957716, 41.763255)",05002,2,2653760.05897,7023.08433263,5
32,Alley Speed Hump Menu,N CLYBOURN AV & N CLYBOURN AV & W FULLERTON AV & RAILROAD TRACKS,2009,1575,25919,N CLYBOURN AV & W FULLERTON AV,NA,NA,NA,41.92513805300007,-87.66930774099995,census,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-87.669307741, 41.9251380530001)",32013,13,3729207.84063,10047.6015955,32
1,Alley Resurface Menu,W ELLEN ST & N WOOD ST & RAILROAD TRACKS & RAILROAD TRACKS,2006,5750,99,N WOOD ST & W ELLEN ST,NA,NA,NA,41.9055623,-87.672421,google,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-87.672421, 41.9055623)",01021,21,2410403.60641,6626.31339185,1
