ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
47,Miscellaneous-CDOT,1733 W. Irving Park,2008,12867,40499,1733 W. Irving Park,census,"c(-87.6727074459999, 41.9542353750001)",47,43,47043
36,Sidewalk Menu,2316 N OAK PARKAVE,2022,1720.038,32254,2316 N OAK PARK,census,"c(-87.7951865269999, 41.9216753470001)",36,22,36022
32,Chicago Park District,3550 N Lincoln Park Construction,2005,200000,27828,3550 N Lincoln Park,census,"c(-87.672937126, 41.94579436)",32,22,32022
45,Miscellaneous Other,4200 W Irving Park (under the UPNW,2013,12658,39292,4200 W Irving Park,census,"c(-87.7325324989999, 41.9536035250001)",38,5,38005
4,POD Camera,4258 S. Lake Park,2010,13000,3379,4258 S. Lake Park,census,"c(-87.599470047, 41.817745905)",4,5,04005
4,Miscellaneous CDOT Projects,4859 S CHICAGO BEACH DR,2022,660,3816,4859 S CHICAGO BEACH DR,census,"c(-87.586137843, 41.8067701530001)",4,45,04045
4,POD Camera,5158 S. Lake Park,2010,20000,3377,5158 S. Lake Park,census,"c(-87.5876236239999, 41.8016305800001)",4,47,04047
29,Miscellaneous CDOT Projects,5700 W MIDWAY PARK,2018,2350,25328,5700 W MIDWAY PARK,census,"c(-87.768413346, 41.8890634380001)",29,33,29033
4,Street Resurfacing Menu,800 S PARK TER,2022,27009.49,3831,800 S PARK,census,"c(-87.629600387, 41.8716840590001)",2,43,02043
32,Chicago Park District,Adams Playground Renovations,2005,70000,27827,Adams Playground Renovations,google,"c(-87.6984339, 41.8783159)",2,47,02047
43,Miscellaneous-CDOT,"Armitage-Larrabee Park (2009 , 2008 Menu)",2010,8770.5,37418,"Armitage-Larrabee Park (2009 , 2008 Menu)",google,"c(-87.6435084, 41.9183303)",43,47,43047
43,Miscellaneous-CDOT,Armitage-Larrabee Park,2008,251,37281,Armitage-Larrabee Park,google,"c(-87.6435084, 41.9183303)",43,47,43047
43,Miscellaneous-CDOT,Armitage-Larrabee Park,2009,243,37368,Armitage-Larrabee Park,google,"c(-87.6435084, 41.9183303)",43,47,43047
43,Miscellaneous-CDOT,"Armitage-Larrabee Park (2009 , 2008 Menu)",2010,8770.5,37418,Armitage-Larrabee Park,google,"c(-87.6435084, 41.9183303)",43,47,43047
10,Schools,Arnold Mireless School - mural,2010,10000,7939,Arnold Mireless School,google,"c(-87.5529522, 41.7310266)",10,25,10025
35,Chicago Park District,Athletic Field Park,2008,50000,30664,Athletic Field Park,google,"c(-87.7170178, 41.9474204)",35,4,35004
47,Schools,Bell Elementary School - 3830 N. Oakley,2009,30000,40612,Bell Elementary School,google,"c(-87.6862446, 41.9495261)",47,49,47049
25,School Projects,Benito Juarez High School - public art,2012,50000,21889,Benito Juarez High School,google,"c(-87.6642827, 41.8525773)",25,7,25007
23,Schools,Blair Early Childhood Center Playground,2008,50000,19495,Blair Early Childhood Center,google,"c(-87.7896451, 41.7763901)",23,40,23040
33,Chicago Park District,Brand Park,2008,20000,28872,Brand Park,google,"c(-87.6992049, 41.9411802)",33,2,33002
35,Schools,Brentano School,2008,19753,30666,Brentano School,google,"c(-87.6961091, 41.9310452)",35,8,35008
