ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
12,Street Light Residential,ON 23 FROM S CALIFORNIA AV (2800 W) TO Dead End (2866 W),2013,72000,9872,E 23RD ST and S CALIFORNIA AV,2866 E 23RD ST,41.8500879,-87.6953841,google,NA,NA,census,"c(-87.6953841, 41.8500879)",28,29,28029
18,Street Light Residential,ON CALIFORNIA FROM W 83 ST (8300 S) TO W 84 ST (8381 S),2012,72000,15864,CALIFORNIA and W 83rd ST,CALIFORNIA and W 84th ST,41.74265928700004,-87.69243013299996,census,NA,NA,google,"c(-87.692430133, 41.742659287)",18,35,18035
18,Street Light Residential,ON CALIFORNIA FROM W 85 ST (8500 S) TO W 86 ST (8614 S),2012,72000,15866,CALIFORNIA and W 85th ST,CALIFORNIA and W 86th ST,NA,NA,google,41.73698722600005,-87.69228943699994,census,"c(-87.6922894369999, 41.7369872260001)",18,34,18034
28,Street Light Upgrade,ON CALIFORNIA FROM W FILLMORE ST (1028 S) TO W ROOSEVELT RD (1200 S),2012,2000,24357,CALIFORNIA and W FILLMORE ST,CALIFORNIA and W ROOSEVELT RD,NA,NA,google,41.86651201600006,-87.69590331599994,census,"c(-87.6959033159999, 41.8665120160001)",28,55,28055
2,Street Light Pole Painting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,5700,1980,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census,NA,NA,google,"c(-87.6518332909999, 41.875110555)",2,6,02006
2,Street Light Upgrade,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,7600,2003,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census,NA,NA,google,"c(-87.6518332909999, 41.875110555)",2,6,02006
8,Street Light Upgrade,ON CREGIER FROM E 89 ST (8900 S) TO E 89 ST (8900 S),2013,1400,6250,CREGIER and E 89th ST,CREGIER and E 89th ST,41.7334131,-87.58047,google,41.7334131,-87.58047,google,"c(-87.58047, 41.7334131)",8,19,08019
20,Sidewalk Menu,ON E 68TH ST FROM S ST LAWRENCE AV (600 E) TO S ST LAWRENCE AV (600 E),2012,7855,17194,E 68TH ST and S ST LAWRENCE AV,E 68TH ST and S ST LAWRENCE AV,41.7712432,-87.6105673,google,41.7712432,-87.6105673,google,"c(-87.6105673, 41.7712432)",20,10,20010
7,Curb & Gutter Menu,ON E 74TH ST FROM S OGLESBY AV (2332 E) TO S OGLESBY AV (2332 E),2012,3657,5415,E 74TH ST and S OGLESBY AV,E 74TH ST and S OGLESBY AV,41.7607931,-87.5676184,google,41.7607931,-87.5676184,google,"c(-87.5676184, 41.7607931)",7,9,07009
7,Alley Apron Menu,ON E 80TH ST FROM 2600 E TO S COLFAX AVE (2600 E),2014,8924,5473,2600 E 80TH ST,E 80TH ST and S COLFAX AVE,41.7499655,-87.5613523,google,41.7499655,-87.5613523,google,"c(-87.5613523, 41.7499655)",7,6,07006
6,Curb & Gutter Menu,ON E 83RD ST FROM S RHODES AVE (530 E) TO S RHODES AVE (530 E),2015,25399,4842,E 83RD ST and S RHODES AVE,E 83RD ST and S RHODES AVE,41.7438634,-87.6110867,google,41.7438634,-87.6110867,google,"c(-87.6110867, 41.7438634)",6,47,06047
8,Street Resurfacing Menu,ON E 84TH PL FROM S BLACKSTONE AVE (1500 E) TO S STONY ISLAND,2020,50603.11,6504,E 84TH PL and S BLACKSTONE AVE,E 84TH PL and S STONY ISLAND,41.7414296,-87.5879475,google,41.7414296,-87.5879475,google,"c(-87.5879475, 41.7414296)",8,53,08053
8,Street Light Residential Staggered Piggy Back Menu,ON E 88TH ST FROM 1200 east E TO S KIMBARK AVE (1300 E),2018,42000,6437,E 88TH ST and 1200 east E,E 88TH ST and S KIMBARK AVE,NA,NA,google,41.7349915,-87.5929535,google,"c(-87.5929535, 41.7349915)",8,1,08001
8,Street Resurfacing Menu,ON E 88TH ST FROM S CRANDON AV (2300 E) TO S OGLESBY AV (2332 E),2012,15659,6192,E 88TH ST and S CRANDON AV,E 88TH ST and S OGLESBY AV,41.7353321,-87.5684004,google,NA,NA,NA,"c(-87.5684004, 41.7353321)",8,4,08004
5,Street Resurfacing Menu,ON E MARQUETTE RD FROM S DORCHESTER AVE (1360 E) TO S DORCHESTER AVE (1360 E),2019,5228.32,4434,E MARQUETTE RD and S DORCHESTER AVE,E MARQUETTE RD and S DORCHESTER AVE,41.775124,-87.591168,google,41.775124,-87.591168,google,"c(-87.591168, 41.775124)",5,5,05005
