ward,type,location,cg_blks,sw_blks,humps,blocks,unitcount,estcost,year
01,Alley Resurface Menu,N WOOD ST--N HERMITAGE AV--W POTOMAC AV--W ELLEN ST,NA,NA,2,0.42,NA,"9,898",2005
01,Alley Resurface Menu,W AUGUSTA BV--W THOMAS ST--N HONORE ST--N WOLCOTT AV,NA,NA,3,0.16,NA,"5,662",2005
01,Alley Resurface Menu,N OAKLEY--N CLAREMONT AV--W POTOMAC AV--W HIRSCH ST,NA,NA,NA,0.81,NA,"15,806",2005
01,Alley Resurface Menu,W FULLERTON AV--W ALTGELD ST--N MAPLEWOOD AV--N CAMPBELL AV,NA,NA,NA,0.84,NA,"18,260",2005
01,Alley Resurface Menu,W DIVISION ST--N GREENVIEW AV--W BLACKHAWK ST--N BOSWORTH AV,NA,NA,NA,0.27,NA,"5,361",2005
01,Alley Speed Hump Menu,N CAMPBELL AV--N MAPLEWOOD AV--W NORTH AV--W WABANSIA AV,NA,NA,4,NA,NA,"3,500",2005
01,Alley Speed Hump Menu,N HONORE ST--N WOOD ST--W NORTH AV--N ELK GROVE AV,NA,NA,4,NA,NA,"3,500",2005
01,Alley Speed Hump Menu,N BELL AV--N OAKLEY--W POTOMAC AV--W HIRSCH ST,NA,NA,2,NA,NA,"1,750",2005
01,Alley Speed Hump Menu,W THOMAS ST--W HADDON AV--N WESTERN AV--N CAMPBELL AV,NA,NA,4,NA,NA,"3,500",2005
01,Alley Speed Hump Menu,N MARSHFIELD AV--N PAULINA ST--W NORTH AV--W WABANSIA AV,NA,NA,5,NA,NA,"4,375",2005
01,Alley Speed Hump Menu,W HADDON--W HADDON--W HADDON--W HADDON,NA,NA,AV,NA,NA,875,2005
01,Alley Speed Hump Menu,N CALIFORNIA--N CALIFORNIA--N CALIFORNIA--N CALIFORNIA,NA,NA,AV,NA,NA,875,2005
01,Alley Speed Hump Menu,N MAPLEWOOD--N MAPLEWOOD--N MAPLEWOOD--N MAPLEWOOD,NA,NA,AV,NA,NA,875,2005
01,Alley Speed Hump Menu,N--N--N--N,NA,NA,OAKLEY,NA,NA,875,2005
01,Alley Speed Hump Menu,N NOBLE ST--N CLEAVER ST--W DIVISION ST--W POTOMAC AV,NA,NA,4,NA,NA,"3,500",2005
01,Alley Speed Hump Menu,N HERMITAGE AV--N WOOD ST--W CHICAGO AV--W PEARSON ST,NA,NA,4,NA,NA,"3,500",2005
01,Alley Speed Hump Menu,W ELLEN ST--N WICKER PARK AV--N WOOD ST--N WOLCOTT AV,NA,NA,3,NA,NA,"2,625",2005
01,Bollard Menu,1702 N FAIRFIELD AV,NA,NA,NA,NA,2.00,633,2005
01,Bollard Menu,1828 N ROCKWELL ST,NA,NA,NA,NA,2.00,"1,293",2005
01,Guardrail Menu,2700 W GEORGE ST,NA,NA,NA,NA,1.00,"2,091",2005
01,Miscellaneous-CDOT,Sign Installation project,NA,NA,NA,NA,NA,"8,885",2005
01,Miscellaneous-CDOT,Diversey Ave Bridge,NA,NA,NA,NA,NA,"25,100",2005
01,Miscellaneous-CDOT,N MILWAUKEE AV-- N PAULINA ST (1270 N) -to- N HERMITAGE AV (1323 N),NA,NA,NA,NA,NA,"4,735",2005
01,Sidewalk Menu,N HERMITAGE AV-- W WALTON ST (928 N) -to- W AUGUSTA BV (1000 N),0.17,0.69,NA,NA,NA,"42,217",2005
01,Sidewalk Menu,N HERMITAGE AV-- W CORTEZ ST (1040 N) -to- W HADDON AV (1132 N),0.01,0.13,NA,NA,NA,"17,291",2005
01,Sidewalk Menu,N LEAVITT ST-- W NORTH AV (1600 N) -to- W WABANSIA AV (1700 N),0.10,0.61,NA,NA,NA,"33,984",2005
01,Sidewalk Menu,N ROCKWELL ST-- W CHICAGO AV (800 N) -to- W IOWA ST (900 N),0.31,0.36,NA,NA,NA,"29,155",2005
01,Sidewalk Menu,N ROCKWELL ST-- W DIVERSEY AV (2800 N) -to- W GEORGE ST (2900 N),0.01,0.10,NA,NA,NA,"12,843",2005
01,Sidewalk Menu,N WINNEBAGO AV-- W WABANSIA AV (1704 N) -to- W ST PAUL AV (1740 N),0.01,0.20,NA,NA,NA,"24,443",2005
01,Sidewalk Menu,N WOOD ST-- W CRYSTAL ST (1225 N) -to- W POTOMAC AV (1250 N),NA,0.25,NA,NA,NA,"12,500",2005
01,Sidewalk Menu,N WOOD ST-- W CHICAGO AV (800 N) -to- W PEARSON ST (840 N),0.10,0.40,NA,NA,NA,"24,734",2005
01,Sidewalk Menu,W CORTEZ ST-- N CAMPBELL AV (2500 W) -to- N ROCKWELL ST (2600 W),0.03,0.51,NA,NA,NA,"25,943",2005
