ward,type,location,desc,blocks,unitcount,estcost,year
1,Street Lighting,N HONORE ST W AUGUSTA BV (1000 N) W THOMAS ST (1100 N),Yonan Letter,0,3.00,1200,2011
1,Street Lighting,N ROCKWELL ST N MILWAUKEE AVE,,0,5.00,1750,2011
1,Traffic Signals,W DIVISION ST N CLEAVER ST,From CDOT Misc. to DEO Menu Group 9/11/11.,0,1.00,12000,2011
1,Alley Apron Menu,N PAULINA ST W HADDON AV (1132 N),,0,1.00,9845,2011
1,Alley Apron Menu,N CLYBOURN AVE N HOYNE AV (2950 N),,0,1.00,21141,2011
1,Alley Resurface Menu,N WASHTENAW AVE N CALIFORNIA AVE W HADDON AVE W THOMAS ST,,1,0.00,25449,2011
1,Alley Resurface Menu,N PAULINA ST N MOORMAN ST N MILWAUKEE AVE N PAULINA ST,,0,0.00,3768,2011
1,Alley Resurface Menu,N DAMEN AVE N HOYNE AVE W EVERGREEN AVE W POTOMAC AVE,,0,0.00,22456,2011
1,Alley Resurface Menu(1),N TALMAN AVE N WASHTENAW AVE W BLOOMINGDALE AVE W WABANSIA AVE,,1,0.00,28110,2011
1,Alley Speed Hump Menu,N OAKLEY AVE N CAMPBELL AVE W HIRSCH ST W POTOMAC AVE,,0,0.00,700,2011
1,Alley Speed Hump Menu,N ASHLAND AVE N PAULINA ST W DIVISION ST N MILWAUKEE AVE,,0,0.00,2200,2011
1,Bollard Menu,N ASHLAND AVE W CHICAGO AV (800 N),,0,1.00,2661,2011
1,Curb/Gutter Menu,W SHAKESPEARE AVE N CAMPBELL AV (2450 W) N MAPLEWOOD AV (2535 W),,0,0.00,23972,2011
1,Curb/Gutter Menu,N PAULINA ST W HADDON AV (1132 N) W AUGUSTA BV (1000 N),,0,0.00,70289,2011
1,Curb/Gutter Menu,N WESTERN AVE W ST PAUL AV (1740 N) W BLOOMINGDALE AV (1800 N),,0,0.00,4948,2011
1,Curb/Gutter Menu - Change Order,N WESTERN AVE W BLOOMINGDALE AV (1800 N) W ST PAUL AV (1740 N),PM: John Cecchin - 2011 funds,0,0.00,1651,2011
1,In-Road State Law Stop for Pedestrians S,W PALMER ST N CALIFORNIA AVE,,0,0.00,410,2011
1,In-Road State Law Stop for Pedestrians S,W DIVISION ST N WOLCOTT AVE,,0,0.00,800,2011
1,In-Road State Law Stop for Pedestrians S,W HURON ST N DAMEN AVE,,0,0.00,800,2011
1,In-Road State Law Stop for Pedestrians S,W CHICAGO AVE N HOYNE AVE,,0,0.00,800,2011
1,In-Road State Law Stop for Pedestrians S,W AUGUSTA BLVD N PAULINA ST,,0,0.00,800,2011
1,In-Road State Law Stop for Pedestrians S,W LE MOYNE ST N DAMEN AVE,,0,0.00,410,2011
1,In-Road State Law Stop for Pedestrians S,W FULLERTON AVE N OAKLEY AVE,,0,0.00,800,2011
1,In-Road State Law Stop for Pedestrians S,W DIVISION ST N HOYNE AVE,,0,0.00,410,2011
1,In-Road State Law Stop for Pedestrians S,W DIVISION ST N PAULINA ST,,0,0.00,410,2011
1,Miscellaneous-CDOT,Clybourn/ Leavitt to Hoyne-alley apron change orde,PM: OC/JC,0,1.00,1488,2011
1,Miscellaneous-CDOT,Clybourn at Barry/Oakley,PM: MS/KH/MI split w/32nd - primary 1st ward only,0,0.00,800,2011
1,Miscellaneous-CDOT,W CHICAGO AVE N CAMPBELL AVE,PM: MS/SP/MI,0,1.00,800,2011
1,Miscellaneous-CDOT,Milwaukee/Wood/Wolcott,PM: MS/RP/JA/DL,0,1.00,27000,2011
1,Miscellaneous-CDOT,Installation of two bike stations,PM: BG - 2012 request - 2011 funds,0,0.00,106000,2011
1,Miscellaneous-CDOT,W AUGUSTA BLVD N PAULINA ST,PM: MS/BR/MI,0,0.00,700,2011
1,Pavement Markings Menu,N DAMEN AVE W GEORGE ST,,0,0.00,1000,2011
1,Pavement Markings Menu,N MILWAUKEE AVE W FRANCIS PL,,0,0.00,900,2011
1,Sidewalk Menu,N PAULINA ST N MOORMAN ST (1272 N) N MOORMAN ST (1272 N),,0,0.00,10639,2011
1,Sidewalk Menu,W PEARSON ST N ASHLAND AV (1600 W) N PAULINA ST (1700 W),,0,0.00,33406,2011
1,Sidewalk Menu,N HOYNE AVE W HADDON AV (1132 N) W DIVISION ST (1200 N),,0,0.00,19282,2011
1,Sidewalk Menu,W MOFFAT ST N WESTERN AV (2400 W) N CAMPBELL AV (2500 W),,0,0.00,3656,2011
1,Sidewalk Menu,N GREENVIEW AVE W CHICAGO AV (800 N) W CHESTNUT ST (900 N),,0,0.00,3437,2011
