ward,type,location,estcost,year
1,Alley Apron Menu,1546 N ARTESIAN AVE,10389.90,2016
1,Alley Apron Menu,2347 W IOWA ST,12932.69,2016
1,Alley Resurfacing Menu,1819 N FAIRFIELD AVE,25114.90,2016
1,Alley Resurfacing Menu,N NOBLE ST & W OHIO ST & N ADA ST & W GRAND AVE,49194.36,2016
1,Alley Resurfacing Menu,W IOWA ST & N WOLCOTT AVE & W RICE ST & N WOOD ST,37684.64,2016
1,Alley Speed Hump Menu,2351 W ALTGELD ST,1400.00,2016
1,Alley Speed Hump Menu,1914 W POTOMAC AVE,700.00,2016
1,Alley Speed Hump Menu,1319 N BELL AVE,700.00,2016
1,Alley Speed Hump Replacement,1819 N FAIRFIELD AVE,0.00,2016
1,Bike Lane/Marked Shared Lane Menu,ON N ROCKWELL ST FROM W DIVISION ST (1200 N) TO W LOGAN BLVD N (2600 N), 50000.00,2016
1,Bollard Menu,2412 W MOFFAT ST,1724.04,2016
1,Concrete Alley Menu,N TALMAN AVE & W LYNDALE ST & N WASHTENAW AVE & N MILWAUKEE AVE, 258000.00,2016
1,Curb & Gutter Menu,2521 W NORTH AVE,4088.75,2016
1,High Definition Camera Menu,2536 W CORTLAND ST,27011.00,2016
1,High Definition Camera Menu,1861 N ALBANY AVE,27011.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,W DIVISION ST & N WOLCOTT AVE, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,W DIVISION ST & N PAULINA ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W LE MOYNE ST, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EVERGREEN AVE, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W HURON ST, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W SHAKESPEARE AVE, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W PALMER ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W ALTGELD ST, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N MILWAUKEE AVE & N HONORE ST, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N HOYNE AVE & W DIVISION ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,W MEDILL AVE & N MILWAUKEE AVE, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,W ARMITAGE AVE & N FAIRFIELD AVE, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N PAULINA ST & W AUGUSTA BLVD, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N HOYNE AVE & W CHICAGO AVE, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,W DIVISION ST & N PAULINA ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W LE MOYNE ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EVERGREEN AVE, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W HURON ST, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W SHAKESPEARE AVE, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W ALTGELD ST, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W PALMER ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,W MEDILL AVE & N MILWAUKEE AVE, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N PAULINA ST & W AUGUSTA BLVD, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,W DIVISION ST & N PAULINA ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W SHAKESPEARE AVE, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W PALMER ST, 350.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N MILWAUKEE AVE & N HONORE ST, 600.00,2016
1,In-Road State Law Stop For Pedestrians Signs Menu,N CALIFORNIA AVE & W SHAKESPEARE AVE, 350.00,2016
1,Miscellaneous CDOT Projects,ON N WOOD ST FROM W AUGUSTA BLVD (1000 N) TO W HUBBARD ST (440 N), 9941.09,2016
1,Pavement Markings Menu,N KIMBALL AVE & W BLOOMINGDALE AVE,150.00,2016
1,Sidewalk Menu,2835 W FULLERTON AVE,7858.34,2016
1,Sidewalk Menu,1847 N FRANCISCO AVE,1338.70,2016
1,Sidewalk Menu,2315 N MILWAUKEE AVE,8742.50,2016
1,Sidewalk Menu,2357-2361 N MILWAUKEE AVE,11434.57,2016
1,Sidewalk Menu,1757-1759 N TALMAN AVE,6518.98,2016
1,Sidewalk Menu,905 N WOOD ST,4107.82,2016
1,Sidewalk Menu,2112 N MAPLEWOOD AVE,801.46,2016
1,Sidewalk Menu,1455-1459 N FAIRFIELD AVE,5836.88,2016
1,Sidewalk Menu,1821 W THOMAS ST,2815.13,2016
1,Sidewalk Menu,1113 N HERMITAGE AVE:1107 N HERMITAGE AVE,887.88,2016
1,Sidewalk Menu,532 N BISHOP ST,14004.96,2016
1,Sidewalk Menu,1500 W OHIO ST,13293.87,2016
1,Sidewalk Menu,530 N MARSHFIELD AVE,3895.17,2016
1,Sidewalk Menu,2200 W SUPERIOR ST,3056.81,2016
1,Sidewalk Menu,905 N WOOD ST,3255.91,2016
1,Street Cul-de-Sac Menu,2639 W HIRSCH ST,29105.81,2016
1,Street Light Pole POD Camera Menu,1861 N ALBANY AVE,3500.00,2016
1,Street Light Upgrade Menu,2723 W HADDON AVE,5000.00,2016
1,Street Resurfacing Menu (1-5),ON W HURON ST FROM N WILLARD CT (1226 W) TO N ELIZABETH ST (1232 W), 38627.71,2016
1,Street Resurfacing Menu (1-5),ON N LEAVITT ST FROM W HURON ST (700 N) TO W SUPERIOR ST (730 N), 24541.35,2016
1,Street Resurfacing Menu (1-5),ON N STAVE ST FROM W FRANCIS PL (2100 N) TO N CALIFORNIA AVE (2160 N), 75606.69,2016
1,Street Resurfacing Menu (1-5),ON N NOBLE ST FROM W GRAND AVE (500 N) TO W ERIE ST (630 N),58819.69,2016
1,Street Resurfacing Menu (1-5),ON N OAKLEY AVE FROM W ERIE ST (640 N) TO W SUPERIOR ST (730 N),53063.39,2016
1,Street Resurfacing Menu,ON N WOLCOTT AVE FROM W THOMAS ST (1100 N) TO W DIVISION ST (1200 N), 40006.73,2016
1,Street Resurfacing Menu,ON W PEARSON ST FROM N PAULINA ST (1700 W) TO N HERMITAGE AVE (1740 W), 28771.49,2016
1,Street Resurfacing Menu,ON N HONORE ST FROM W THOMAS ST (1100 N) TO W HADDON AVE (1130 N), 21504.56,2016
1,Street Resurfacing Menu,ON N HONORE ST FROM W AUGUSTA BLVD (1000 N) TO W THOMAS ST (1100 N), 36044.44,2016
1,Street Resurfacing Menu,ON W MEDILL AVE FROM N MILWAUKEE AVE (2840 W) TO N SACRAMENTO AVE (3000 W), 57412.82,2016
1,Street Resurfacing Menu,N HERMITAGE AVE & N MILWAUKEE AVE,7919.53,2016
1,Street Resurfacing Menu,ON N ARTESIAN AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N), 53375.53,2016
1,Street Resurfacing Menu,ON W WABANSIA AVE FROM N ROCKWELL ST (2600 W) TO N TALMAN AVE (2630 W), 19928.09,2016
1,Street Resurfacing Menu,ON N CLAREMONT AVE FROM W HIRSCH ST (1400 N) TO W LE MOYNE ST (1500 N), 60687.27,2016
1,Street Resurfacing Menu,ON N LEAVITT ST FROM W CHICAGO AVE (800 N) TO W SUPERIOR ST (730 N), 31799.88,2016
1,Street Resurfacing Menu,ON W ERIE ST FROM N DAMEN AVE (2000 W) TO N WOLCOTT AVE (1900 W), 37393.66,2016
1,Street Speed Hump Menu,ON N MOZART ST FROM W BLOOMINGDALE AVE (1800 N) TO W CORTLAND ST (1900 N), 3700.00,2016
1,Street Speed Hump Replacement,ON N WOLCOTT AVE FROM W THOMAS ST (1100 N) TO W DIVISION ST (1200 N), 0.00,2016
1,Street Speed Hump Replacement,ON W HURON ST FROM N WILLARD CT (1226 W) TO N ELIZABETH ST (1232 W), 0.00,2016
1,Street Speed Hump Replacement,ON N HONORE ST FROM W THOMAS ST (1100 N) TO W HADDON AVE (1130 N), 0.00,2016
1,Street Speed Hump Replacement,ON N HONORE ST FROM W AUGUSTA BLVD (1000 N) TO W THOMAS ST (1100 N), 0.00,2016
1,Street Speed Hump Replacement,ON N CLAREMONT AVE FROM W HIRSCH ST (1400 N) TO W LE MOYNE ST (1500 N), 0.00,2016
1,Street Speed Hump Replacement,ON N CLAREMONT AVE FROM W HIRSCH ST (1400 N) TO W POTOMAC AVE (1300 N), 0.00,2016
1,Traffic New Signals,W CHICAGO AVE & N HOYNE AVE,0.00,2016
1,Viaduct Improvement Menu,N WESTERN AVE & W LOGAN BLVD,16000.00,2016
2,Alley Speed Hump Replacement,W OAK ST & N STATE ST & W MAPLE ST & N DEARBORN ST,0.00,2016
2,Alley Speed Hump Replacement,W THOMAS ST & N WINCHESTER AVE & W DIVISION ST & N WOLCOTT AVE, 0.00,2016
2,Alley Speed Hump Replacement,W PIERCE AVE & N ASHLAND AVE & W LE MOYNE ST & N PAULINA ST,0.00,2016
2,Alley Speed Hump Replacement,N PAULINA ST & W NORTH AVE & N WOOD ST & W PIERCE AVE,0.00,2016
2,Alley Speed Hump Replacement,N RACINE AVE & W DICKENS AVE & N MAGNOLIA AVE & N CLYBOURN AVE, 0.00,2016
2,Alley Apron Menu,1622 N NORTH PARK AVE,8701.34,2016
2,Alley Apron Menu,2151 W LE MOYNE ST,9174.78,2016
2,Alley Resurfacing Menu (1-1),W THOMAS ST & N WINCHESTER AVE & W DIVISION ST & N WOLCOTT AVE, 37800.20,2016
2,Alley Resurfacing Menu,W WABANSIA AVE & N ELSTON AVE & W WILLOW ST & N THROOP ST,18543.98,2016
2,Alley Resurfacing Menu,W OAK ST & N STATE ST & W MAPLE ST & N DEARBORN ST,17893.94,2016
2,Alley Resurfacing Menu,W OAK ST & N DEARBORN ST & W MAPLE ST & N CLARK ST,11742.82,2016
2,Alley Resurfacing Menu,W PIERCE AVE & N ASHLAND AVE & W LE MOYNE ST & N PAULINA ST,36217.06,2016
2,Alley Resurfacing Menu,N PAULINA ST & W NORTH AVE & N WOOD ST & W PIERCE AVE,48837.20,2016
2,Alley Resurfacing Menu,N RACINE AVE & W DICKENS AVE & N MAGNOLIA AVE & N CLYBOURN AVE, 18120.77,2016
2,Alley Speed Hump Menu,N BURLING ST & W WILLOW ST & N ORCHARD ST & W NORTH AVE,3500.00,2016
2,Concrete Alley Menu,W GOETHE ST & N STATE PKWY & W DIVISION ST & N DEARBORN ST,283000.00,2016
2,Curb & Gutter Menu,W NORTH AVE & N HOYNE AVE,1109.23,2016
2,Curb & Gutter Menu,151 E CHICAGO AVE,2687.20,2016
2,Floodlight Menu,N CLARK ST & W HURON ST,1200.00,2016
2,High Definition Camera Menu,N STATE ST & W PEARSON ST:W LE MOYNE ST & N LEAVITT ST:140 W DIVISION ST, 81033.00,2016
2,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W IOWA ST, 600.00,2016
2,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W IOWA ST, 600.00,2016
2,In-Road State Law Stop For Pedestrians Signs Menu,176 E CHESTNUT ST, 350.00,2016
2,In-Road State Law Stop For Pedestrians Signs Menu,176 E CHESTNUT ST, 350.00,2016
2,Miscellaneous CDOT Projects,N ASHLAND AVE & W THOMAS ST & N MILWAUKEE AVE & W CORTEZ ST,5900.00,2016
2,Pedestrian Countdown Signal Menu,E DIVISION ST & N LAKE SHORE DR,5000.00,2016
2,Sidewalk Menu,ON W OAK ST FROM N WELLS ST (200 W) TO N LA SALLE DR (140 W),9500.68,2016
2,Sidewalk Menu,ON N WELLS ST FROM W OAK ST (1000 N) TO W HILL ST (1100 N),10571.74,2016
2,Sidewalk Menu,ON W OAK ST FROM N WELLS ST (200 W) TO N LA SALLE DR (140 W),3596.72,2016
2,Street Light Upgrade Menu,161 W SCHILLER ST,450.00,2016
2,Street Resurfacing Menu (1-5),ON N MARCEY ST FROM W WILLOW ST (1700 N) TO N SHEFFIELD AVE (1634 N), 29606.14,2016
2,Street Resurfacing Menu (1-5),ON N NOBLE ST FROM W CRYSTAL ST (1240 N) TO W BLACKHAWK ST (1400 N), 112213.74,2016
2,Street Resurfacing Menu (1-5),ON W WALTON ST FROM N GREENVIEW AVE (1500 W) TO N NOBLE ST (1400 W), 54520.18,2016
2,Street Resurfacing Menu,ON W WILLOW ST FROM N CLYBOURN AVE (1000 W) TO N KINGSBURY ST (1100 W), 32536.65,2016
2,Street Resurfacing Menu,ON W LE MOYNE ST FROM N GREENVIEW AVE (1500 W) TO N ASHLAND AVE (1600 W), 82366.93,2016
2,Street Resurfacing Menu,ON W ELM ST FROM N STATE ST (1 E) TO N DEARBORN ST (36 W),26064.99,2016
2,Street Resurfacing Menu,ON W HADDON AVE FROM N DAMEN AVE (2000 W) TO N LEAVITT ST (2200 W), 99502.44,2016
2,Street Resurfacing Menu,ON N NOBLE ST FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N), 38915.55,2016
2,Street Resurfacing Menu,ON W MAPLE ST FROM N CLARK ST (100 W) TO N LA SALLE DR (140 W),30558.80,2016
2,Street Resurfacing Menu,ON N MIES VAN DER ROHE WAY FROM E CHESTNUT ST (860 N) TO E PEARSON ST (830 N), 18222.82,2016
2,Street Resurfacing Menu,ON N OAKLEY AVE FROM W CHICAGO AVE (800 N) TO W RICE ST (830 N),20955.19,2016
2,Street Resurfacing Menu,ON N LEAVITT ST FROM W AUGUSTA BLVD (1000 N) TO W CORTEZ ST (1030 N), 29135.87,2016
2,Street Resurfacing Menu,ON N WAYNE AVE FROM W WEBSTER AVE (2200 N) TO N CLYBOURN AVE (2150 N), 39611.99,2016
2,Street Resurfacing Menu,ON N HONORE ST FROM W AUGUSTA BLVD (1000 N) TO W THOMAS ST (1100 N), 36044.44,2016
2,Street Resurfacing Menu,ON N LAKEWOOD AVE FROM W DICKENS AVE (2100 N) TO W WEBSTER AVE (2200 N), 52504.91,2016
2,Street Speed Hump Menu,ON N GREENVIEW AVE FROM W ALTGELD ST (2500 N) TO W WRIGHTWOOD AVE (2600 N), 758.65,2016
2,Street Speed Hump Replacement,ON W HADDON AVE FROM N LEAVITT ST (2200 W) TO N DAMEN AVE (2000 W), 0.00,2016
2,Street Speed Hump Replacement,ON W WALTON ST FROM N GREENVIEW AVE (1500 W) TO N NOBLE ST (1400 W), 0.00,2016
2,Street Speed Hump Replacement,ON N NOBLE ST FROM W CRYSTAL ST (1240 N) TO W BLACKHAWK ST (1400 N), 0.00,2016
2,Street Speed Hump Replacement,ON N LAKEWOOD AVE FROM W DICKENS AVE (2100 N) TO W WEBSTER AVE (2200 N), 0.00,2016
2,Street Speed Hump Replacement,ON N HONORE ST FROM W AUGUSTA BLVD (1000 N) TO W THOMAS ST (1100 N), 0.00,2016
2,Street Speed Hump Replacement,ON N LEAVITT ST FROM W AUGUSTA BLVD (1000 N) TO W CORTEZ ST (1030 N), 0.00,2016
3,Alley Speed Hump Replacement,1301 S WABASH AVE,0.00,2016
3,Alley Resurfacing Menu (1-1),3745-3751 S MICHIGAN AVE,40221.08,2016
3,Alley Resurfacing Menu,3800 S DR MARTIN LUTHER KING JR DR,17830.75,2016
3,Alley Resurfacing Menu,5001-5013 S DR MARTIN LUTHER KING JR DR,31225.43,2016
3,Alley Resurfacing Menu,W SWANN ST & S SHIELDS AVE & W 47TH ST & S NORMAL AVE,22202.76,2016
3,Alley Resurfacing Menu,1301 S WABASH AVE,13179.11,2016
3,Alley Resurfacing Menu,E 16TH ST & S WABASH AVE & E 18TH ST & S MICHIGAN AVE,51464.27,2016
3,Alley Resurfacing Menu,5001-5013 S DR MARTIN LUTHER KING JR DR,4828.92,2016
3,Alley Speed Hump Menu,S INDIANA AVE & E 16TH ST & S MICHIGAN AVE & E 18TH ST,700.00,2016
3,Alley Speed Hump Replacement,E 16TH ST & S WABASH AVE & E 18TH ST & S MICHIGAN AVE,0.00,2016
3,Concrete Alley Menu,E 18TH ST & S PRAIRIE AVE & E CULLERTON ST & S CALUMET AVE,54773.00,2016
3,Concrete Alley Menu,2222 S MICHIGAN AVE,285000.00,2016
3,Miscellaneous CDOT Projects,ON S MICHIGAN AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S):ON E 46TH ST FROM S WABASH AVE (50 E) TO S MICHIGAN AVE (100 E), 140000.00,2016
3,Miscellaneous CDOT Projects,5433 S MICHIGAN AVE,342.24,2016
3,Miscellaneous CDOT Projects,3900-3920 S FEDERAL ST,470.48,2016
3,Miscellaneous CDOT Projects,S INDIANA AVE & E 35TH ST,3600.00,2016
3,Miscellaneous CDOT Projects,3500 S MICHIGAN AVE,1800.00,2016
3,Pavement Markings Menu,S MICHIGAN AVE & E 16TH ST,800.00,2016
3,Pedestrian Refuge Island Menu,S STATE ST & E 13TH ST,10057.00,2016
3,Sidewalk Menu,ON W 16TH ST FROM S CLARK ST (100 W) TO S DEARBORN ST (36 W),36102.66,2016
3,Sidewalk Menu,ON S ARCHER AVE FROM S STATE ST (1900 S) TO S DEARBORN ST (1940 S), 40365.76,2016
3,Sidewalk Menu,4839-4841 S PRAIRIE AVE,9832.82,2016
3,Sidewalk Menu,ON W 40TH PL FROM S DEARBORN ST (36 W) TO S FEDERAL ST (60 W),4883.61,2016
3,Sidewalk Menu,4030-4036 S WABASH AVE,15052.56,2016
3,Street Light Pole Painting Menu,ON E 51ST ST FROM S DR MARTIN LUTHER KING JR DR E (400 E) TO S STATE ST (0 E), 26250.00,2016
3,Street Light Upgrade Menu,ON S PRAIRIE AVE FROM E 49TH ST (4900 S) TO E 51ST ST (5100 S),3200.00,2016
3,Street Light Upgrade Menu,ON E 18TH ST FROM S CLARK ST (120 W) TO S CALUMET AVE (334 E),13500.00,2016
3,Street Resurfacing Menu (1-5),ON E 44TH ST FROM S DR MARTIN LUTHER KING JR DR (380 E) TO S ST LAWRENCE AVE (600 E), 91719.24,2016
3,Street Resurfacing Menu (1-5),S PLYMOUTH CT & W 14TH ST,33647.59,2016
3,Street Resurfacing Menu (1-5),ON W 43RD PL FROM S SHIELDS AVE (330 W) TO S PRINCETON AVE (300 W), 20620.75,2016
3,Street Resurfacing Menu,ON S ST LAWRENCE AVE FROM E 45TH ST (4500 S) TO E 46TH ST (4600 S), 77539.91,2016
3,Street Resurfacing Menu,ON E 45TH ST FROM S PRINCETON AVE (300 W) TO S STEWART AVE (400 W), 90548.95,2016
3,Street Resurfacing Menu,ON S WELLS ST FROM W 45TH PL (4530 S) TO W 46TH ST (4600 S),48512.11,2016
3,Street Resurfacing Menu,ON E 32ND ST FROM S MICHIGAN AVE (100 E) TO S INDIANA AVE (200 E), 35193.59,2016
3,Street Resurfacing Menu,ON E 41ST ST FROM S DR MARTIN LUTHER KING JR DR E (400 E) TO S VINCENNES AVE (499 E), 74625.74,2016
3,Street Speed Hump Menu,ON S CALUMET AVE FROM E 35TH ST (3500 S) TO E 37TH ST (3700 S),7400.00,2016
3,Street Speed Hump Menu,ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 51ST ST (5100 S),9250.00,2016
3,Street Speed Hump Replacement,ON E 41ST ST FROM S DR MARTIN LUTHER KING JR DR E (400 E) TO S VINCENNES AVE (499 E), 0.00,2016
3,Street Speed Hump Replacement,ON E 44TH ST FROM S DR MARTIN LUTHER KING JR DR (380 E) TO S ST LAWRENCE AVE (600 E), 0.00,2016
3,Street Speed Hump Replacement,ON S WELLS ST FROM W 45TH PL (4530 S) TO W 46TH ST (4600 S),0.00,2016
3,Traffic Signal Miscellaneous Menu,4334 S DR MARTIN LUTHER KING JR DR,342.24,2016
3,Traffic Signal Miscellaneous Menu,5330 S CALUMET AVE,342.24,2016
3,Traffic Signal Miscellaneous Menu,5433 S MICHIGAN AVE:3900-3920 S FEDERAL ST,813.00,2016
3,Traffic Signal Miscellaneous Menu,5338 S CALUMET AVE,710.80,2016
3,Traffic Signal Miscellaneous Menu,5342 S CALUMET AVE,350.32,2016
3,Traffic Signal Miscellaneous Menu,5354 S CALUMET AVE,350.32,2016
3,Traffic Signal Miscellaneous Menu,5405 S PRINCETON AVE,350.32,2016
4,Alley Speed Hump Replacement,W CONGRESS PKWY & S CLARK ST & W HARRISON ST & S FEDERAL ST,0.00,2016
4,Alley Apron Menu,4714 S EVANS AVE,20929.68,2016
4,Alley Resurfacing Menu (1-1),W CONGRESS PKWY & S CLARK ST & W HARRISON ST & S FEDERAL ST,24534.15,2016
4,Alley Resurfacing Menu,3932 S LAKE PARK AVE,11296.44,2016
