ward,total,year
01,"1,260,000",2005
02,"1,200,000",2005
03,"1,175,759",2005
04,"1,320,000",2005
05,"1,199,437",2005
06,"1,199,606",2005
07,"1,259,637",2005
08,"1,259,999",2005
09,"1,198,376",2005
10,"1,246,881",2005
11,"1,199,999",2005
12,"1,191,236",2005
13,"1,198,214",2005
14,"1,199,999",2005
15,"1,313,814",2005
16,"1,195,485",2005
17,"1,197,590",2005
18,"1,258,971",2005
19,"1,199,999",2005
20,"1,152,330",2005
21,"1,199,642",2005
22,"446,050",2005
23,"1,200,000",2005
24,"1,319,978",2005
25,"1,319,999",2005
26,"1,199,999",2005
27,"1,194,088",2005
28,"1,200,000",2005
29,"1,320,000",2005
30,"1,192,846",2005
31,"1,199,497",2005
32,"1,200,000",2005
33,"1,197,706",2005
34,"1,199,988",2005
35,"1,311,640",2005
36,"1,199,413",2005
37,"1,196,483",2005
38,"1,319,617",2005
39,"1,199,999",2005
40,"1,200,000",2005
41,"1,319,999",2005
42,"1,092,321",2005
43,"1,200,000",2005
44,"1,197,516",2005
45,"1,320,000",2005
46,"1,294,999",2005
47,"1,320,000",2005
48,"1,319,999",2005
49,"1,320,000",2005
50,"1,199,999",2005
01,"1,440,000",2006
02,"1,439,884",2006
03,"1,320,000",2006
04,"1,439,882",2006
05,"1,319,873",2006
06,"1,439,390",2006
07,"1,317,867",2006
08,"1,379,690",2006
09,"1,439,996",2006
10,"1,439,715",2006
11,"1,319,799",2006
12,"1,319,580",2006
13,"1,440,000",2006
14,"1,319,131",2006
15,"1,318,553",2006
16,"1,319,379",2006
17,"1,439,969",2006
18,"1,319,515",2006
19,"1,320,000",2006
20,"1,431,951",2006
21,"1,319,738",2006
22,"50,000",2006
23,"1,320,000",2006
24,"1,439,999",2006
25,"1,439,999",2006
26,"1,435,499",2006
27,"1,319,509",2006
28,"1,311,521",2006
29,"1,440,000",2006
30,"1,318,338",2006
31,"1,319,576",2006
32,"1,319,999",2006
33,"1,320,000",2006
34,"1,319,999",2006
35,"1,438,176",2006
36,"1,439,094",2006
37,"1,430,638",2006
38,"1,439,039",2006
39,"1,439,546",2006
40,"1,440,000",2006
41,"1,440,000",2006
42,"1,230,301",2006
43,"1,440,000",2006
44,"1,318,938",2006
45,"1,440,000",2006
46,"1,380,000",2006
47,"1,440,000",2006
48,"1,420,308",2006
49,"1,439,960",2006
50,"1,320,000",2006
01,"1,440,000",2007
02,"1,435,320",2007
03,"1,320,000",2007
04,"1,439,803",2007
05,"1,439,115",2007
06,"1,319,307",2007
07,"1,319,689",2007
08,"1,318,955",2007
09,"1,319,999",2007
10,"1,439,930",2007
11,"1,319,999",2007
12,"1,319,938",2007
13,"1,319,858",2007
14,"1,319,530",2007
15,"1,439,999",2007
16,"1,439,917",2007
17,"1,319,999",2007
18,"1,319,781",2007
19,"1,319,999",2007
20,"1,318,531",2007
21,"1,319,516",2007
22,"1,217,803",2007
23,"1,439,962",2007
24,"1,439,239",2007
25,"1,440,000",2007
26,"1,320,000",2007
27,"1,438,895",2007
28,"1,320,000",2007
29,"1,440,000",2007
30,"1,319,760",2007
31,"1,319,043",2007
32,"1,319,863",2007
33,"1,315,982",2007
34,"1,320,000",2007
35,"1,319,976",2007
36,"1,438,221",2007
37,"1,439,900",2007
38,"1,439,627",2007
39,"1,319,772",2007
40,"1,440,000",2007
41,"1,320,000",2007
42,"1,439,846",2007
43,"1,439,655",2007
44,"1,320,000",2007
45,"1,439,999",2007
46,"1,439,999",2007
47,"1,440,000",2007
48,"1,429,975",2007
49,"1,439,503",2007
50,"1,320,000",2007
01,"1,440,000",2008
02,"1,440,000",2008
03,"1,439,999",2008
04,"1,439,999",2008
05,"1,319,931",2008
06,"1,319,999",2008
07,"1,319,999",2008
08,"1,319,999",2008
09,"1,439,999",2008
10,"1,439,999",2008
11,"1,319,999",2008
12,"1,319,999",2008
13,"1,320,000",2008
14,"1,440,000",2008
15,"1,319,815",2008
16,"1,440,000",2008
17,"1,439,706",2008
18,"1,440,000",2008
19,"1,320,000",2008
20,"1,320,000",2008
21,"1,440,000",2008
22,"1,319,999",2008
23,"1,439,999",2008
24,"1,440,000",2008
25,"1,319,999",2008
26,"1,320,000",2008
27,"1,319,974",2008
28,"1,320,000",2008
29,"1,439,999",2008
30,"1,320,000",2008
31,"1,320,000",2008
32,"1,319,999",2008
33,"1,440,000",2008
34,"1,320,000",2008
35,"1,320,000",2008
36,"1,440,000",2008
37,"1,439,999",2008
38,"1,440,000",2008
39,"1,355,999",2008
40,"1,319,999",2008
41,"1,439,999",2008
42,"1,319,999",2008
