ward,year,off_menu,on_menu,beauty,not_beauty
1,2005,262950,997052,169000,1091002
1,2006,38295,1401706,NA,1440001
1,2007,314100,1125899,302000,1137999
1,2008,795569,644431,145000,1295000
1,2009,58761,1261238,NA,1319999
1,2010,803153,516847,200000,1120000
1,2011,189780,1130220,NA,1320000
1,2012,705155,614844,616000,703999
1,2013,605741,714259,450000,870000
1,2014,405167,914832,350000,969999
1,2015,600659,719341,535000,785000
1,2016,9941.09,1310058.9,NA,1319999.99
1,2017,117645,1202354.3,199300,1120699.3
1,2018,620100,699899.99,568513.27,751486.72
1,2019,30431.35,1237038.64,250000,1017469.99
1,2020,0,1212440.55,50000,1162440.55
1,2021,325100.49,1174899.5,348506.88,1151493.11
1,2022,0,1212440.55,50000,1162440.55
10,2005,0,1246880,NA,1246880
10,2006,639173,800542,NA,1439715
10,2007,284938,1154993,NA,1439931
10,2008,132516,1307482,NA,1439998
10,2009,65000,1255000,NA,1320000
10,2010,109500,1210500,89500,1230500
10,2011,0,1319688,NA,1319688
10,2012,0,1319940,NA,1319940
10,2013,2050,1317947,3000,1316997
10,2014,1300,1316845,NA,1318145
10,2015,0,1320002,NA,1320002
10,2016,325000,994999.98,250000,1069999.98
10,2017,12620,1307379.99,10000,1309999.99
10,2018,160000,1159983,190000,1129983
10,2019,0,1319979,NA,1319979
10,2020,10000,1309303.97,NA,1319303.97
10,2021,1320,1498679.99,NA,1499999.99
10,2022,10000,1309303.97,NA,1319303.97
11,2005,0,1199999,NA,1199999
11,2006,55769,1264031,NA,1319800
11,2007,46742,1273256,NA,1319998
11,2008,96,1319903,NA,1319999
11,2009,41980,1278018,NA,1319998
11,2010,9561,1310438,NA,1319999
11,2011,0,1319843,NA,1319843
11,2012,0,1319999,NA,1319999
11,2013,1318,1318680,NA,1319998
11,2014,1732,1318159,NA,1319891
11,2015,700,1319301,NA,1320001
11,2016,671.1,1319328.89,NA,1319999.99
11,2017,16828.9,1303171.09,10000,1309999.99
11,2018,0,1319999.99,NA,1319999.99
11,2019,48909.65,1271090.34,NA,1319999.99
11,2020,0,1314276.14,NA,1314276.14
11,2021,178838.28,1321161.71,172829,1327170.99
11,2022,0,1314276.14,NA,1314276.14
12,2005,21200,1170037,NA,1191237
12,2006,18368,1301212,NA,1319580
12,2007,0,1319939,NA,1319939
12,2008,143195,1176806,NA,1320001
12,2009,27104,1292895,NA,1319999
12,2010,35075,1284927,NA,1320002
12,2011,0,1318927,NA,1318927
12,2012,1285,1318615,NA,1319900
12,2013,905,1313095,NA,1314000
12,2014,39647,1280190,NA,1319837
12,2015,250000,1069946,250000,1069946
12,2016,3492.55,1316507.44,NA,1319999.99
12,2017,10000,1309999.99,190000,1129999.99
12,2018,0,1319999.99,NA,1319999.99
12,2019,1800,1318199.99,NA,1319999.99
12,2020,0,1041759.69,NA,1041759.69
12,2021,0,1499999.99,NA,1499999.99
12,2022,0,1041759.69,NA,1041759.69
13,2005,281178,917035,5000,1193213
13,2006,5777,1434221,NA,1439998
13,2007,109497,1210363,NA,1319860
13,2008,6900,1313099,NA,1319999
13,2009,0,1320000,NA,1320000
13,2010,0,1319999,NA,1319999
13,2011,162510,1156532,150000,1169042
13,2012,180410,1139590,150000,1170000
13,2013,308816,1011184,300000,1020000
13,2014,21371,1298436,NA,1319807
13,2015,115000,1204998,115000,1204998
13,2016,102746.73,1217253.25,NA,1319999.98
13,2017,349084.03,970915.96,300000,1019999.99
13,2018,78212.19,1241787.8,75000,1244999.99
13,2019,295500,1019896.02,240000,1075396.02
13,2020,636000,572628.06,625000,583628.06
13,2021,275660,1224339.99,200000,1299999.99
13,2022,636000,572628.06,625000,583628.06
14,2005,222208,977791,NA,1199999
14,2006,965652,353479,NA,1319131
14,2007,418719,849810,NA,1268529
14,2008,0,1440000,NA,1440000
14,2009,206,1319793,NA,1319999
14,2010,192,1319808,NA,1320000
14,2011,5492,1316247,NA,1321739
14,2012,893,1319107,NA,1320000
14,2013,0,1319904,NA,1319904
14,2014,0,1319827,NA,1319827
14,2015,0,1319999,NA,1319999
14,2016,0,1319999.99,NA,1319999.99
14,2017,0,1319999.98,NA,1319999.98
14,2018,660,1319339.99,NA,1319999.99
14,2019,0,1319999.99,NA,1319999.99
14,2020,0,1308221.17,60000,1248221.17
14,2021,761,1499238.99,NA,1499999.99
14,2022,0,1308221.17,60000,1248221.17
15,2005,65400,1248414,NA,1313814
15,2006,0,1318555,NA,1318555
15,2007,0,1440000,NA,1440000
15,2008,53950,1265866,NA,1319816
15,2009,0,1319999,NA,1319999
15,2010,14875,1305124,NA,1319999
15,2011,1044,1318954,NA,1319998
15,2012,0,1319662,3500,1316162
15,2013,814,1319186,NA,1320000
15,2014,0,1319589,NA,1319589
15,2015,600,1319399,NA,1319999
15,2016,0,1319999.98,NA,1319999.98
