"",,,,
"",,,,
BOE,,,,
"",,,,
2011 Ward: 1,,,,
Program: Street Lighting,Desc of Work,Block,s Unit Count,Est. Cost
N HONORE STW AUGUSTA BV (1000 N)W THOM,AS ST (1100 N)Yonan Letter,0,3.00,"$1,200"
N ROCKWELL STN MILWAUKEE AVE,,0,5.00,"$1,750"
Program Total,,0,8.00,"$2,950"
"",,,,
2011 Ward: 1,,,,
Program: Traffic Signals,Desc of Work,Block,s Unit Count,Est. Cost
W DIVISION STN CLEAVER ST,From CDOT Misc. to DEO Menu Group 9/11,/11. 0,1.00,"$12,000"
Program Total,,0,1.00,"$12,000"
"",,,BOE Total:,"$14,95"
CDOT,,,,
"",,,,
2011 Ward: 1,,,,
Program: Alley Apron Menu,Desc of Work,Block,s Unit Count,Est. Cost
N PAULINA STW HADDON AV (1132 N),,0,1.00,"$9,845"
N CLYBOURN AVEN HOYNE AV (2950 N),,0,1.00,"$21,141"
2011 Ward: 1,,,,
Program: Alley Apron Menu,Desc of Work,Block,s Unit Count,Est. Cost
Program Total,,0,2.00,"$30,986"
"",,,,
2011 Ward: 1,,,,
Program: Alley Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
N WASHTENAW AVEN CALIFORNIA AVEW HADD,ON AVEW THOMAS,1,0.00,"$25,449"
ST,,,,
N PAULINA STN MOORMAN STN MILWAUKEE AV,EN PAULINA ST,0,0.00,"$3,768"
N DAMEN AVEN HOYNE AVEW EVERGREEN AVE,W POTOMAC AVE,0,0.00,"$22,456"
Program Total,,1,0.00,"$51,674"
"",,,,
2011 Ward: 1,,,,
Program: Alley Resurface Menu(1),Desc of Work,Block,s Unit Count,Est. Cost
N TALMAN AVEN WASHTENAW AVEW BLOOMIN,GDALE AVEW,1,0.00,"$28,110"
WABANSIA AVE,,,,
Program Total,,1,0.00,"$28,110"
"",,,,
2011 Ward: 1,,,,
Program: Alley Speed Hump Menu,Desc of Work,Block,s Unit Count,Est. Cost
N OAKLEY AVEN CAMPBELL AVEW HIRSCH ST,W POTOMAC AVE,0,0.00,$700
N ASHLAND AVEN PAULINA STW DIVISION ST,N MILWAUKEE AVE,0,0.00,"$2,200"
Program Total,,0,0.00,"$2,900"
2011 Ward: 1,,,,
Program: Bollard Menu,Desc of Work,Block,s Unit Count,Est. Cost
N ASHLAND AVEW CHICAGO AV (800 N),,0,1.00,"$2,661"
Program Total,,0,1.00,"$2,661"
"",,,,
2011 Ward: 1,,,,
Program: Curb/Gutter Menu,Desc of Work,Block,s Unit Count,Est. Cost
W SHAKESPEARE AVEN CAMPBELL AV (2450 W)N,MAPLEWOOD AV,0,0.00,"$23,972"
"(2535 W)",,,,
N PAULINA STW HADDON AV (1132 N)W AUGUST,A BV (1000 N),0,0.00,"$70,289"
N WESTERN AVEW ST PAUL AV (1740 N)W BLOOM,INGDALE AV (1800 N),0,0.00,"$4,948"
Program Total,,0,0.00,"$99,209"
"",,,,
2011 Ward: 1,,,,
Program: Curb/Gutter Menu - Change Order,Desc of Work,Block,s Unit Count,Est. Cost
N WESTERN AVEW BLOOMINGDALE AV (1800 N),W ST PAUL AV (1740 PM: John Cecchin - 2011 funds,0,0.00,"$1,651"
N),,,,
Program Total,,0,0.00,"$1,651"
"",,,,
2011 Ward: 1,,,,
Program: In-Road State Law Stop for Pedestrians S,Desc of Work,Block,s Unit Count,Est. Cost
W PALMER STN CALIFORNIA AVE,,0,0.00,$410
W DIVISION STN WOLCOTT AVE,,0,0.00,$800
W HURON STN DAMEN AVE,,0,0.00,$800
2011 Ward: 1,,,,
Program: In-Road State Law Stop for Pedestrians S,Desc of Work,Block,s Unit Count,Est. Cost
W CHICAGO AVEN HOYNE AVE,,0,0.00,$800
W AUGUSTA BLVDN PAULINA ST,,0,0.00,$800
W LE MOYNE STN DAMEN AVE,,0,0.00,$410
W FULLERTON AVEN OAKLEY AVE,,0,0.00,$800
W DIVISION STN HOYNE AVE,,0,0.00,$410
W DIVISION STN PAULINA ST,,0,0.00,$410
Program Total,,0,0.00,"$5,640"
"",,,,
2011 Ward: 1,,,,
Program: Miscellaneous-CDOT,Desc of Work,Block,s Unit Count,Est. Cost
Clybourn/ Leavitt to Hoyne-alley apron change orde,PM: OC/JC,0,1.00,"$1,488"
Clybourn at Barry/Oakley,PM: MS/KH/MI split w/32nd - primary 1st w,ard only 0,0.00,$800
W CHICAGO AVEN CAMPBELL AVE,PM: MS/SP/MI,0,1.00,$800
Milwaukee/Wood/Wolcott,PM: MS/RP/JA/DL,0,1.00,"$27,000"
Installation of two bike stations,PM: BG - 2012 request - 2011 funds,0,0.00,"$106,000"
W AUGUSTA BLVDN PAULINA ST,PM: MS/BR/MI,0,0.00,$700
Program Total,,0,3.00,"$136,788"
"",,,,
2011 Ward: 1,,,,
Program: Pavement Markings Menu,Desc of Work,Block,s Unit Count,Est. Cost
N DAMEN AVEW GEORGE ST,,0,0.00,"$1,000"
2011 Ward: 1,,,,
Program: Pavement Markings Menu,Desc of Work,Block,s Unit Count,Est. Cost
N MILWAUKEE AVEW FRANCIS PL,,0,0.00,$900
Program Total,,0,0.00,"$1,900"
"",,,,
2011 Ward: 1,,,,
Program: Sidewalk Menu,Desc of Work,Block,s Unit Count,Est. Cost
N PAULINA STN MOORMAN ST (1272 N)N MOORM,AN ST (1272 N),0,0.00,"$10,639"
W PEARSON STN ASHLAND AV (1600 W)N PAULIN,A ST (1700 W),0,0.00,"$33,406"
N HOYNE AVEW HADDON AV (1132 N)W DIVISION,ST (1200 N),0,0.00,"$19,282"
W MOFFAT STN WESTERN AV (2400 W)N CAMPBE,LL AV (2500 W),0,0.00,"$3,656"
N GREENVIEW AVEW CHICAGO AV (800 N)W CHE,STNUT ST (900 N),0,0.00,"$3,437"
W BLOOMINGDALE AVEN FAIRFIELD AV (2732 W),N TALMAN AV (2632,0,0.00,"$15,838"
W),,,,
W HURON STN PAULINA ST (1700 W)N WOOD ST (,1800 W),0,0.00,"$9,604"
N MILWAUKEE AVEW THOMAS ST (1100 N)W HAD,DON AV (1136 N),0,0.00,"$32,672"
W ELLEN STN WOLCOTT AV (1839 W)N MARION C,T (1838 W),0,0.00,"$31,429"
N WASHTENAW AVEW FULLERTON AV (2400 N)W,ALTGELD ST (2500 N),0,0.00,"$1,017"
W SHAKESPEARE AVEN CAMPBELL AV (2450 W)N,MAPLEWOOD AV,0,0.00,"$3,657"
"(2535 W)",,,,
W SUPERIOR STN WOOD ST (1800 W)N WOLCOTT,AV (1900 W),0,0.00,$871
N ASHLAND AVEW CHICAGO AV (800 N)W PEARS,ON ST (840 N),0,0.00,"$80,248"
N MAPLEWOOD AVEW NORTH AV (1600 N)W WAB,ANSIA AV (1700 N),0,0.00,"$33,007"
Program Total,,0,0.00,"$278,763"
"",,,,
2011 Ward: 1,,,,
Program: Sidewalk Menu - Change Order,Desc of Work,Block,s Unit Count,Est. Cost
Paulina - Moorman to Division,PM: John Cecchin - 2011 funds,0,0.00,"$2,541"
N ASHLAND AVEW CHICAGO AV (800 N)W PEA,RSON ST (840 N)PM: OC/JC,0,0.00,"$1,526"
Program Total,,0,0.00,"$4,067"
"",,,,
2011 Ward: 1,,,,
Program: Street Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
W HURON STN WOOD ST (1800 W)N DAMEN AV (2,000 W),2,0.00,"$124,167"
W EVERGREEN AVEN DAMEN AV (2000 W)N HOY,NE AV (2100 W),1,0.00,"$44,361"
N OAKLEY BLVDW HIRSCH ST (1400 N)W LE MOY,NE ST (1500 N),1,0.00,"$44,765"
W FRANCIS PLN STAVE ST (2654 W)N POINT ST (2,722 W),1,0.00,"$56,611"
W CHARLESTON STN WESTERN AV (2400 W)N CA,MPBELL AV (2450 W),1,0.00,"$41,835"
W FRANCIS PLN MILWAUKEE AV (2624 W)N STAV,E ST (2654 W),1,0.00,"$42,423"
W ATTRILL STN MILWAUKEE AV (2675 W)N STAV,E ST (2712 W),1,0.00,"$28,464"
Program Total,,7,0.00,"$382,626"
"",,,,
2011 Ward: 1,,,,
Program: Street Resurface Menu(1-5),Desc of Work,Block,s Unit Count,Est. Cost
W CORTEZ STN ASHLAND AV (1600 W)N PAULINA,ST (1700 W),1,0.00,"$41,139"
W CORTEZ STN PAULINA ST (1700 W)N WOOD ST,(1800 W),1,0.00,"$43,961"
2011 Ward: 1,,,,
Program: Street Resurface Menu(1-5),Desc of Work,Block,s Unit Count,Est. Cost
N POINT STW CHANAY ST (2078 N)W CHANAY ST,(2078 N),1,0.00,"$21,539"
N POINT STW ARMITAGE AV (2000 N)W FRANCIS,PL (2028 N),1,0.00,"$29,986"
N POINT STW FRANCIS PL (2028 N)W CHANAY ST,(2078 N),1,0.00,"$23,409"
Program Total,,4,0.00,"$160,034"
"",,,,
2011 Ward: 1,,,,
Program: Street Speed Hump Menu,Desc of Work,Block,s Unit Count,Est. Cost
N TALMAN AVEN MILWAUKEE AV (2145 N)W FUL,LERTON AV (2400 N),0,1.00,"$3,700"
N CAMPBELL AVEW BELDEN AV (2300 N)W FULL,ERTON AV (2400 N),0,1.00,"$1,850"
W CHARLESTON STN WESTERN AV (2400 W)N CA,MPBELL AV (2450 W),0,1.00,"$1,850"
N HOYNE AVEN LEAVITT ST (2700 N)W DIVERSEY,PW (2800 N),0,1.00,"$9,250"
N BOSWORTH AVEW DIVISION ST (1200 N)W BLA,CKHAWK ST (1400 N),0,2.00,"$9,250"
W OHIO STN WOOD ST (1800 W)N WOLCOTT AV (1,900 W),0,1.00,"$3,700"
W BELDEN AVEN WESTERN AV (2400 W)N MAPLE,WOOD AV (2535 W),0,1.00,"$5,550"
W SUPERIOR STN DAMEN AV (2000 W)N HOYNE A,V (2100 W),0,1.00,"$3,700"
W SUPERIOR STN WOOD ST (1800 W)N WOLCOTT,AV (1900 W),0,1.00,"$3,700"
Program Total,,0,10.00,"$42,550"
"",,,CDOT Total:,"$1,229,55"
Other,,,,
2011 Ward: 1,,,,
Program: Miscellaneous-Other,Desc of Work,Block,s Unit Count,Est. Cost
Fence at City-owned lot at 1421 N. Artesian,,0,0.00,"$2,019"
85 Trees and 53 concrete cut-outs,,0,0.00,"$49,936"
Program Total,,0,0.00,"$51,955"
"",,,,
2011 Ward: 1,,,,
Program: POD Camera,Desc of Work,Block,s Unit Count,Est. Cost
Wicker Park Fieldhouse,,0,0.00,"$22,500"
Program Total,,0,0.00,"$22,500"
"",,,,
2011 Ward: 1,,,,
Program: Schools,Desc of Work,Block,s Unit Count,Est. Cost
LaSalle II Elementary School Playground (TPC = $25,,0,0.00,"$1,037"
Program Total,,0,0.00,"$1,037"
"",,,Other Total:,"$75,49"
2011 Menu Ward:  1,,,,
"","Menu Budget: $1,320,00",0,,
"",Ward Committed Total:,,,
"","$1,320,00",0,,
"",Ward Balance:,,,
"",$,0,,
"",,,,
BOE,,,,
"",,,,
2011 Ward: 2,,,,
Program: Pole Painting,Desc of Work,Block,s Unit Count,Est. Cost
W VAN BUREN STS STATE ST (0 E)S FRANKLIN,ST (300 W),0,9.00,"$32,000"
E SOLIDARITY DRS LYNN WHITE DR (800 E)De,ad End (900 E)700 E. TO 800 E. ONLY,0,20.00,"$6,000"
W MONROE STE KENNEDY ENTR RP (713 W)S D,ESPLAINES ST (640 W),0,7.00,"$3,800"
W MADISON STS RACINE AV (1200 W)S PEORIA,ST (900 W)SOUTH SIDE OF MADISON ONLY,0,33.00,"$9,900"
W TAYLOR STS LOOMIS ST,,0,1.00,"$2,750"
S WELLS STW MADISON ST (0 N)W VAN BUREN,ST (400 S),0,7.00,"$25,000"
S UNION AVES DAN RYAN ENTR RP (1077 S)S D,AN RYAN ENTR RP,0,9.00,"$2,700"
"(1250 S)",,,,
S MICHIGAN AVEE JACKSON DR (300 S)E HARR,ISON ST (600 S),0,21.00,"$27,000"
W 13TH STS ASHLAND AV (1600 W)S PAULINA,ST (1700 W),0,10.00,"$3,000"
W HASTINGS STS ASHLAND AV (1600 W)S PAU,LINA ST (1700 W),0,10.00,"$3,000"
S HALSTED STW VAN BUREN ST,,0,1.00,"$2,750"
W VAN BUREN STS DESPLAINES ST,,0,1.00,"$2,550"
