year,ward,dept,program,category,location,desc,blocks,unit_count,est_cost
2012,1,CDOT: COMM,Alley Resurfacing Menu,Streets/CDOT,N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE & W LE MOYNE ST,,,0.00,"$6,354.00"
2012,1,CDOT: COMM,Alley Speed Hump Menu,Streets/CDOT,N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W IOWA ST,,,0.00,"$2,800.00"
2012,1,CDOT: COMM,Bollard Menu,Streets/CDOT,ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV (2500 W),,,1.00,"$3,150.00"
2012,1,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W MEDILL AV (2334 N),,,0.00,"$19,882.00"
2012,1,CDOT: COMM,Pavement Markings Menu,Streets/CDOT,W CHARLESTON ST & N WESTERN AVE,,,0.00,"$1,000.00"
2012,1,CDOT: COMM,Pavement Markings Menu,Streets/CDOT,W ARMITAGE AVE & N MILWAUKEE AVE,,,0.00,$400.00
2012,1,CDOT: COMM,Pavement Markings Menu,Streets/CDOT,W DIVERSEY PKWY & N ROCKWELL ST,,,0.00,$600.00
2012,1,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N WASHTENAW AV (2720 W),,,0.00,"$11,954.00"
2012,1,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE MOYNE ST (1508 N),,,0.00,"$10,065.00"
2012,1,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N),,,0.00,"$1,594.00"
2012,1,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W CORTLAND ST (1900 N),,,0.50,"$193,749.00"
2012,1,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W ARMITAGE AV (2000 N),,,1.00,"$73,623.00"
2012,1,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End (2726 W),,,1.00,"$10,588.00"
2012,1,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N CLAREMONT AV (2332 W),,,1.00,"$19,195.00"
2012,1,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO N MAPLEWOOD AV (2535 W),,,1.00,"$34,143.00"
2012,1,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO W LYNDALE ST (2236 N),,,1.00,"$47,986.00"
2012,1,CDOT: COMM,Street Speed Hump Menu,Streets/CDOT,ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W NORTH AV (1600 N),,,2.00,"$3,700.00"
2012,1,CDOT: COMM,Street Speed Hump Menu,Streets/CDOT,ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N),,,1.00,"$3,700.00"
2012,1,CDOT: COMM,Street Speed Hump Menu,Streets/CDOT,ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W ALTGELD ST (2500 N),,,1.00,"$3,700.00"
2012,1,CDOT: COMM,Street Speed Hump Menu,Streets/CDOT,ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N WESTERN AV (2400 W),,,2.00,"$3,700.00"
2012,1,CDOT: DEO,Floodlight Menu,Lighting,W POTOMAC AVE & N LEAVITT ST,,,,"$2,500.00"
2012,1,CDOT: DEO,Floodlight Menu,Lighting,N CAMPBELL AVE & W IOWA ST 1266 N MILWAUKEE AVE,,,,$500.00
2012,1,CDOT: DEO,Pedestrian Countdown Signal Menu,Lighting,N WESTERN AVE & W NORTH AVE,,,,"$15,011.00"
2012,1,CDOT: DEO,Street Light Arterial Ornamental Menu,Lighting,W POTOMAC AVE & N LEAVITT ST,,,,"$11,000.00"
2012,1,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO W NORTH AV (1600 N),,,,"$128,000.00"
2012,1,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W THOMAS ST (1100 N),,,,"$1,400.00"
2012,1,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N),,,,$700.00
2012,1,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2104 N),,,,$350.00
2012,1,CDOT: DEO,Street Light Upgrade Menu,Lighting,1300 N LEAVITT ST,,,,$700.00
2012,1,CDOT: DEO,Street Light Upgrade Menu,Lighting,N CAMPBELL AVE & W IOWA ST,,,,$400.00
2012,1,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST (1800 W),,,,"$1,400.00"
2012,1,OBM: ADMIN,Chicago Park District,Parks,Haas Park Field House,,,,"$605,000.00"
2012,1,OBM: ADMIN,School Projects,Schools,Goethe School - Campus Park,,,,"$100,000.00"
2012,1,OBM: ADMIN,School Projects,Schools,"LaSalle II Elementary School - playground )TPC=$25,000 2011-2013 Menu $1,319,999.00 $1.00",,,,$155.00
2012,2,CDOT: COMM,Alley Apron Menu,Streets/CDOT,ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W),,,1.00,"$11,547.00"
2012,2,CDOT: COMM,Alley Apron Menu,Streets/CDOT,ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S),,,1.00,"$11,545.00"
2012,2,CDOT: COMM,Alley Apron Menu,Streets/CDOT,ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S),,,1.00,"$8,268.00"
2012,2,CDOT: COMM,Alley Apron Menu,Streets/CDOT,ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S),,,1.00,"$9,686.00"
2012,2,CDOT: COMM,Alley Resurfacing Menu,Streets/CDOT,W MADISON ST & W MONROE ST & S WESTERN AVE & S CAMPBELL AVE,,,0.00,"$39,539.00"
2012,2,CDOT: COMM,Alley Resurfacing Menu,Streets/CDOT,ON LOOMIS FROM W TAYLOR ST (1000 S) TO W FILLMORE ST (1050 S),,,,"$6,638.00"
2012,2,CDOT: COMM,Alley Resurfacing Menu,Streets/CDOT,S MORGAN ST & S SANGAMON ST & W MONROE ST & W ADAMS ST,,,0.00,"$12,736.00"
2012,2,CDOT: COMM,Alley Resurfacing Menu,Streets/CDOT,S WABASH AVE & S WABASH AVE & E CERMAK RD & E 23RD ST,,,1.00,"$2,981.00"
2012,2,CDOT: COMM,Bollard Menu,Streets/CDOT,ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S),,,1.00,$800.00
