year,ward,dept,program,category,location,desc,blocks,unit_count,est_cost
2021,1,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,1,,1 POD Camera: Noble & Huron (Split w/ Ward 27),Cameras,W HURON ST & N NOBLE ST,,,,"$12,388.00"
2021,1,,"2 LPR on Existing Cameras: 1933 N Milwaukee, 1955 N Damen",Cameras,1933 N MILWAUKEE AVE; 1955 N DAMEN AVE,,,,"$21,942.00"
2021,1,,Alley Resurfacing Menu (2021),Streets/CDOT,1513 W GRAND AVE; W GRAND AVE & N ASHLAND AVE & N ARMOUR ST &,,,,"W HUBBARD ST $26,064.21"
2021,1,,Alley Resurfacing Menu (2021),Streets/CDOT,2346 W ALTGELD ST; W ALTGELD ST & N WESTERN AVE; 2342-2346 W ALT,,,,"GELD ST $15,244.45"
2021,1,,Alley Resurfacing Menu (2021),Streets/CDOT,2524 W MEDILL AVE; W MEDILL AVE & N CAMPBELL AVE & N MAPLEWOODFULLERTON AVE,,,,"AVE &  W$38,165.80"
2021,1,,Alley Resurfacing Menu (2021),Streets/CDOT,910 N HERMITAGE AVE; W AUGUSTA BLVD & N WOOD ST & N HERMITAGE ST,,,,"AVE &  W WALTON$35,933.61"
2021,1,,Alley Resurfacing Menu (2021),Streets/CDOT,N OAKLEY BLVD & W IOWA ST & W RICE ST & N WESTERN AVE; 850 N OAK,,,,"LEY BLVD $65,813.90"
2021,1,,Alley Resurfacing Menu (2021),Streets/CDOT,W RACE AVE & N DAMEN AVE & N WOLCOTT AVE & W GRAND AVE; 1927 W,,,,"RACE AVE $37,511.84"
2021,1,,Alley Speed Hump Replacement (2021),Streets/CDOT,2524 W MEDILL AVE; W MEDILL AVE & N CAMPBELL AVE & N MAPLEWOODFULLERTON AVE,,,,AVE &  W$0.00
2021,1,,Arterial Street Bump Outs Menu (2021),Streets/CDOT,W DIVISION ST & N PAULINA ST,,,,"$24,066.39"
2021,1,,Bike Lane/Marked Shared Lane Menu (2021),Streets/CDOT,ON W ERIE ST FROM N NOBLE ST (1400 W) TO N DAMEN AVE (2000 W),,,,"$45,000.00"
2021,1,,Bike Lane/Marked Shared Lane Menu (2021),Streets/CDOT,ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST,,,,"(2600 W) $30,000.00"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,1219 N WOLCOTT AVE,,,,"$3,527.32"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,1400 N OAKLEY BLVD,,,,"$63,608.37"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,1656 W HURON ST,,,,"$26,598.01"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,1853 N KEDZIE AVE,,,,"$43,251.43"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,2350 W CHARLESTON ST,,,,"$35,063.29"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,2839 W FULLERTON AVE,,,,"$13,921.58"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,ON N MOORMAN ST FROM N HERMITAGE AVE (1270 N) TO N PAULINA ST,,,,"(1300 N) $12,019.95"
2021,1,,Curb & Gutter Menu (2021),Streets/CDOT,ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST,,,,"(2600 W) $16,021.10"
2021,1,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,1,,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2021)",Streets/CDOT,N DAMEN AVE & W HURON ST,,,,"$1,200.00"
2021,1,,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2021)",Streets/CDOT,N DAMEN AVE & W LE MOYNE ST,,,,$600.00
2021,1,,Installation of LED and pedestrian countdown traffic signal at N. California Ave. & W. Armitage Ave.,Lighting,s N CALIFORNIA AVE & W ARMITAGE AVE,,,,"$53,344.00"
2021,1,,LED Traffic Signal Upgrades & Pedestrian Countdown Signal (2021),Lighting,N HUMBOLDT BLVD & W PALMER BLVD,,,,"$50,000.00"
2021,1,,LED Traffic Signal Upgrades & Pedestrian Countdown Signal (2021),Lighting,W ARMITAGE AVE & N KEDZIE AVE,,,,"$50,000.00"
2021,1,,Maplewood Park Field House,Parks,1640 N MAPLEWOOD AVE,,,,"$324,440.49"
2021,1,,Miscellaneous CDOT Projects (2021),Streets/CDOT,2400 S WESTERN AVE,,,,$660.00
