ward,blocks,street_need,alley_blocks,alley_need,ward_need,menu_allocation,subsidy,need_allocation_gap,pct_of_needs
1,400.0,3832240,321.6,1254304,5086544,1320000,360000,3406544,33.0%
2,292.8,2805200,184.0,717637,3522836,1320000,360000,1842836,47.7%
3,524.8,5027899,253.6,989091,6016990,1320000,360000,4336990,27.9%
4,431.2,4131155,146.4,570989,4702144,1320000,360000,3022144,35.7%
5,405.6,3885891,185.6,723877,4609768,1320000,360000,2929768,36.4%
6,621.6,5955301,451.2,1759770,7715071,1320000,360000,6035071,21.8%
7,576.0,5518426,370.4,1444634,6963060,1320000,360000,5283060,24.1%
8,737.6,7066651,530.4,2068666,9135317,1320000,360000,7455317,18.4%
9,822.4,7879085,550.4,2146670,10025756,1320000,360000,8345756,16.8%
10,848.0,8124349,492.0,1918898,10043247,1320000,360000,8363247,16.7%
11,593.6,5687044,312.0,1216862,6903907,1320000,360000,5223907,24.3%
12,412.8,3954872,289.6,1129498,5084370,1320000,360000,3404370,33.0%
13,620.8,5947636,453.6,1769131,7716767,1320000,360000,6036767,21.8%
14,569.6,5457110,376.8,1469595,6926705,1320000,360000,5246705,24.3%
15,375.2,3594641,288.0,1123258,4717899,1320000,360000,3037899,35.6%
16,553.6,5303820,451.2,1759770,7063590,1320000,360000,5383590,23.8%
17,568.8,5449445,416.0,1622483,7071928,1320000,360000,5391928,23.8%
18,752.8,7212276,422.4,1647444,8859720,1320000,360000,7179720,19.0%
19,934.4,8952113,404.8,1578801,10530914,1320000,360000,8850914,16.0%
20,628.0,6016617,424.0,1653685,7670302,1320000,360000,5990302,21.9%
21,728.0,6974677,496.8,1937619,8912296,1320000,360000,7232296,18.9%
22,400.8,3839904,268.0,1045254,4885158,1320000,360000,3205158,34.4%
23,620.8,5947636,419.2,1634964,7582600,1320000,360000,5902600,22.2%
24,468.8,4491385,348.0,1357270,5848655,1320000,360000,4168655,28.7%
25,446.4,4276780,215.2,839323,5116103,1320000,360000,3436103,32.8%
26,352.0,3372371,288.0,1123258,4495629,1320000,360000,2815629,37.4%
27,791.2,7580171,336.8,1313587,8893758,1320000,360000,7213758,18.9%
28,633.6,6070268,396.8,1547599,7617868,1320000,360000,5937868,22.1%
29,575.2,5510761,387.2,1510157,7020919,1320000,360000,5340919,23.9%
30,420.8,4031516,332.0,1294866,5326383,1320000,360000,3646383,31.5%
31,372.8,3571648,291.2,1135738,4707386,1320000,360000,3027386,35.7%
32,424.0,4062174,372.8,1453995,5516169,1320000,360000,3836169,30.5%
33,328.0,3142437,298.4,1163820,4306256,1320000,360000,2626256,39.0%
34,888.0,8507573,677.6,2642776,11150348,1320000,360000,9470348,15.1%
35,309.6,2966154,266.4,1039013,4005167,1320000,360000,2325167,41.9%
36,464.0,4445398,372.0,1450874,5896273,1320000,360000,4216273,28.5%
37,429.6,4115826,360.8,1407192,5523018,1320000,360000,3843018,30.4%
38,632.0,6054939,434.4,1694247,7749186,1320000,360000,6069186,21.7%
39,633.6,6070268,409.6,1597522,7667790,1320000,360000,5987790,21.9%
40,413.6,3962536,312.0,1216862,5179399,1320000,360000,3499399,32.4%
41,850.4,8147342,408.0,1591282,9738624,1320000,360000,8058624,17.3%
42,352.0,3372371,66.4,258973,3631344,1320000,360000,1951344,46.3%
43,279.2,2674904,192.0,748838,3423742,1320000,360000,1743742,49.1%
44,208.0,1992765,176.8,689555,2682320,1320000,360000,1002320,62.6%
45,643.2,6162242,494.4,1928259,8090501,1320000,360000,6410501,20.8%
46,165.6,1586547,80.0,312016,1898563,1320000,360000,218563,88.5%
47,420.8,4031516,349.6,1363510,5395026,1320000,360000,3715026,31.1%
48,180.8,1732172,166.4,648993,2381166,1320000,360000,701166,70.6%
49,230.4,2207370,195.2,761319,2968689,1320000,360000,1288689,56.6%
50,383.2,3671286,304.0,1185661,4856947,1320000,360000,3176947,34.6%
