"Precinct","Candidate","Votecount","Election","Ward","type","year","date"
"1","Matt Martin","122","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"1","Michael A. Negron","84","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"2","Matt Martin","255","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"2","Michael A. Negron","203","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"3","Matt Martin","209","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"3","Michael A. Negron","262","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"4","Matt Martin","203","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"4","Michael A. Negron","225","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"5","Matt Martin","271","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"5","Michael A. Negron","121","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"6","Matt Martin","198","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"6","Michael A. Negron","198","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"7","Matt Martin","187","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"7","Michael A. Negron","130","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"8","Matt Martin","233","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"8","Michael A. Negron","192","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"9","Matt Martin","217","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"9","Michael A. Negron","99","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"10","Matt Martin","293","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"10","Michael A. Negron","152","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"11","Matt Martin","191","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"11","Michael A. Negron","131","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"12","Matt Martin","296","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"12","Michael A. Negron","176","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"13","Matt Martin","242","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"13","Michael A. Negron","128","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"14","Matt Martin","177","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"14","Michael A. Negron","223","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"15","Matt Martin","323","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"15","Michael A. Negron","101","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"16","Matt Martin","261","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"16","Michael A. Negron","165","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"17","Matt Martin","236","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"17","Michael A. Negron","157","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"18","Matt Martin","211","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"18","Michael A. Negron","147","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"19","Matt Martin","352","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"19","Michael A. Negron","120","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"20","Matt Martin","262","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"20","Michael A. Negron","111","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"21","Matt Martin","224","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"21","Michael A. Negron","156","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"22","Matt Martin","335","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"22","Michael A. Negron","123","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"23","Matt Martin","326","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"23","Michael A. Negron","119","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"24","Matt Martin","239","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"24","Michael A. Negron","145","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"25","Matt Martin","247","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"25","Michael A. Negron","179","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"26","Matt Martin","320","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"26","Michael A. Negron","116","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"27","Matt Martin","191","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"27","Michael A. Negron","142","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"28","Matt Martin","256","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"28","Michael A. Negron","147","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"29","Matt Martin","229","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"29","Michael A. Negron","179","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"30","Matt Martin","323","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"30","Michael A. Negron","149","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"31","Matt Martin","225","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"31","Michael A. Negron","133","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"32","Matt Martin","309","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"32","Michael A. Negron","165","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"33","Matt Martin","217","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"33","Michael A. Negron","134","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"34","Matt Martin","304","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"34","Michael A. Negron","114","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"35","Matt Martin","219","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"35","Michael A. Negron","216","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"36","Matt Martin","319","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"36","Michael A. Negron","118","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"37","Matt Martin","240","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"37","Michael A. Negron","172","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
"38","Matt Martin","290","2019 Municipal Runoffs - 4/2/19",47,"Runoff","2019","4/2/19"
